affected_flow_set,affected_flow_set_sha256,fault_count,fault_ids,semantic_profile_hash_count,semantic_profile_hashes
TT1,f797c51b8bda95302fe48c4497e14baa06deb74d88790be2ad55220efa4e44d3,1,l_sw8_sw9,1,b1337a1fa0466b583ffef5fffe57cbce442d062c697b07253a8a2f77d4d77084
TT1;TT2;TT7,a061b9c249280be20415b0c936909c7b0557b025f8f33faa9e605d1c9aa3d665,2,l_sw2_sw5;l_sw5_sw8,1,ad77ec1c3bb3bab9730edf9fc33a68f52bbbba8b751fb5a00ade6b2632bb41bc
TT1;TT7,aaed19f595febc1c7a4010ed87ecd64d0b35e0ea998c00b513468be50e4d4801,1,l_sw1_sw2,1,26dfad551540cc7f3e556b413d02447e47bc04f90b3ff5ba04aee54d721fffec
TT10;TT3;TT4;TT5;TT8,c0930ae455cfa725bdfa6e0bec8add31a35482cdf0bbf2c424bc231b1416920e,1,l_sw4_sw7,1,3c2085a6b89390b8753d3c63fb883722666c9ef81f56ce476f2f8acd0ec325e3
TT10;TT4;TT5;TT8,511f93e70e6c9ce46255efa28649d6205d3e959bd358170187bbab82cd65687d,1,l_sw3_sw4,1,9e6746c29e205d41a7924dcba1d765934447d204bd15a05ece8bccfeb7e5e241
TT10;TT5,9d5608a0e5ec3c4af15f597e5b21e07ff50e70dccc82a468257c6ea299751b42,1,l_sw1_sw3,1,252e7f3de5e8fd6a9c255f80c964860f1892b99700f9aaca38b5261e17170ae3
TT2;TT6;TT7;TT9,db6252ee367835fa4f9d026438706c52ca312b3a52fa001f92cb92266a656475,1,l_sw8_sw10,1,3e5dfc97cf28ea46dc342a0115d60205ee95d77349baa8ae8b310a3e6f863d34
TT3;TT5,0b2a0e932bb4403db2a2568bf5b9f268a72b8f473cbe8348e534686dd44c8c7c,1,l_sw7_sw9,1,42b0d968ab1b659895c97ccf446fefd2e45416ec94b0371a082895bf50d7db95
TT4;TT8,2f384bc33ba874c585a74793785fec20238c92f8a7d0799197afb54a40897133,1,l_sw2_sw3,1,cc987d60152ba13b83c3a0c0feec59782d4fc9930a1680a63f33fee450d77199
TT6;TT9,7f79d769615b68773808af0f4f7ff83d938cf726ba000f72199e3728d8d00bc7,2,l_sw4_sw6;l_sw6_sw8,1,181a9aad9c7ce5a8ad09fb461fc49366db375a0d615e97ed728cf54d55d52729
