scenario,fault_id,affected_flow_count,affected_flow_ids,affected_load_bps,min_deadline_us,mean_deadline_us,max_deadline_us,status,rerouted_flow_count,primary_route_links_affected,recovery_route_link_union,recovery_route_total_hops,schedule_objective_ticks,profile_semantic_hash,profile_bytes,route_solver_wall_us,smt_solver_wall_us,total_precompute_wall_us,pre_fault_affected_flow_count,pre_fault_affected_flow_ids,pre_fault_affected_load_bps,post_recovery_status,post_recovery_rerouted_flow_count,post_recovery_profile_semantic_hash
mesh10_auto,l_sw1_sw2,2,TT1;TT7,4800000.0,900.0,925.0,950.0,SAT,2,l_sw1_sw2,l_es1_sw1;l_es2_sw2;l_es3_sw4;l_es4_sw7;l_es5_sw9;l_es6_sw10;l_sw1_sw3;l_sw2_sw3;l_sw2_sw5;l_sw3_sw4;l_sw3_sw6;l_sw4_sw6;l_sw4_sw7;l_sw5_sw8;l_sw6_sw8;l_sw7_sw9;l_sw8_sw10,52,234,26dfad551540cc7f3e556b413d02447e47bc04f90b3ff5ba04aee54d721fffec,15044,28.553,53766.708000000006,54758.558,2,TT1;TT7,4800000.0,SAT,2,26dfad551540cc7f3e556b413d02447e47bc04f90b3ff5ba04aee54d721fffec
mesh10_auto,l_sw1_sw3,2,TT10;TT5,4000000.0,900.0,925.0,950.0,SAT,2,l_sw1_sw3,l_es1_sw1;l_es2_sw2;l_es3_sw4;l_es4_sw7;l_es5_sw9;l_es6_sw10;l_sw1_sw2;l_sw2_sw3;l_sw2_sw5;l_sw3_sw4;l_sw4_sw6;l_sw4_sw7;l_sw5_sw8;l_sw6_sw8;l_sw7_sw9;l_sw8_sw10;l_sw8_sw9,53,241,252e7f3de5e8fd6a9c255f80c964860f1892b99700f9aaca38b5261e17170ae3,15690,27.247,47365.048,47989.341,2,TT10;TT5,4000000.0,SAT,2,252e7f3de5e8fd6a9c255f80c964860f1892b99700f9aaca38b5261e17170ae3
mesh10_auto,l_sw2_sw3,2,TT4;TT8,8000000.0,950.0,950.0,950.0,SAT,2,l_sw2_sw3,l_es1_sw1;l_es2_sw2;l_es3_sw4;l_es4_sw7;l_es5_sw9;l_es6_sw10;l_sw1_sw2;l_sw1_sw3;l_sw2_sw5;l_sw3_sw4;l_sw4_sw6;l_sw4_sw7;l_sw5_sw6;l_sw5_sw8;l_sw6_sw7;l_sw6_sw8;l_sw7_sw9;l_sw8_sw10;l_sw8_sw9,52,234,cc987d60152ba13b83c3a0c0feec59782d4fc9930a1680a63f33fee450d77199,15629,26.869999999999997,41363.313,41952.104,2,TT4;TT8,8000000.0,SAT,2,cc987d60152ba13b83c3a0c0feec59782d4fc9930a1680a63f33fee450d77199
mesh10_auto,l_sw2_sw5,3,TT1;TT2;TT7,7200000.0,900.0,916.6666666666666,950.0,SAT,3,l_sw2_sw5,l_es1_sw1;l_es2_sw2;l_es3_sw4;l_es4_sw7;l_es5_sw9;l_es6_sw10;l_sw1_sw3;l_sw2_sw3;l_sw3_sw4;l_sw3_sw6;l_sw4_sw6;l_sw4_sw7;l_sw6_sw8;l_sw7_sw9;l_sw8_sw10,53,234,ad77ec1c3bb3bab9730edf9fc33a68f52bbbba8b751fb5a00ade6b2632bb41bc,14667,38.409,44821.331999999995,45466.3,3,TT1;TT2;TT7,7200000.0,SAT,3,ad77ec1c3bb3bab9730edf9fc33a68f52bbbba8b751fb5a00ade6b2632bb41bc
mesh10_auto,l_sw3_sw4,4,TT10;TT4;TT5;TT8,12000000.0,900.0,937.5,950.0,SAT,4,l_sw3_sw4,l_es1_sw1;l_es2_sw2;l_es3_sw4;l_es4_sw7;l_es5_sw9;l_es6_sw10;l_sw1_sw2;l_sw1_sw3;l_sw2_sw3;l_sw2_sw5;l_sw3_sw6;l_sw4_sw6;l_sw4_sw7;l_sw5_sw8;l_sw6_sw7;l_sw6_sw8;l_sw7_sw9;l_sw8_sw10;l_sw8_sw9,52,234,9e6746c29e205d41a7924dcba1d765934447d204bd15a05ece8bccfeb7e5e241,15366,46.107,40866.189999999995,41449.869,4,TT10;TT4;TT5;TT8,12000000.0,SAT,4,9e6746c29e205d41a7924dcba1d765934447d204bd15a05ece8bccfeb7e5e241
mesh10_auto,l_sw4_sw6,2,TT6;TT9,4000000.0,900.0,900.0,900.0,SAT,2,l_sw4_sw6,l_es1_sw1;l_es2_sw2;l_es3_sw4;l_es4_sw7;l_es5_sw9;l_es6_sw10;l_sw1_sw2;l_sw1_sw3;l_sw2_sw3;l_sw2_sw5;l_sw3_sw4;l_sw4_sw7;l_sw5_sw8;l_sw7_sw9;l_sw8_sw10;l_sw8_sw9;l_sw9_sw10,52,234,181a9aad9c7ce5a8ad09fb461fc49366db375a0d615e97ed728cf54d55d52729,14180,27.883,53501.932,54186.015,2,TT6;TT9,4000000.0,SAT,2,181a9aad9c7ce5a8ad09fb461fc49366db375a0d615e97ed728cf54d55d52729
mesh10_auto,l_sw4_sw7,5,TT10;TT3;TT4;TT5;TT8,15200000.0,900.0,930.0,950.0,SAT,5,l_sw4_sw7,l_es1_sw1;l_es2_sw2;l_es3_sw4;l_es4_sw7;l_es5_sw9;l_es6_sw10;l_sw1_sw2;l_sw1_sw3;l_sw2_sw3;l_sw2_sw5;l_sw3_sw6;l_sw4_sw6;l_sw5_sw8;l_sw6_sw7;l_sw6_sw8;l_sw7_sw9;l_sw8_sw10;l_sw8_sw9,53,234,3c2085a6b89390b8753d3c63fb883722666c9ef81f56ce476f2f8acd0ec325e3,15241,50.992999999999995,49159.653,49807.859000000004,5,TT10;TT3;TT4;TT5;TT8,15200000.0,SAT,5,3c2085a6b89390b8753d3c63fb883722666c9ef81f56ce476f2f8acd0ec325e3
mesh10_auto,l_sw5_sw8,3,TT1;TT2;TT7,7200000.0,900.0,916.6666666666666,950.0,SAT,3,l_sw5_sw8,l_es1_sw1;l_es2_sw2;l_es3_sw4;l_es4_sw7;l_es5_sw9;l_es6_sw10;l_sw1_sw3;l_sw2_sw3;l_sw3_sw4;l_sw3_sw6;l_sw4_sw6;l_sw4_sw7;l_sw6_sw8;l_sw7_sw9;l_sw8_sw10,53,234,ad77ec1c3bb3bab9730edf9fc33a68f52bbbba8b751fb5a00ade6b2632bb41bc,14658,36.546,44831.473,45474.971,3,TT1;TT2;TT7,7200000.0,SAT,3,ad77ec1c3bb3bab9730edf9fc33a68f52bbbba8b751fb5a00ade6b2632bb41bc
mesh10_auto,l_sw6_sw8,2,TT6;TT9,4000000.0,900.0,900.0,900.0,SAT,2,l_sw6_sw8,l_es1_sw1;l_es2_sw2;l_es3_sw4;l_es4_sw7;l_es5_sw9;l_es6_sw10;l_sw1_sw2;l_sw1_sw3;l_sw2_sw3;l_sw2_sw5;l_sw3_sw4;l_sw4_sw7;l_sw5_sw8;l_sw7_sw9;l_sw8_sw10;l_sw8_sw9;l_sw9_sw10,52,234,181a9aad9c7ce5a8ad09fb461fc49366db375a0d615e97ed728cf54d55d52729,14180,27.868000000000002,52467.669,53080.133,2,TT6;TT9,4000000.0,SAT,2,181a9aad9c7ce5a8ad09fb461fc49366db375a0d615e97ed728cf54d55d52729
mesh10_auto,l_sw7_sw9,2,TT3;TT5,4800000.0,900.0,900.0,900.0,SAT,2,l_sw7_sw9,l_es1_sw1;l_es2_sw2;l_es3_sw4;l_es4_sw7;l_es5_sw9;l_es6_sw10;l_sw1_sw2;l_sw1_sw3;l_sw2_sw3;l_sw2_sw5;l_sw3_sw4;l_sw4_sw6;l_sw4_sw7;l_sw5_sw8;l_sw6_sw8;l_sw8_sw10;l_sw8_sw9,53,234,42b0d968ab1b659895c97ccf446fefd2e45416ec94b0371a082895bf50d7db95,15696,28.665,42260.498,42989.806000000004,2,TT3;TT5,4800000.0,SAT,2,42b0d968ab1b659895c97ccf446fefd2e45416ec94b0371a082895bf50d7db95
