fault_id,l_sw1_sw2,l_sw1_sw3,l_sw2_sw3,l_sw2_sw5,l_sw3_sw4,l_sw4_sw6,l_sw4_sw7,l_sw5_sw8,l_sw6_sw8,l_sw7_sw9,l_sw8_sw10,l_sw8_sw9
l_sw1_sw2,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2,0.5
l_sw1_sw3,0.0,1.0,0.0,0.0,0.5,0.0,0.4,0.0,0.0,0.3333333333333333,0.0,0.0
l_sw2_sw3,0.0,0.0,1.0,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0
l_sw2_sw5,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.3333333333333333
l_sw3_sw4,0.0,0.5,0.5,0.0,1.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0
l_sw4_sw6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0
l_sw4_sw7,0.0,0.4,0.4,0.0,0.8,0.0,1.0,0.0,0.0,0.4,0.0,0.0
l_sw5_sw8,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.3333333333333333
l_sw6_sw8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0
l_sw7_sw9,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.4,0.0,0.0,1.0,0.0,0.0
l_sw8_sw10,0.2,0.0,0.0,0.4,0.0,0.5,0.0,0.4,0.5,0.0,1.0,0.0
l_sw8_sw9,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0
