scenario,fault_id,status,affected_flow_count,route_solver_wall_us,smt_solver_wall_us,profile_compile_wall_us,serialization_wall_us,total_precompute_wall_us,objective,profile_bytes,semantic_profile_hash,diagnostic
mesh10_auto,l_sw1_sw2,SAT,2,28.553,53766.708000000006,44.493,336.648,54758.558,234,15044,26dfad551540cc7f3e556b413d02447e47bc04f90b3ff5ba04aee54d721fffec,lexicographic optimum found
mesh10_auto,l_sw1_sw3,SAT,2,27.247,47365.048,43.849,314.01099999999997,47989.341,241,15690,252e7f3de5e8fd6a9c255f80c964860f1892b99700f9aaca38b5261e17170ae3,lexicographic optimum found
mesh10_auto,l_sw2_sw3,SAT,2,26.869999999999997,41363.313,39.979,311.23400000000004,41952.104,234,15629,cc987d60152ba13b83c3a0c0feec59782d4fc9930a1680a63f33fee450d77199,lexicographic optimum found
mesh10_auto,l_sw2_sw5,SAT,3,38.409,44821.331999999995,42.992,322.28,45466.3,234,14667,ad77ec1c3bb3bab9730edf9fc33a68f52bbbba8b751fb5a00ade6b2632bb41bc,lexicographic optimum found
mesh10_auto,l_sw3_sw4,SAT,4,46.107,40866.189999999995,46.364,305.26800000000003,41449.869,234,15366,9e6746c29e205d41a7924dcba1d765934447d204bd15a05ece8bccfeb7e5e241,lexicographic optimum found
mesh10_auto,l_sw4_sw6,SAT,2,27.883,53501.932,44.443999999999996,310.778,54186.015,234,14180,181a9aad9c7ce5a8ad09fb461fc49366db375a0d615e97ed728cf54d55d52729,lexicographic optimum found
mesh10_auto,l_sw4_sw7,SAT,5,50.992999999999995,49159.653,44.788,307.28,49807.859000000004,234,15241,3c2085a6b89390b8753d3c63fb883722666c9ef81f56ce476f2f8acd0ec325e3,lexicographic optimum found
mesh10_auto,l_sw5_sw8,SAT,3,36.546,44831.473,42.277,322.864,45474.971,234,14658,ad77ec1c3bb3bab9730edf9fc33a68f52bbbba8b751fb5a00ade6b2632bb41bc,lexicographic optimum found
mesh10_auto,l_sw6_sw8,SAT,2,27.868000000000002,52467.669,42.992,310.63800000000003,53080.133,234,14180,181a9aad9c7ce5a8ad09fb461fc49366db375a0d615e97ed728cf54d55d52729,lexicographic optimum found
mesh10_auto,l_sw7_sw9,SAT,2,28.665,42260.498,45.086999999999996,402.80499999999995,42989.806000000004,234,15696,42b0d968ab1b659895c97ccf446fefd2e45416ec94b0371a082895bf50d7db95,lexicographic optimum found
mesh10_auto,l_sw8_sw10,SAT,4,44.778,50124.151999999995,40.314,310.19,50749.47,234,14264,3e5dfc97cf28ea46dc342a0115d60205ee95d77349baa8ae8b310a3e6f863d34,lexicographic optimum found
mesh10_auto,l_sw8_sw9,SAT,1,18.194,44537.542,42.56,305.755,45116.513,234,15002,b1337a1fa0466b583ffef5fffe57cbce442d062c697b07253a8a2f77d4d77084,lexicographic optimum found
