scenario,link_id,endpoint_a,endpoint_a_type,endpoint_b,endpoint_b_type,in_protection_scope,used_by_tt_primary_route,candidate_fault,affected_flow_count,affected_flow_ids,affected_tt_payload_rate_bps,min_affected_deadline_us,mean_affected_deadline_us,max_affected_deadline_us,primary_route_usage_count,classification
structured30_auto,l_es01_sw01,es01,end_system,sw01,switch,0,1,0,4,TT01;TT08;TT16;TT22,6720000.0,900.0,915.0,940.0,4,OUT_OF_SCOPE
structured30_auto,l_es02_sw03,es02,end_system,sw03,switch,0,1,0,4,TT02;TT09;TT17;TT23,8000000.0,919.9999999999999,932.5,950.0,4,OUT_OF_SCOPE
structured30_auto,l_es03_sw05,es03,end_system,sw05,switch,0,1,0,4,TT03;TT10;TT18;TT24,9280000.0,930.0,940.0,950.0,4,OUT_OF_SCOPE
structured30_auto,l_es04_sw07,es04,end_system,sw07,switch,0,1,0,4,TT04;TT11;TT19;TT25,8960000.0,900.0,932.5,950.0,4,OUT_OF_SCOPE
structured30_auto,l_es05_sw09,es05,end_system,sw09,switch,0,1,0,4,TT05;TT12;TT20;TT26,8640000.0,900.0,920.0,930.0,4,OUT_OF_SCOPE
structured30_auto,l_es06_sw11,es06,end_system,sw11,switch,0,1,0,4,TT06;TT13;TT21;TT27,6720000.0,900.0,915.0,940.0,4,OUT_OF_SCOPE
structured30_auto,l_es07_sw13,es07,end_system,sw13,switch,0,1,0,4,TT07;TT14;TT22;TT28,8000000.0,919.9999999999999,932.5,950.0,4,OUT_OF_SCOPE
structured30_auto,l_es08_sw15,es08,end_system,sw15,switch,0,1,0,4,TT08;TT15;TT23;TT29,9280000.0,930.0,940.0,950.0,4,OUT_OF_SCOPE
structured30_auto,l_es09_sw17,es09,end_system,sw17,switch,0,1,0,4,TT01;TT09;TT24;TT30,8960000.0,900.0,932.5,950.0,4,OUT_OF_SCOPE
structured30_auto,l_es10_sw19,es10,end_system,sw19,switch,0,1,0,4,TT02;TT10;TT16;TT25,8640000.0,900.0,920.0,930.0,4,OUT_OF_SCOPE
structured30_auto,l_es11_sw21,es11,end_system,sw21,switch,0,1,0,4,TT03;TT11;TT17;TT26,6720000.0,900.0,915.0,940.0,4,OUT_OF_SCOPE
structured30_auto,l_es12_sw23,es12,end_system,sw23,switch,0,1,0,4,TT04;TT12;TT18;TT27,8000000.0,919.9999999999999,932.5,950.0,4,OUT_OF_SCOPE
structured30_auto,l_es13_sw25,es13,end_system,sw25,switch,0,1,0,4,TT05;TT13;TT19;TT28,9280000.0,930.0,940.0,950.0,4,OUT_OF_SCOPE
structured30_auto,l_es14_sw27,es14,end_system,sw27,switch,0,1,0,4,TT06;TT14;TT20;TT29,8960000.0,900.0,932.5,950.0,4,OUT_OF_SCOPE
structured30_auto,l_es15_sw29,es15,end_system,sw29,switch,0,1,0,4,TT07;TT15;TT21;TT30,8640000.0,900.0,920.0,930.0,4,OUT_OF_SCOPE
structured30_auto,l_sw01_sw02,sw01,switch,sw02,switch,1,1,1,2,TT01;TT02,3200000.0,900.0,910.0,919.9999999999999,2,TT_RELEVANT_CANDIDATE
structured30_auto,l_sw01_sw07,sw01,switch,sw07,switch,1,1,1,6,TT02;TT04;TT05;TT11;TT16;TT22,11520000.0,900.0,920.0,950.0,6,TT_RELEVANT_CANDIDATE
structured30_auto,l_sw01_sw09,sw01,switch,sw09,switch,1,1,1,4,TT04;TT05;TT08;TT11,8640000.0,900.0,930.0,950.0,4,TT_RELEVANT_CANDIDATE
structured30_auto,l_sw02_sw03,sw02,switch,sw03,switch,1,1,1,1,TT02,1760000.0,919.9999999999999,919.9999999999999,919.9999999999999,1,TT_RELEVANT_CANDIDATE
structured30_auto,l_sw02_sw08,sw02,switch,sw08,switch,1,1,1,1,TT01,1440000.0,900.0,900.0,900.0,1,TT_RELEVANT_CANDIDATE
structured30_auto,l_sw03_sw04,sw03,switch,sw04,switch,1,1,1,2,TT03;TT09,4480000.0,940.0,945.0,950.0,2,TT_RELEVANT_CANDIDATE
structured30_auto,l_sw03_sw09,sw03,switch,sw09,switch,1,1,1,3,TT03;TT17;TT23,5920000.0,919.9999999999999,933.3333333333334,940.0,3,TT_RELEVANT_CANDIDATE
structured30_auto,l_sw04_sw05,sw04,switch,sw05,switch,1,1,1,2,TT03;TT09,4480000.0,940.0,945.0,950.0,2,TT_RELEVANT_CANDIDATE
structured30_auto,l_sw04_sw10,sw04,switch,sw10,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured30_auto,l_sw05_sw06,sw05,switch,sw06,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured30_auto,l_sw05_sw07,sw05,switch,sw07,switch,1,1,1,2,TT10;TT13,4800000.0,930.0,935.0,940.0,2,TT_RELEVANT_CANDIDATE
structured30_auto,l_sw05_sw11,sw05,switch,sw11,switch,1,1,1,4,TT09;TT13;TT18;TT24,8960000.0,940.0,945.0,950.0,4,TT_RELEVANT_CANDIDATE
structured30_auto,l_sw06_sw12,sw06,switch,sw12,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured30_auto,l_sw07_sw08,sw07,switch,sw08,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured30_auto,l_sw07_sw13,sw07,switch,sw13,switch,1,1,1,8,TT02;TT05;TT10;TT13;TT16;TT19;TT22;TT25,17600000.0,900.0,927.5,950.0,8,TT_RELEVANT_CANDIDATE
structured30_auto,l_sw08_sw09,sw08,switch,sw09,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured30_auto,l_sw08_sw14,sw08,switch,sw14,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
structured30_auto,l_sw08_sw16,sw08,switch,sw16,switch,1,1,1,1,TT01,1440000.0,900.0,900.0,900.0,1,TT_RELEVANT_CANDIDATE
structured30_auto,l_sw09_sw10,sw09,switch,sw10,switch,1,1,1,1,TT06,1440000.0,900.0,900.0,900.0,1,TT_RELEVANT_CANDIDATE
structured30_auto,l_sw09_sw15,sw09,switch,sw15,switch,1,1,1,10,TT03;TT04;TT06;TT08;TT11;TT12;TT17;TT20;TT23;TT26,19200000.0,900.0,924.0,950.0,10,TT_RELEVANT_CANDIDATE
