scenario,policy_id,class_id,class_type,members,member_count,profile_id,profile_semantic_hash,min_pairwise_jaccard,mean_pairwise_jaccard,max_edge_distance,source_candidate_group,split_depth,validation_pass
structured30_auto,J040,C0001,SHARED,l_sw01_sw02;l_sw02_sw03,2,AP_C0001,123f63b465e18ec75859747ee6a8a1b3f4440880ae9f7c425a07e4a37c1409c6,0.5,0.5,0,G0001,0,True
structured30_auto,J040,C0002,SHARED,l_sw01_sw07;l_sw01_sw09,2,AP_C0002,9fb723f46f741f85213c271c508d44b615ec69df933f2b5a2c5081124d902d1f,0.42857142857142855,0.42857142857142855,0,G0002,0,True
structured30_auto,J040,C0003,SHARED,l_sw02_sw08;l_sw08_sw16;l_sw16_sw17,3,AP_C0003,b4ffbcd9f4ed1154691679b52af839fca9c16979fad1fe855a633543d55a5ef4,1.0,1.0,1,G0003,0,True
structured30_auto,J040,C0004,SHARED,l_sw03_sw04;l_sw04_sw05,2,AP_C0004,59cb78ac82c6629ce1edd03ede13b65bfd2193785c6ca85b8e7fecb189a6a52f,1.0,1.0,0,G0004,0,True
structured30_auto,J040,C0005,SINGLETON,l_sw03_sw09,1,PF_l_sw03_sw09,aec036d5e300f9a919d18743ce3102ad80a14c163554216efca3f475b8f1d554,1.0,1.0,0,G0005,0,True
structured30_auto,J040,C0006,SINGLETON,l_sw05_sw07,1,PF_l_sw05_sw07,c03f90272c2aaf2ff693f6478c9f0ba707499ad79354e778d06dbbb05467d776,1.0,1.0,0,G0006,0,True
structured30_auto,J040,C0007,SHARED,l_sw05_sw11;l_sw11_sw17,2,AP_C0007,c7cb873cc7ffa6665bb17229ab729140ad32eceb496de0c23442b20b9c65c0e1,0.5,0.5,0,G0007,0,True
structured30_auto,J040,C0008,SHARED,l_sw07_sw13;l_sw13_sw19,2,AP_C0008,ff579a5f7756dab53704fba1eada5ef3e1ecd01b3fd6216861a1049b1a671e25,0.7777777777777778,0.7777777777777778,0,G0008,0,True
structured30_auto,J040,C0009,SHARED,l_sw09_sw10;l_sw10_sw11,2,AP_C0009,f3ddeeaaaa5965a5b1a4fe247c141f8f122c472d4a3924ed1c02517376ac9389,1.0,1.0,0,G0009,0,True
structured30_auto,J040,C0010,SHARED,l_sw09_sw15;l_sw15_sw21,2,AP_C0010,dd1bb4267f334d67d0de1d0719ed070aa2fada99c2c694f4a54ea72cf86cb726,0.5,0.5,0,G0010,0,True
structured30_auto,J040,C0011,SHARED,l_sw13_sw14;l_sw14_sw15,2,AP_C0011,0a12e06b32e592647befa243e61ceb42a4d2bccfb042660d8aca2848b1365b32,1.0,1.0,0,G0011,0,True
structured30_auto,J040,C0012,SINGLETON,l_sw15_sw23,1,PF_l_sw15_sw23,62c396ef9bf831e8e5d6e0690ec85d6d8ba32667417cb6c6911212a81af5756c,1.0,1.0,0,G0012,0,True
structured30_auto,J040,C0013,SINGLETON,l_sw17_sw23,1,PF_l_sw17_sw23,4a0d6f72bfb1dd35e5658c5e2671311f8f9db8a05c9844842d57d0de6bff6966,1.0,1.0,0,G0013,0,True
structured30_auto,J040,C0014,SINGLETON,l_sw19_sw25,1,PF_l_sw19_sw25,0c6c6a275d0866d11ed02804f21e9496d0cfc24aaf1309010f85fe519d8e0bf4,1.0,1.0,0,G0014,0,True
structured30_auto,J040,C0015,SINGLETON,l_sw21_sw27,1,PF_l_sw21_sw27,1466c75fe2a89d2261418cf99ab1f998635b83cb406ff3dfc1ac37450099e917,1.0,1.0,0,G0015,0,True
structured30_auto,J040,C0016,SINGLETON,l_sw23_sw29,1,PF_l_sw23_sw29,7e869828fc08813488ea1403410ac673e1b57a3a774db65752bdea008a28a81d,1.0,1.0,0,G0016,0,True
