scenario,policy_id,synthesis_request_count,synthesis_cache_hit_count,validation_logical_count,validation_cache_hit_count,cold_synthesis_wall_ms,cold_validation_wall_ms
diamond_auto,J100,1,0,2,2,9.996076,1168.4007689999999
diamond_auto,J080,1,1,2,2,9.996076,1168.4007689999999
diamond_auto,J060,1,1,2,2,9.996076,1168.4007689999999
diamond_auto,J040,1,1,2,2,9.996076,1168.4007689999999
diamond_auto,J020,1,1,2,2,9.996076,1168.4007689999999
diamond_auto,JE080_D0,1,1,2,2,9.996076,1168.4007689999999
diamond_auto,JE080_D1,1,1,2,2,9.996076,1168.4007689999999
diamond_auto,JE080_D2,1,1,2,2,9.996076,1168.4007689999999
diamond_auto,JE060_D0,1,1,2,2,9.996076,1168.4007689999999
diamond_auto,JE060_D1,1,1,2,2,9.996076,1168.4007689999999
diamond_auto,JE060_D2,1,1,2,2,9.996076,1168.4007689999999
diamond_auto,JE040_D0,1,1,2,2,9.996076,1168.4007689999999
diamond_auto,JE040_D1,1,1,2,2,9.996076,1168.4007689999999
diamond_auto,JE040_D2,1,1,2,2,9.996076,1168.4007689999999
mesh10_auto,J100,2,0,12,4,120.24291399999998,16432.727976
mesh10_auto,J080,3,2,12,12,178.770841,16404.653927
mesh10_auto,J060,3,2,12,12,174.96677,16437.633848
mesh10_auto,J040,3,1,12,12,171.252478,16530.984731
mesh10_auto,J020,3,1,12,12,172.459736,16591.168999
mesh10_auto,JE080_D0,3,3,12,12,178.770841,16404.653927
mesh10_auto,JE080_D1,3,3,12,12,178.770841,16404.653927
mesh10_auto,JE080_D2,3,3,12,12,178.770841,16404.653927
mesh10_auto,JE060_D0,3,3,12,12,178.770841,16404.653927
mesh10_auto,JE060_D1,3,3,12,12,174.96677,16437.633848
mesh10_auto,JE060_D2,3,3,12,12,174.96677,16437.633848
mesh10_auto,JE040_D0,3,3,12,12,178.770841,16404.653927
mesh10_auto,JE040_D1,3,3,12,12,171.252478,16530.984731
mesh10_auto,JE040_D2,3,3,12,12,171.252478,16530.984731
structured20_auto,J100,5,0,22,10,1190.752052,63281.019727
structured20_auto,J080,7,5,22,22,1679.9703319999999,63272.137075000006
structured20_auto,J060,7,5,22,22,1738.3378530000002,63064.494252000004
structured20_auto,J040,8,4,22,22,1970.156766,62824.085769000005
structured20_auto,J020,8,6,22,22,1722.066167,63029.043131
structured20_auto,JE080_D0,6,6,22,20,1439.4754480000001,63006.81499
structured20_auto,JE080_D1,7,7,22,22,1679.9703319999999,63272.137075000006
structured20_auto,JE080_D2,7,7,22,22,1679.9703319999999,63272.137075000006
structured20_auto,JE060_D0,6,6,22,22,1439.4754480000001,63006.81499
structured20_auto,JE060_D1,7,7,22,22,1679.9703319999999,63272.137075000006
structured20_auto,JE060_D2,6,6,22,22,1512.678744,63067.722799999996
structured20_auto,JE040_D0,9,6,22,22,2225.8236950000005,62898.367557
structured20_auto,JE040_D1,8,8,22,22,2001.340071,63078.215625
structured20_auto,JE040_D2,7,7,22,22,1823.588618,62835.34456799999
