scenario,policy_id,candidate_group_id,member_faults,member_count,min_pairwise_jaccard,mean_pairwise_jaccard,max_edge_distance,predicted_profile_count,pre_fault_only
diamond_auto,J100,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
diamond_auto,J080,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
diamond_auto,J060,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
diamond_auto,J040,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
diamond_auto,J020,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
diamond_auto,JE080_D0,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
diamond_auto,JE080_D1,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
diamond_auto,JE080_D2,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
diamond_auto,JE060_D0,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
diamond_auto,JE060_D1,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
diamond_auto,JE060_D2,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
diamond_auto,JE040_D0,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
diamond_auto,JE040_D1,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
diamond_auto,JE040_D2,G0001,l_s1_s2;l_s2_s4,2,1.0,1.0,0,1,True
mesh10_auto,J100,G0001,l_sw1_sw2,1,1.0,1.0,0,1,True
mesh10_auto,J100,G0002,l_sw1_sw3,1,1.0,1.0,0,1,True
mesh10_auto,J100,G0003,l_sw2_sw3,1,1.0,1.0,0,1,True
mesh10_auto,J100,G0004,l_sw2_sw5;l_sw5_sw8,2,1.0,1.0,0,1,True
mesh10_auto,J100,G0005,l_sw3_sw4,1,1.0,1.0,0,1,True
mesh10_auto,J100,G0006,l_sw4_sw6;l_sw6_sw8,2,1.0,1.0,0,1,True
mesh10_auto,J100,G0007,l_sw4_sw7,1,1.0,1.0,0,1,True
mesh10_auto,J100,G0008,l_sw7_sw9,1,1.0,1.0,0,1,True
mesh10_auto,J100,G0009,l_sw8_sw10,1,1.0,1.0,0,1,True
mesh10_auto,J100,G0010,l_sw8_sw9,1,1.0,1.0,0,1,True
mesh10_auto,J080,G0001,l_sw1_sw2,1,1.0,1.0,0,1,True
mesh10_auto,J080,G0002,l_sw1_sw3,1,1.0,1.0,0,1,True
mesh10_auto,J080,G0003,l_sw2_sw3,1,1.0,1.0,0,1,True
mesh10_auto,J080,G0004,l_sw2_sw5;l_sw5_sw8,2,1.0,1.0,0,1,True
mesh10_auto,J080,G0005,l_sw3_sw4;l_sw4_sw7,2,0.8,0.8,0,1,True
mesh10_auto,J080,G0006,l_sw4_sw6;l_sw6_sw8,2,1.0,1.0,0,1,True
mesh10_auto,J080,G0007,l_sw7_sw9,1,1.0,1.0,0,1,True
