scenario,policy_id,policy_type,theta,dmax,candidate_compression_ratio,realized_profile_compression_ratio,compression_gap,group_acceptance_rate,cold_synthesis_wall_ms,cold_validation_wall_ms,max_recovery_delta_us,deadline_miss_delta
diamond_auto,J100,JACCARD,1.0,,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
diamond_auto,J080,JACCARD,0.8,,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
diamond_auto,J060,JACCARD,0.6,,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
diamond_auto,J040,JACCARD,0.4,,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
diamond_auto,J020,JACCARD,0.2,,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
diamond_auto,JE080_D0,JACCARD_EDGE,0.8,0,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
diamond_auto,JE080_D1,JACCARD_EDGE,0.8,1,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
diamond_auto,JE080_D2,JACCARD_EDGE,0.8,2,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
diamond_auto,JE060_D0,JACCARD_EDGE,0.6,0,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
diamond_auto,JE060_D1,JACCARD_EDGE,0.6,1,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
diamond_auto,JE060_D2,JACCARD_EDGE,0.6,2,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
diamond_auto,JE040_D0,JACCARD_EDGE,0.4,0,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
diamond_auto,JE040_D1,JACCARD_EDGE,0.4,1,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
diamond_auto,JE040_D2,JACCARD_EDGE,0.4,2,0.5,0.5,0.0,1.0,9.996076,1168.4007689999999,0.0,0
mesh10_auto,J100,JACCARD,1.0,,0.16666666666666663,0.16666666666666663,0.0,1.0,120.24291399999998,16432.727976,0.0,0
mesh10_auto,J080,JACCARD,0.8,,0.25,0.25,0.0,1.0,178.770841,16404.653927,0.0,0
mesh10_auto,J060,JACCARD,0.6,,0.33333333333333337,0.33333333333333337,0.0,1.0,174.96677,16437.633848,0.0,0
mesh10_auto,J040,JACCARD,0.4,,0.5,0.5,0.0,1.0,171.252478,16530.984731,0.0,0
mesh10_auto,J020,JACCARD,0.2,,0.6666666666666667,0.6666666666666667,0.0,1.0,172.459736,16591.168999,0.0,0
mesh10_auto,JE080_D0,JACCARD_EDGE,0.8,0,0.25,0.25,0.0,1.0,178.770841,16404.653927,0.0,0
mesh10_auto,JE080_D1,JACCARD_EDGE,0.8,1,0.25,0.25,0.0,1.0,178.770841,16404.653927,0.0,0
mesh10_auto,JE080_D2,JACCARD_EDGE,0.8,2,0.25,0.25,0.0,1.0,178.770841,16404.653927,0.0,0
mesh10_auto,JE060_D0,JACCARD_EDGE,0.6,0,0.25,0.25,0.0,1.0,178.770841,16404.653927,0.0,0
mesh10_auto,JE060_D1,JACCARD_EDGE,0.6,1,0.33333333333333337,0.33333333333333337,0.0,1.0,174.96677,16437.633848,0.0,0
mesh10_auto,JE060_D2,JACCARD_EDGE,0.6,2,0.33333333333333337,0.33333333333333337,0.0,1.0,174.96677,16437.633848,0.0,0
mesh10_auto,JE040_D0,JACCARD_EDGE,0.4,0,0.25,0.25,0.0,1.0,178.770841,16404.653927,0.0,0
mesh10_auto,JE040_D1,JACCARD_EDGE,0.4,1,0.5,0.5,0.0,1.0,171.252478,16530.984731,0.0,0
mesh10_auto,JE040_D2,JACCARD_EDGE,0.4,2,0.5,0.5,0.0,1.0,171.252478,16530.984731,0.0,0
structured20_auto,J100,JACCARD,1.0,,0.2272727272727273,0.2272727272727273,0.0,1.0,1190.752052,63281.019727,0.0,0
structured20_auto,J080,JACCARD,0.8,,0.31818181818181823,0.31818181818181823,0.0,1.0,1679.9703319999999,63272.137075000006,0.0,0
structured20_auto,J060,JACCARD,0.6,,0.40909090909090906,0.40909090909090906,0.0,1.0,1738.3378530000002,63064.494252000004,0.0,0
structured20_auto,J040,JACCARD,0.4,,0.5909090909090908,0.5909090909090908,0.0,1.0,1970.156766,62824.085769000005,0.0,0
structured20_auto,J020,JACCARD,0.2,,0.6818181818181819,0.6363636363636364,0.045454545454545525,0.875,1722.066167,63029.043131,0.0,0
structured20_auto,JE080_D0,JACCARD_EDGE,0.8,0,0.2727272727272727,0.2727272727272727,0.0,1.0,1439.4754480000001,63006.81499,0.0,0
structured20_auto,JE080_D1,JACCARD_EDGE,0.8,1,0.31818181818181823,0.31818181818181823,0.0,1.0,1679.9703319999999,63272.137075000006,0.0,0
structured20_auto,JE080_D2,JACCARD_EDGE,0.8,2,0.31818181818181823,0.31818181818181823,0.0,1.0,1679.9703319999999,63272.137075000006,0.0,0
structured20_auto,JE060_D0,JACCARD_EDGE,0.6,0,0.2727272727272727,0.2727272727272727,0.0,1.0,1439.4754480000001,63006.81499,0.0,0
structured20_auto,JE060_D1,JACCARD_EDGE,0.6,1,0.31818181818181823,0.31818181818181823,0.0,1.0,1679.9703319999999,63272.137075000006,0.0,0
structured20_auto,JE060_D2,JACCARD_EDGE,0.6,2,0.36363636363636365,0.36363636363636365,0.0,1.0,1512.678744,63067.722799999996,0.0,0
structured20_auto,JE040_D0,JACCARD_EDGE,0.4,0,0.40909090909090906,0.40909090909090906,0.0,1.0,2225.8236950000005,62898.367557,0.0,0
structured20_auto,JE040_D1,JACCARD_EDGE,0.4,1,0.4545454545454546,0.4545454545454546,0.0,1.0,2001.340071,63078.215625,0.0,0
structured20_auto,JE040_D2,JACCARD_EDGE,0.4,2,0.5454545454545454,0.5454545454545454,0.0,1.0,1823.588618,62835.34456799999,0.0,0
