scenario,policy_id,candidate_group_id,member_count,member_faults,min_jaccard,mean_jaccard,max_edge_distance,mean_path_position_difference,affected_flow_union_count,affected_load_union_bps,shared_synthesis_status,validation_status,accepted,posthoc_mean_recovery_route_jaccard,posthoc_pf_semantic_hash_count
diamond_auto,J100,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
diamond_auto,J080,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
diamond_auto,J060,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
diamond_auto,J040,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
diamond_auto,J020,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
diamond_auto,JE080_D0,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
diamond_auto,JE080_D1,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
diamond_auto,JE080_D2,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
diamond_auto,JE060_D0,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
diamond_auto,JE060_D1,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
diamond_auto,JE060_D2,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
diamond_auto,JE040_D0,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
diamond_auto,JE040_D1,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
diamond_auto,JE040_D2,G0001,2,l_s1_s2;l_s2_s4,1.0,1.0,0,1.0,1,1600000.0,SAT,PASS,True,1.0,1
mesh10_auto,J100,G0004,2,l_sw2_sw5;l_sw5_sw8,1.0,1.0,0,1.0,3,7200000.0,SAT,PASS,True,1.0,1
mesh10_auto,J100,G0006,2,l_sw4_sw6;l_sw6_sw8,1.0,1.0,0,1.0,2,4000000.0,SAT,PASS,True,1.0,1
mesh10_auto,J080,G0004,2,l_sw2_sw5;l_sw5_sw8,1.0,1.0,0,1.0,3,7200000.0,SAT,PASS,True,1.0,1
mesh10_auto,J080,G0005,2,l_sw3_sw4;l_sw4_sw7,0.8,0.8,0,1.0,5,15200000.0,SAT,PASS,True,0.9473684210526315,2
mesh10_auto,J080,G0006,2,l_sw4_sw6;l_sw6_sw8,1.0,1.0,0,1.0,2,4000000.0,SAT,PASS,True,1.0,1
mesh10_auto,J060,G0001,3,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8,0.6666666666666666,0.7777777777777777,1,1.3333333333333333,3,7200000.0,SAT,PASS,True,0.9215686274509803,2
mesh10_auto,J060,G0004,2,l_sw3_sw4;l_sw4_sw7,0.8,0.8,0,1.0,5,15200000.0,SAT,PASS,True,0.9473684210526315,2
mesh10_auto,J060,G0005,2,l_sw4_sw6;l_sw6_sw8,1.0,1.0,0,1.0,2,4000000.0,SAT,PASS,True,1.0,1
mesh10_auto,J040,G0001,3,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8,0.6666666666666666,0.7777777777777777,1,1.3333333333333333,3,7200000.0,SAT,PASS,True,0.9215686274509803,2
