scenario,policy_id,step,left_cluster,right_cluster,merged_members,min_pairwise_jaccard,max_edge_distance,merge_priority,result_candidate_group_id
diamond_auto,J100,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
diamond_auto,J080,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
diamond_auto,J060,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
diamond_auto,J040,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
diamond_auto,J020,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
diamond_auto,JE080_D0,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
diamond_auto,JE080_D1,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
diamond_auto,JE080_D2,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
diamond_auto,JE060_D0,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
diamond_auto,JE060_D1,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
diamond_auto,JE060_D2,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
diamond_auto,JE040_D0,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
diamond_auto,JE040_D1,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
diamond_auto,JE040_D2,1,l_s1_s2,l_s2_s4,l_s1_s2;l_s2_s4,1.0,0,"[-1.0,0,-2,[""l_s1_s2"",""l_s2_s4""]]",G0001
mesh10_auto,J100,1,l_sw2_sw5,l_sw5_sw8,l_sw2_sw5;l_sw5_sw8,1.0,0,"[-1.0,0,-2,[""l_sw2_sw5"",""l_sw5_sw8""]]",G0004
mesh10_auto,J100,2,l_sw4_sw6,l_sw6_sw8,l_sw4_sw6;l_sw6_sw8,1.0,0,"[-1.0,0,-2,[""l_sw4_sw6"",""l_sw6_sw8""]]",G0006
mesh10_auto,J080,1,l_sw2_sw5,l_sw5_sw8,l_sw2_sw5;l_sw5_sw8,1.0,0,"[-1.0,0,-2,[""l_sw2_sw5"",""l_sw5_sw8""]]",G0004
mesh10_auto,J080,2,l_sw4_sw6,l_sw6_sw8,l_sw4_sw6;l_sw6_sw8,1.0,0,"[-1.0,0,-2,[""l_sw4_sw6"",""l_sw6_sw8""]]",G0006
mesh10_auto,J080,3,l_sw3_sw4,l_sw4_sw7,l_sw3_sw4;l_sw4_sw7,0.8,0,"[-0.8,0,-2,[""l_sw3_sw4"",""l_sw4_sw7""]]",G0005
mesh10_auto,J060,1,l_sw2_sw5,l_sw5_sw8,l_sw2_sw5;l_sw5_sw8,1.0,0,"[-1.0,0,-2,[""l_sw2_sw5"",""l_sw5_sw8""]]",G0001
mesh10_auto,J060,2,l_sw4_sw6,l_sw6_sw8,l_sw4_sw6;l_sw6_sw8,1.0,0,"[-1.0,0,-2,[""l_sw4_sw6"",""l_sw6_sw8""]]",G0005
mesh10_auto,J060,3,l_sw3_sw4,l_sw4_sw7,l_sw3_sw4;l_sw4_sw7,0.8,0,"[-0.8,0,-2,[""l_sw3_sw4"",""l_sw4_sw7""]]",G0004
mesh10_auto,J060,4,l_sw1_sw2,l_sw2_sw5;l_sw5_sw8,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8,0.6666666666666666,1,"[-0.6666666666666666,1,-3,[""l_sw1_sw2"",""l_sw2_sw5"",""l_sw5_sw8""]]",G0001
mesh10_auto,J040,1,l_sw2_sw5,l_sw5_sw8,l_sw2_sw5;l_sw5_sw8,1.0,0,"[-1.0,0,-2,[""l_sw2_sw5"",""l_sw5_sw8""]]",G0001
mesh10_auto,J040,2,l_sw4_sw6,l_sw6_sw8,l_sw4_sw6;l_sw6_sw8,1.0,0,"[-1.0,0,-2,[""l_sw4_sw6"",""l_sw6_sw8""]]",G0004
mesh10_auto,J040,3,l_sw3_sw4,l_sw4_sw7,l_sw3_sw4;l_sw4_sw7,0.8,0,"[-0.8,0,-2,[""l_sw3_sw4"",""l_sw4_sw7""]]",G0002
mesh10_auto,J040,4,l_sw1_sw2,l_sw2_sw5;l_sw5_sw8,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8,0.6666666666666666,1,"[-0.6666666666666666,1,-3,[""l_sw1_sw2"",""l_sw2_sw5"",""l_sw5_sw8""]]",G0001
