HNF_flows,HNF_rate,K,K5_HNF_rescued,backend,flow_kind,new_HNF,scenario,total_flows
2,0.020833333333333332,5,0,H2S,ControlCommand,0,M_RING,96
0,0.0,5,0,H2S,InterCellNext,0,M_RING,8
1,0.125,5,0,H2S,InterCellPrevious,0,M_RING,8
1,0.041666666666666664,5,0,H2S,MachineCoordination,0,M_RING,24
0,0.0,5,0,H2S,MachineStatus,0,M_RING,24
0,0.0,5,0,H2S,SensorCyclic,0,M_RING,96
0,0.0,5,0,H2S,SensorFast,0,M_RING,96
2,0.020833333333333332,8,0,H2S,ControlCommand,0,M_RING,96
0,0.0,8,0,H2S,InterCellNext,0,M_RING,8
1,0.125,8,0,H2S,InterCellPrevious,0,M_RING,8
1,0.041666666666666664,8,0,H2S,MachineCoordination,0,M_RING,24
0,0.0,8,0,H2S,MachineStatus,0,M_RING,24
0,0.0,8,0,H2S,SensorCyclic,0,M_RING,96
0,0.0,8,0,H2S,SensorFast,0,M_RING,96
2,0.020833333333333332,12,0,H2S,ControlCommand,0,M_RING,96
0,0.0,12,0,H2S,InterCellNext,0,M_RING,8
1,0.125,12,0,H2S,InterCellPrevious,0,M_RING,8
1,0.041666666666666664,12,0,H2S,MachineCoordination,0,M_RING,24
0,0.0,12,0,H2S,MachineStatus,0,M_RING,24
0,0.0,12,0,H2S,SensorCyclic,0,M_RING,96
0,0.0,12,0,H2S,SensorFast,0,M_RING,96
2,0.020833333333333332,16,0,H2S,ControlCommand,0,M_RING,96
0,0.0,16,0,H2S,InterCellNext,0,M_RING,8
1,0.125,16,0,H2S,InterCellPrevious,0,M_RING,8
1,0.041666666666666664,16,0,H2S,MachineCoordination,0,M_RING,24
0,0.0,16,0,H2S,MachineStatus,0,M_RING,24
0,0.0,16,0,H2S,SensorCyclic,0,M_RING,96
0,0.0,16,0,H2S,SensorFast,0,M_RING,96
2,0.020833333333333332,5,0,CELF,ControlCommand,0,M_RING,96
0,0.0,5,0,CELF,InterCellNext,0,M_RING,8
0,0.0,5,0,CELF,InterCellPrevious,0,M_RING,8
2,0.08333333333333333,5,0,CELF,MachineCoordination,0,M_RING,24
0,0.0,5,0,CELF,MachineStatus,0,M_RING,24
0,0.0,5,0,CELF,SensorCyclic,0,M_RING,96
0,0.0,5,0,CELF,SensorFast,0,M_RING,96
2,0.020833333333333332,8,0,CELF,ControlCommand,0,M_RING,96
0,0.0,8,0,CELF,InterCellNext,0,M_RING,8
0,0.0,8,0,CELF,InterCellPrevious,0,M_RING,8
2,0.08333333333333333,8,0,CELF,MachineCoordination,0,M_RING,24
0,0.0,8,0,CELF,MachineStatus,0,M_RING,24
0,0.0,8,0,CELF,SensorCyclic,0,M_RING,96
0,0.0,8,0,CELF,SensorFast,0,M_RING,96
2,0.020833333333333332,12,0,CELF,ControlCommand,0,M_RING,96
0,0.0,12,0,CELF,InterCellNext,0,M_RING,8
0,0.0,12,0,CELF,InterCellPrevious,0,M_RING,8
2,0.08333333333333333,12,0,CELF,MachineCoordination,0,M_RING,24
0,0.0,12,0,CELF,MachineStatus,0,M_RING,24
0,0.0,12,0,CELF,SensorCyclic,0,M_RING,96
0,0.0,12,0,CELF,SensorFast,0,M_RING,96
2,0.020833333333333332,16,0,CELF,ControlCommand,0,M_RING,96
0,0.0,16,0,CELF,InterCellNext,0,M_RING,8
0,0.0,16,0,CELF,InterCellPrevious,0,M_RING,8
2,0.08333333333333333,16,0,CELF,MachineCoordination,0,M_RING,24
0,0.0,16,0,CELF,MachineStatus,0,M_RING,24
0,0.0,16,0,CELF,SensorCyclic,0,M_RING,96
0,0.0,16,0,CELF,SensorFast,0,M_RING,96
2,0.020833333333333332,5,0,H2S,ControlCommand,0,M_REDSTAR,96
0,0.0,5,0,H2S,InterCellNext,0,M_REDSTAR,8
1,0.125,5,0,H2S,InterCellPrevious,0,M_REDSTAR,8
1,0.041666666666666664,5,0,H2S,MachineCoordination,0,M_REDSTAR,24
0,0.0,5,0,H2S,MachineStatus,0,M_REDSTAR,24
0,0.0,5,0,H2S,SensorCyclic,0,M_REDSTAR,96
0,0.0,5,0,H2S,SensorFast,0,M_REDSTAR,96
2,0.020833333333333332,8,0,H2S,ControlCommand,0,M_REDSTAR,96
0,0.0,8,0,H2S,InterCellNext,0,M_REDSTAR,8
1,0.125,8,0,H2S,InterCellPrevious,0,M_REDSTAR,8
1,0.041666666666666664,8,0,H2S,MachineCoordination,0,M_REDSTAR,24
0,0.0,8,0,H2S,MachineStatus,0,M_REDSTAR,24
0,0.0,8,0,H2S,SensorCyclic,0,M_REDSTAR,96
0,0.0,8,0,H2S,SensorFast,0,M_REDSTAR,96
2,0.020833333333333332,12,0,H2S,ControlCommand,0,M_REDSTAR,96
0,0.0,12,0,H2S,InterCellNext,0,M_REDSTAR,8
1,0.125,12,0,H2S,InterCellPrevious,0,M_REDSTAR,8
1,0.041666666666666664,12,0,H2S,MachineCoordination,0,M_REDSTAR,24
0,0.0,12,0,H2S,MachineStatus,0,M_REDSTAR,24
