K,backend,candidate_count_max,candidate_count_mean,candidate_count_median,candidate_count_min,candidate_count_p25,candidate_count_p75,candidate_count_p90,candidate_count_p95,candidate_saturation_ratio,candidate_underfilled_ratio,candidate_vector_sha256,flow_count,repeat,scenario
5,H2S,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,352,1,M_RING
5,CELF,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,352,1,M_RING
5,H2S,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,352,2,M_RING
5,CELF,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,352,2,M_RING
5,H2S,5,2.1306818181818183,2.0,2,2,2,2,2,0.03977272727272727,0.9602272727272727,f92192456b709835c3a7a46fa152937432e5ef8738e2062cca14a009d6355fdf,352,1,M_REDSTAR
5,CELF,5,2.1306818181818183,2.0,2,2,2,2,2,0.03977272727272727,0.9602272727272727,f92192456b709835c3a7a46fa152937432e5ef8738e2062cca14a009d6355fdf,352,1,M_REDSTAR
5,H2S,5,2.1306818181818183,2.0,2,2,2,2,2,0.03977272727272727,0.9602272727272727,f92192456b709835c3a7a46fa152937432e5ef8738e2062cca14a009d6355fdf,352,2,M_REDSTAR
5,CELF,5,2.1306818181818183,2.0,2,2,2,2,2,0.03977272727272727,0.9602272727272727,f92192456b709835c3a7a46fa152937432e5ef8738e2062cca14a009d6355fdf,352,2,M_REDSTAR
5,H2S,5,2.227272727272727,2.0,2,2,2,3,3,0.045454545454545456,0.9545454545454546,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,352,1,M_ROR
5,CELF,5,2.227272727272727,2.0,2,2,2,3,3,0.045454545454545456,0.9545454545454546,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,352,1,M_ROR
5,H2S,5,2.227272727272727,2.0,2,2,2,3,3,0.045454545454545456,0.9545454545454546,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,352,2,M_ROR
5,CELF,5,2.227272727272727,2.0,2,2,2,3,3,0.045454545454545456,0.9545454545454546,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,352,2,M_ROR
5,H2S,2,1.0689655172413792,1.0,1,1,1,1,2,0.0,1.0,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,928,1,L_RING
5,CELF,2,1.0689655172413792,1.0,1,1,1,1,2,0.0,1.0,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,928,1,L_RING
5,H2S,2,1.0689655172413792,1.0,1,1,1,1,2,0.0,1.0,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,928,2,L_RING
5,CELF,2,1.0689655172413792,1.0,1,1,1,1,2,0.0,1.0,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,928,2,L_RING
5,H2S,5,2.0969827586206895,2.0,2,2,2,2,2,0.028017241379310345,0.9719827586206896,126c059e732626ffd4e13b290cb898d9053fc5ab0908864b392d0cac631e569f,928,1,L_REDSTAR
5,CELF,5,2.0969827586206895,2.0,2,2,2,2,2,0.028017241379310345,0.9719827586206896,126c059e732626ffd4e13b290cb898d9053fc5ab0908864b392d0cac631e569f,928,1,L_REDSTAR
5,H2S,5,2.0969827586206895,2.0,2,2,2,2,2,0.028017241379310345,0.9719827586206896,126c059e732626ffd4e13b290cb898d9053fc5ab0908864b392d0cac631e569f,928,2,L_REDSTAR
5,CELF,5,2.0969827586206895,2.0,2,2,2,2,2,0.028017241379310345,0.9719827586206896,126c059e732626ffd4e13b290cb898d9053fc5ab0908864b392d0cac631e569f,928,2,L_REDSTAR
5,H2S,5,2.206896551724138,2.0,2,2,2,3,3,0.034482758620689655,0.9655172413793104,166257d58b72504da8d1975afa652222911bf2336a909af2c61f8f9c22f29574,928,1,L_ROR
5,CELF,5,2.206896551724138,2.0,2,2,2,3,3,0.034482758620689655,0.9655172413793104,166257d58b72504da8d1975afa652222911bf2336a909af2c61f8f9c22f29574,928,1,L_ROR
5,H2S,5,2.206896551724138,2.0,2,2,2,3,3,0.034482758620689655,0.9655172413793104,166257d58b72504da8d1975afa652222911bf2336a909af2c61f8f9c22f29574,928,2,L_ROR
5,CELF,5,2.206896551724138,2.0,2,2,2,3,3,0.034482758620689655,0.9655172413793104,166257d58b72504da8d1975afa652222911bf2336a909af2c61f8f9c22f29574,928,2,L_ROR
8,H2S,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,352,1,M_RING
8,CELF,2,1.1363636363636365,1.0,1,1,1,2,2,0.0,1.0,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,352,1,M_RING
