HNF_count,HNF_set_sha256,K,K5_HNF_rescued_count,backend,intersection_with_K5,jaccard_with_K5,new_HNF_from_K5_success_count,scenario,union_with_K5
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,5,0,H2S,4,1.0,0,M_RING,4
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,8,0,H2S,4,1.0,0,M_RING,4
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,12,0,H2S,4,1.0,0,M_RING,4
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,16,0,H2S,4,1.0,0,M_RING,4
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,5,0,CELF,4,1.0,0,M_RING,4
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,8,0,CELF,4,1.0,0,M_RING,4
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,12,0,CELF,4,1.0,0,M_RING,4
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,16,0,CELF,4,1.0,0,M_RING,4
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,5,0,H2S,4,1.0,0,M_REDSTAR,4
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,8,0,H2S,4,1.0,0,M_REDSTAR,4
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,12,0,H2S,4,1.0,0,M_REDSTAR,4
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,16,0,H2S,4,1.0,0,M_REDSTAR,4
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,5,0,CELF,4,1.0,0,M_REDSTAR,4
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,8,0,CELF,4,1.0,0,M_REDSTAR,4
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,12,0,CELF,4,1.0,0,M_REDSTAR,4
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,16,0,CELF,4,1.0,0,M_REDSTAR,4
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,5,0,H2S,4,1.0,0,M_ROR,4
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,8,0,H2S,4,1.0,0,M_ROR,4
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,12,0,H2S,4,1.0,0,M_ROR,4
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,16,0,H2S,4,1.0,0,M_ROR,4
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,5,0,CELF,4,1.0,0,M_ROR,4
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,8,0,CELF,4,1.0,0,M_ROR,4
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,12,0,CELF,4,1.0,0,M_ROR,4
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,16,0,CELF,4,1.0,0,M_ROR,4
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,5,0,H2S,14,1.0,0,L_RING,14
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,8,0,H2S,14,1.0,0,L_RING,14
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,12,0,H2S,14,1.0,0,L_RING,14
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,16,0,H2S,14,1.0,0,L_RING,14
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,5,0,CELF,14,1.0,0,L_RING,14
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,8,0,CELF,14,1.0,0,L_RING,14
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,12,0,CELF,14,1.0,0,L_RING,14
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,16,0,CELF,14,1.0,0,L_RING,14
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,5,0,H2S,14,1.0,0,L_REDSTAR,14
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,8,0,H2S,14,1.0,0,L_REDSTAR,14
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,12,0,H2S,14,1.0,0,L_REDSTAR,14
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,16,0,H2S,14,1.0,0,L_REDSTAR,14
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,5,0,CELF,14,1.0,0,L_REDSTAR,14
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,8,0,CELF,14,1.0,0,L_REDSTAR,14
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,12,0,CELF,14,1.0,0,L_REDSTAR,14
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,16,0,CELF,14,1.0,0,L_REDSTAR,14
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,5,0,H2S,14,1.0,0,L_ROR,14
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,8,0,H2S,14,1.0,0,L_ROR,14
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,12,0,H2S,14,1.0,0,L_ROR,14
14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,16,0,H2S,14,1.0,0,L_ROR,14
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,5,0,CELF,14,1.0,0,L_ROR,14
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,8,0,CELF,14,1.0,0,L_ROR,14
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,12,0,CELF,14,1.0,0,L_ROR,14
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,16,0,CELF,14,1.0,0,L_ROR,14
