K,backend,repeat1_HNF_set_sha256,repeat1_candidate_vector_sha256,repeat1_instance_completion_sha256,repeat1_scheduled_flow_count,repeat1_status,repeat2_HNF_set_sha256,repeat2_candidate_vector_sha256,repeat2_instance_completion_sha256,repeat2_scheduled_flow_count,repeat2_status,repeat_consistent,scenario
5,CELF,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,126c059e732626ffd4e13b290cb898d9053fc5ab0908864b392d0cac631e569f,8337e461ac3886b35d64ca492e6f90886f05d4ae85ae9666d303a764631914ca,914,HEURISTIC_NOT_FOUND,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,126c059e732626ffd4e13b290cb898d9053fc5ab0908864b392d0cac631e569f,8337e461ac3886b35d64ca492e6f90886f05d4ae85ae9666d303a764631914ca,914,HEURISTIC_NOT_FOUND,True,L_REDSTAR
5,H2S,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,126c059e732626ffd4e13b290cb898d9053fc5ab0908864b392d0cac631e569f,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,126c059e732626ffd4e13b290cb898d9053fc5ab0908864b392d0cac631e569f,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,True,L_REDSTAR
8,CELF,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,65cf2bec9eb2f16fc92555e7311f24b5fce8550c5be9f1ec1e32a996ea8636e1,8337e461ac3886b35d64ca492e6f90886f05d4ae85ae9666d303a764631914ca,914,HEURISTIC_NOT_FOUND,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,65cf2bec9eb2f16fc92555e7311f24b5fce8550c5be9f1ec1e32a996ea8636e1,8337e461ac3886b35d64ca492e6f90886f05d4ae85ae9666d303a764631914ca,914,HEURISTIC_NOT_FOUND,True,L_REDSTAR
8,H2S,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,65cf2bec9eb2f16fc92555e7311f24b5fce8550c5be9f1ec1e32a996ea8636e1,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,65cf2bec9eb2f16fc92555e7311f24b5fce8550c5be9f1ec1e32a996ea8636e1,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,True,L_REDSTAR
12,CELF,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,65cf2bec9eb2f16fc92555e7311f24b5fce8550c5be9f1ec1e32a996ea8636e1,8337e461ac3886b35d64ca492e6f90886f05d4ae85ae9666d303a764631914ca,914,HEURISTIC_NOT_FOUND,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,65cf2bec9eb2f16fc92555e7311f24b5fce8550c5be9f1ec1e32a996ea8636e1,8337e461ac3886b35d64ca492e6f90886f05d4ae85ae9666d303a764631914ca,914,HEURISTIC_NOT_FOUND,True,L_REDSTAR
12,H2S,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,65cf2bec9eb2f16fc92555e7311f24b5fce8550c5be9f1ec1e32a996ea8636e1,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,65cf2bec9eb2f16fc92555e7311f24b5fce8550c5be9f1ec1e32a996ea8636e1,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,True,L_REDSTAR
16,CELF,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,65cf2bec9eb2f16fc92555e7311f24b5fce8550c5be9f1ec1e32a996ea8636e1,8337e461ac3886b35d64ca492e6f90886f05d4ae85ae9666d303a764631914ca,914,HEURISTIC_NOT_FOUND,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,65cf2bec9eb2f16fc92555e7311f24b5fce8550c5be9f1ec1e32a996ea8636e1,8337e461ac3886b35d64ca492e6f90886f05d4ae85ae9666d303a764631914ca,914,HEURISTIC_NOT_FOUND,True,L_REDSTAR
16,H2S,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,65cf2bec9eb2f16fc92555e7311f24b5fce8550c5be9f1ec1e32a996ea8636e1,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,65cf2bec9eb2f16fc92555e7311f24b5fce8550c5be9f1ec1e32a996ea8636e1,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,True,L_REDSTAR
5,CELF,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,734c0fd08074c3b786b19126b54409a69ca165affcc370bdfe218302a63f82b0,914,HEURISTIC_NOT_FOUND,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,734c0fd08074c3b786b19126b54409a69ca165affcc370bdfe218302a63f82b0,914,HEURISTIC_NOT_FOUND,True,L_RING
5,H2S,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,True,L_RING
