scenario,link_id,endpoint_a,endpoint_a_type,endpoint_b,endpoint_b_type,in_protection_scope,used_by_tt_primary_route,candidate_fault,affected_flow_count,affected_flow_ids,affected_tt_payload_rate_bps,min_affected_deadline_us,mean_affected_deadline_us,max_affected_deadline_us,primary_route_usage_count,classification
diamond_auto,l_s1_s2,s1,switch,s2,switch,1,1,1,1,TT,1600000.0,1000.0,1000.0,1000.0,1,TT_RELEVANT_CANDIDATE
diamond_auto,l_s1_s3,s1,switch,s3,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
diamond_auto,l_s2_s4,s2,switch,s4,switch,1,1,1,1,TT,1600000.0,1000.0,1000.0,1000.0,1,TT_RELEVANT_CANDIDATE
diamond_auto,l_s3_s4,s3,switch,s4,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
diamond_auto,l_s4_destination,s4,switch,destination,end_system,0,1,0,1,TT,1600000.0,1000.0,1000.0,1000.0,1,OUT_OF_SCOPE
diamond_auto,l_source_s1,source,end_system,s1,switch,0,1,0,1,TT,1600000.0,1000.0,1000.0,1000.0,1,OUT_OF_SCOPE
mesh10_auto,l_es1_sw1,es1,end_system,sw1,switch,0,1,0,4,TT1;TT10;TT5;TT7,8800000.0,900.0,925.0,950.0,4,OUT_OF_SCOPE
mesh10_auto,l_es2_sw2,es2,end_system,sw2,switch,0,1,0,3,TT2;TT4;TT8,10400000.0,900.0,933.3333333333334,950.0,3,OUT_OF_SCOPE
mesh10_auto,l_es3_sw4,es3,end_system,sw4,switch,0,1,0,3,TT3;TT6;TT9,7200000.0,900.0,900.0,900.0,3,OUT_OF_SCOPE
mesh10_auto,l_es4_sw7,es4,end_system,sw7,switch,0,1,0,3,TT10;TT4;TT8,10400000.0,950.0,950.0,950.0,3,OUT_OF_SCOPE
mesh10_auto,l_es5_sw9,es5,end_system,sw9,switch,0,1,0,3,TT1;TT3;TT5,6400000.0,900.0,900.0,900.0,3,OUT_OF_SCOPE
mesh10_auto,l_es6_sw10,es6,end_system,sw10,switch,0,1,0,4,TT2;TT6;TT7;TT9,9600000.0,900.0,912.5,950.0,4,OUT_OF_SCOPE
mesh10_auto,l_sw1_sw2,sw1,switch,sw2,switch,1,1,1,2,TT1;TT7,4800000.0,900.0,925.0,950.0,2,TT_RELEVANT_CANDIDATE
mesh10_auto,l_sw1_sw3,sw1,switch,sw3,switch,1,1,1,2,TT10;TT5,4000000.0,900.0,925.0,950.0,2,TT_RELEVANT_CANDIDATE
mesh10_auto,l_sw2_sw3,sw2,switch,sw3,switch,1,1,1,2,TT4;TT8,8000000.0,950.0,950.0,950.0,2,TT_RELEVANT_CANDIDATE
mesh10_auto,l_sw2_sw5,sw2,switch,sw5,switch,1,1,1,3,TT1;TT2;TT7,7200000.0,900.0,916.6666666666666,950.0,3,TT_RELEVANT_CANDIDATE
mesh10_auto,l_sw3_sw4,sw3,switch,sw4,switch,1,1,1,4,TT10;TT4;TT5;TT8,12000000.0,900.0,937.5,950.0,4,TT_RELEVANT_CANDIDATE
mesh10_auto,l_sw3_sw6,sw3,switch,sw6,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
mesh10_auto,l_sw4_sw6,sw4,switch,sw6,switch,1,1,1,2,TT6;TT9,4000000.0,900.0,900.0,900.0,2,TT_RELEVANT_CANDIDATE
mesh10_auto,l_sw4_sw7,sw4,switch,sw7,switch,1,1,1,5,TT10;TT3;TT4;TT5;TT8,15200000.0,900.0,930.0,950.0,5,TT_RELEVANT_CANDIDATE
mesh10_auto,l_sw5_sw6,sw5,switch,sw6,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
mesh10_auto,l_sw5_sw8,sw5,switch,sw8,switch,1,1,1,3,TT1;TT2;TT7,7200000.0,900.0,916.6666666666666,950.0,3,TT_RELEVANT_CANDIDATE
mesh10_auto,l_sw6_sw7,sw6,switch,sw7,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
mesh10_auto,l_sw6_sw8,sw6,switch,sw8,switch,1,1,1,2,TT6;TT9,4000000.0,900.0,900.0,900.0,2,TT_RELEVANT_CANDIDATE
mesh10_auto,l_sw7_sw9,sw7,switch,sw9,switch,1,1,1,2,TT3;TT5,4800000.0,900.0,900.0,900.0,2,TT_RELEVANT_CANDIDATE
mesh10_auto,l_sw8_sw10,sw8,switch,sw10,switch,1,1,1,4,TT2;TT6;TT7;TT9,9600000.0,900.0,912.5,950.0,4,TT_RELEVANT_CANDIDATE
mesh10_auto,l_sw8_sw9,sw8,switch,sw9,switch,1,1,1,1,TT1,1600000.0,900.0,900.0,900.0,1,TT_RELEVANT_CANDIDATE
mesh10_auto,l_sw9_sw10,sw9,switch,sw10,switch,1,0,0,0,,0,,,,0,UNUSED_BY_TT
