fault_id,diamond_auto:l_s1_s2,diamond_auto:l_s2_s4,mesh10_auto:l_sw1_sw2,mesh10_auto:l_sw1_sw3,mesh10_auto:l_sw2_sw3,mesh10_auto:l_sw2_sw5,mesh10_auto:l_sw3_sw4,mesh10_auto:l_sw4_sw6,mesh10_auto:l_sw4_sw7,mesh10_auto:l_sw5_sw8,mesh10_auto:l_sw6_sw8,mesh10_auto:l_sw7_sw9,mesh10_auto:l_sw8_sw10,mesh10_auto:l_sw8_sw9
diamond_auto:l_s1_s2,1.0,1.0,,,,,,,,,,,,
diamond_auto:l_s2_s4,1.0,1.0,,,,,,,,,,,,
mesh10_auto:l_sw1_sw2,,,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2,0.5
mesh10_auto:l_sw1_sw3,,,0.0,1.0,0.0,0.0,0.5,0.0,0.4,0.0,0.0,0.3333333333333333,0.0,0.0
mesh10_auto:l_sw2_sw3,,,0.0,0.0,1.0,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0
mesh10_auto:l_sw2_sw5,,,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.3333333333333333
mesh10_auto:l_sw3_sw4,,,0.0,0.5,0.5,0.0,1.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0
mesh10_auto:l_sw4_sw6,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0
mesh10_auto:l_sw4_sw7,,,0.0,0.4,0.4,0.0,0.8,0.0,1.0,0.0,0.0,0.4,0.0,0.0
mesh10_auto:l_sw5_sw8,,,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.3333333333333333
mesh10_auto:l_sw6_sw8,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0
mesh10_auto:l_sw7_sw9,,,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.4,0.0,0.0,1.0,0.0,0.0
mesh10_auto:l_sw8_sw10,,,0.2,0.0,0.0,0.4,0.0,0.5,0.0,0.4,0.5,0.0,1.0,0.0
mesh10_auto:l_sw8_sw9,,,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0
