alpha,alpha_den,alpha_num,capped_at_period,deadline_over_period,derived_deadline_ns,flow_kind,original_deadline_ns,original_period_ns
1/1,1,1,False,400000/500000,400000,ControlCommand,400000,500000
11/10,10,11,False,440000/500000,440000,ControlCommand,400000,500000
6/5,5,6,False,480000/500000,480000,ControlCommand,400000,500000
5/4,4,5,True,500000/500000,500000,ControlCommand,400000,500000
4/3,3,4,True,500000/500000,500000,ControlCommand,400000,500000
1/1,1,1,False,6000000/8000000,6000000,InterCellNext,6000000,8000000
11/10,10,11,False,6600000/8000000,6600000,InterCellNext,6000000,8000000
6/5,5,6,False,7200000/8000000,7200000,InterCellNext,6000000,8000000
5/4,4,5,False,7500000/8000000,7500000,InterCellNext,6000000,8000000
4/3,3,4,True,8000000/8000000,8000000,InterCellNext,6000000,8000000
1/1,1,1,False,6000000/8000000,6000000,InterCellPrevious,6000000,8000000
11/10,10,11,False,6600000/8000000,6600000,InterCellPrevious,6000000,8000000
6/5,5,6,False,7200000/8000000,7200000,InterCellPrevious,6000000,8000000
5/4,4,5,False,7500000/8000000,7500000,InterCellPrevious,6000000,8000000
4/3,3,4,True,8000000/8000000,8000000,InterCellPrevious,6000000,8000000
1/1,1,1,False,3000000/4000000,3000000,MachineCoordination,3000000,4000000
11/10,10,11,False,3300000/4000000,3300000,MachineCoordination,3000000,4000000
6/5,5,6,False,3600000/4000000,3600000,MachineCoordination,3000000,4000000
5/4,4,5,False,3750000/4000000,3750000,MachineCoordination,3000000,4000000
4/3,3,4,True,4000000/4000000,4000000,MachineCoordination,3000000,4000000
1/1,1,1,False,1500000/2000000,1500000,MachineStatus,1500000,2000000
11/10,10,11,False,1650000/2000000,1650000,MachineStatus,1500000,2000000
6/5,5,6,False,1800000/2000000,1800000,MachineStatus,1500000,2000000
5/4,4,5,False,1875000/2000000,1875000,MachineStatus,1500000,2000000
4/3,3,4,True,2000000/2000000,2000000,MachineStatus,1500000,2000000
1/1,1,1,False,1500000/2000000,1500000,SensorCyclic,1500000,2000000
11/10,10,11,False,1650000/2000000,1650000,SensorCyclic,1500000,2000000
6/5,5,6,False,1800000/2000000,1800000,SensorCyclic,1500000,2000000
5/4,4,5,False,1875000/2000000,1875000,SensorCyclic,1500000,2000000
4/3,3,4,True,2000000/2000000,2000000,SensorCyclic,1500000,2000000
1/1,1,1,False,400000/500000,400000,SensorFast,400000,500000
11/10,10,11,False,440000/500000,440000,SensorFast,400000,500000
6/5,5,6,False,480000/500000,480000,SensorFast,400000,500000
5/4,4,5,True,500000/500000,500000,SensorFast,400000,500000
4/3,3,4,True,500000/500000,500000,SensorFast,400000,500000
