alpha,alpha_den,alpha_num,deadline_diff_count,derived_scenario,derived_scenario_sha,derived_topology_sha,integrity_pass,non_deadline_semantic_diff_count,non_deadline_semantic_diff_paths,parent_scenario_sha,parent_topology_sha,scenario
1/1,1,1,0,M_RING_A100,85f2d1192ed3992583f1f9e2dbca652dce1e73cb6902f0b9de12c0cd90bb1d60,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,True,0,,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,M_RING
11/10,10,11,704,M_RING_A110,53f826eb4ed5fddab33ebe9fbd7411efe044ab33c23e71a1a45153b3cec38311,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,True,0,,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,M_RING
6/5,5,6,704,M_RING_A120,ebc3108584cb8b28355de040560f78a45d6aa1b05bc41d464ca197edb286f8fb,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,True,0,,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,M_RING
5/4,4,5,704,M_RING_A125,1572e1a86a263d6e24abc0059c351c701271c28974d9b2590e75080816d9fdb8,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,True,0,,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,M_RING
4/3,3,4,704,M_RING_A133,b6727c17f7494850c4a84b38e0ad5d29a67cbcb29609c192e209d7b3f38f0edc,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,True,0,,55913fce2cd660bd30ff10098d0042774d8e519453eaa49551f13ab7f1ff4690,7bc671eec6721bb00ec0c638e51cc799ba6d9e0f9c91c20996b7192fbc508baf,M_RING
1/1,1,1,0,M_REDSTAR_A100,6b9979539b787fbed92c64d170c9db73d108bdf15a50bca4ae06aeb61c6b0de9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,True,0,,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,M_REDSTAR
11/10,10,11,704,M_REDSTAR_A110,dd0c53550bdc09fd9cd8b9b9d5bcc5659743b81c2efff79e3de35814252e8e1c,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,True,0,,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,M_REDSTAR
6/5,5,6,704,M_REDSTAR_A120,4438c15da81894f67f7d5e18060b0cf8c96bc42e1113e90ad85f15ef573a388d,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,True,0,,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,M_REDSTAR
5/4,4,5,704,M_REDSTAR_A125,f19f9f9e04f92b5ebdb214dd84f526927b7674a3ae4e173bab653538ba8b448f,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,True,0,,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,M_REDSTAR
4/3,3,4,704,M_REDSTAR_A133,63c29279ccde9c0a494b35fac33c9d5edb03b819ccd0963f264cc434b9bead9e,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,True,0,,c149eda17c4275ef80bc04050c2576729208a315df1697c45003cf7929a7fab9,7d355bf431fbf1982c0fb30350a9510c1393a9adcdcd36f497b67635cc1df7e8,M_REDSTAR
1/1,1,1,0,M_ROR_A100,40e82be27b1f57c130ab5b734aa78e0f06b8ba298fb48a31dbbb3b8bb9f38deb,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,True,0,,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,M_ROR
11/10,10,11,704,M_ROR_A110,f86676194eff6b5140cef8af9009bfbf979cf97ee00e76cbcd536f9c5326a4b5,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,True,0,,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,M_ROR
6/5,5,6,704,M_ROR_A120,74150b8f8550903ab7b8b13ad835517266765f006a17c524097d6ef02918c786,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,True,0,,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,M_ROR
5/4,4,5,704,M_ROR_A125,5561201d4519a8de81ac72f75234245bb759484f474b27854cc4bdc0f1875549,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,True,0,,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,M_ROR
4/3,3,4,704,M_ROR_A133,81d2fa6ad951f2af440b9ddabb79a433f601aaf6e052dc12d6054799267dba47,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,True,0,,3c2e69953fffe98092b7bd9ed2756e31255919be45c1d42e6abb0c3e670b4ddd,936b8ce377488558c426bd925841d45735a9ca9e6acea837f7c805eb2311e959,M_ROR
1/1,1,1,0,L_RING_A100,48309fc654a147136e595f5edcb2aa2c28831a8f346e661aadd594567ae6f226,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,True,0,,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,L_RING
11/10,10,11,1856,L_RING_A110,37fb0572b89626e9974331718e75dfdb24e3d43ba121ee33eec3be1a99ce08b1,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,True,0,,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,L_RING
6/5,5,6,1856,L_RING_A120,421e9f7e98aa8142abcbe665a4c734f089e6ab322c0fe54a1fd392d4afc91888,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,True,0,,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,L_RING
5/4,4,5,1856,L_RING_A125,f3bd09731065fb3ec9918f9a30dd59181f269ea506e355012ed40969f425302b,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,True,0,,6546c021da92e20c77da6352cf940a6ba2e6f42739aa769cd9dfd19301d1e3df,9437529279ba936bb459004ec5bfa5a8f4a09a8f7888390965eb67781498a3f9,L_RING
