alpha,alpha_den,alpha_num,capped_at_period,deadline_changed,derived_deadline_ns,derived_scenario,flow_id,flow_kind,original_deadline_ns,period_ns,release_ns,source_scenario
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C01_M01_A1_C01_M01,ControlCommand,400000,500000,65900,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C01_M01_A2_C01_M01,ControlCommand,400000,500000,51400,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C01_M01_A3_C01_M01,ControlCommand,400000,500000,18100,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C01_M01_A4_C01_M01,ControlCommand,400000,500000,94500,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C01_M02_A1_C01_M02,ControlCommand,400000,500000,96800,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C01_M02_A2_C01_M02,ControlCommand,400000,500000,5900,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C01_M02_A3_C01_M02,ControlCommand,400000,500000,73800,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C01_M02_A4_C01_M02,ControlCommand,400000,500000,54000,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C01_M03_A1_C01_M03,ControlCommand,400000,500000,16600,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C01_M03_A2_C01_M03,ControlCommand,400000,500000,4900,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C01_M03_A3_C01_M03,ControlCommand,400000,500000,83400,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C01_M03_A4_C01_M03,ControlCommand,400000,500000,24500,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C02_M01_A1_C02_M01,ControlCommand,400000,500000,15700,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C02_M01_A2_C02_M01,ControlCommand,400000,500000,93300,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C02_M01_A3_C02_M01,ControlCommand,400000,500000,49400,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C02_M01_A4_C02_M01,ControlCommand,400000,500000,22300,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C02_M02_A1_C02_M02,ControlCommand,400000,500000,97900,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C02_M02_A2_C02_M02,ControlCommand,400000,500000,83800,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C02_M02_A3_C02_M02,ControlCommand,400000,500000,94900,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C02_M02_A4_C02_M02,ControlCommand,400000,500000,56600,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C02_M03_A1_C02_M03,ControlCommand,400000,500000,13300,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C02_M03_A2_C02_M03,ControlCommand,400000,500000,98500,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C02_M03_A3_C02_M03,ControlCommand,400000,500000,85700,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C02_M03_A4_C02_M03,ControlCommand,400000,500000,52800,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C03_M01_A1_C03_M01,ControlCommand,400000,500000,60600,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C03_M01_A2_C03_M01,ControlCommand,400000,500000,18900,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C03_M01_A3_C03_M01,ControlCommand,400000,500000,13700,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C03_M01_A4_C03_M01,ControlCommand,400000,500000,54700,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C03_M02_A1_C03_M02,ControlCommand,400000,500000,75600,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C03_M02_A2_C03_M02,ControlCommand,400000,500000,54200,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C03_M02_A3_C03_M02,ControlCommand,400000,500000,18100,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C03_M02_A4_C03_M02,ControlCommand,400000,500000,11300,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C03_M03_A1_C03_M03,ControlCommand,400000,500000,87900,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C03_M03_A2_C03_M03,ControlCommand,400000,500000,45300,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C03_M03_A3_C03_M03,ControlCommand,400000,500000,3900,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C03_M03_A4_C03_M03,ControlCommand,400000,500000,83800,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C04_M01_A1_C04_M01,ControlCommand,400000,500000,3400,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C04_M01_A2_C04_M01,ControlCommand,400000,500000,27600,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C04_M01_A3_C04_M01,ControlCommand,400000,500000,75500,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C04_M01_A4_C04_M01,ControlCommand,400000,500000,44700,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C04_M02_A1_C04_M02,ControlCommand,400000,500000,32400,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C04_M02_A2_C04_M02,ControlCommand,400000,500000,84300,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C04_M02_A3_C04_M02,ControlCommand,400000,500000,14200,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C04_M02_A4_C04_M02,ControlCommand,400000,500000,74300,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C04_M03_A1_C04_M03,ControlCommand,400000,500000,96000,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C04_M03_A2_C04_M03,ControlCommand,400000,500000,13000,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C04_M03_A3_C04_M03,ControlCommand,400000,500000,9900,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C04_M03_A4_C04_M03,ControlCommand,400000,500000,72300,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C05_M01_A1_C05_M01,ControlCommand,400000,500000,67900,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C05_M01_A2_C05_M01,ControlCommand,400000,500000,81300,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C05_M01_A3_C05_M01,ControlCommand,400000,500000,31700,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C05_M01_A4_C05_M01,ControlCommand,400000,500000,87600,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C05_M02_A1_C05_M02,ControlCommand,400000,500000,15400,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C05_M02_A2_C05_M02,ControlCommand,400000,500000,73800,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C05_M02_A3_C05_M02,ControlCommand,400000,500000,88600,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C05_M02_A4_C05_M02,ControlCommand,400000,500000,43400,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C05_M03_A1_C05_M03,ControlCommand,400000,500000,31800,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C05_M03_A2_C05_M03,ControlCommand,400000,500000,96100,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C05_M03_A3_C05_M03,ControlCommand,400000,500000,67700,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C05_M03_A4_C05_M03,ControlCommand,400000,500000,65300,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C06_M01_A1_C06_M01,ControlCommand,400000,500000,1100,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C06_M01_A2_C06_M01,ControlCommand,400000,500000,18500,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C06_M01_A3_C06_M01,ControlCommand,400000,500000,99400,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C06_M01_A4_C06_M01,ControlCommand,400000,500000,48900,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,400000,500000,59400,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,400000,500000,59500,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,400000,500000,98500,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,400000,500000,97900,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C06_M03_A1_C06_M03,ControlCommand,400000,500000,8500,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C06_M03_A2_C06_M03,ControlCommand,400000,500000,38600,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C06_M03_A3_C06_M03,ControlCommand,400000,500000,96400,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C06_M03_A4_C06_M03,ControlCommand,400000,500000,82500,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C07_M01_A1_C07_M01,ControlCommand,400000,500000,68700,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C07_M01_A2_C07_M01,ControlCommand,400000,500000,97500,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C07_M01_A3_C07_M01,ControlCommand,400000,500000,84300,M_RING
1/1,1,1,False,False,400000,M_RING_A100,CMD_PLC_C07_M01_A4_C07_M01,ControlCommand,400000,500000,29500,M_RING
