alpha,alpha_HNF,alpha_completion_class,baseline_HNF,baseline_completion_class,flow_id,flow_kind,regressed_from_baseline_success,rescued_from_baseline_HNF,scenario
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C01_M01_A1_C01_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C01_M01_A2_C01_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C01_M01_A3_C01_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C01_M01_A4_C01_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C01_M02_A1_C01_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C01_M02_A2_C01_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C01_M02_A3_C01_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C01_M02_A4_C01_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C01_M03_A1_C01_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C01_M03_A2_C01_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C01_M03_A3_C01_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C01_M03_A4_C01_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C02_M01_A1_C02_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C02_M01_A2_C02_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C02_M01_A3_C02_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C02_M01_A4_C02_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C02_M02_A1_C02_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C02_M02_A2_C02_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C02_M02_A3_C02_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C02_M02_A4_C02_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C02_M03_A1_C02_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C02_M03_A2_C02_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C02_M03_A3_C02_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C02_M03_A4_C02_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C03_M01_A1_C03_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C03_M01_A2_C03_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C03_M01_A3_C03_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C03_M01_A4_C03_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C03_M02_A1_C03_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C03_M02_A2_C03_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C03_M02_A3_C03_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C03_M02_A4_C03_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C03_M03_A1_C03_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C03_M03_A2_C03_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C03_M03_A3_C03_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C03_M03_A4_C03_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C04_M01_A1_C04_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C04_M01_A2_C04_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C04_M01_A3_C04_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C04_M01_A4_C04_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C04_M02_A1_C04_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C04_M02_A2_C04_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C04_M02_A3_C04_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C04_M02_A4_C04_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C04_M03_A1_C04_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C04_M03_A2_C04_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C04_M03_A3_C04_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C04_M03_A4_C04_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C05_M01_A1_C05_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C05_M01_A2_C05_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C05_M01_A3_C05_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C05_M01_A4_C05_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C05_M02_A1_C05_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C05_M02_A2_C05_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C05_M02_A3_C05_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C05_M02_A4_C05_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C05_M03_A1_C05_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C05_M03_A2_C05_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C05_M03_A3_C05_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C05_M03_A4_C05_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C06_M01_A1_C06_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C06_M01_A2_C06_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C06_M01_A3_C06_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C06_M01_A4_C06_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,False,False,M_RING
1/1,True,ZERO_SCHEDULED,True,ZERO_SCHEDULED,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,False,False,M_RING
1/1,True,ZERO_SCHEDULED,True,ZERO_SCHEDULED,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C06_M03_A1_C06_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C06_M03_A2_C06_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C06_M03_A3_C06_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C06_M03_A4_C06_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C07_M01_A1_C07_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C07_M01_A2_C07_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C07_M01_A3_C07_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C07_M01_A4_C07_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C07_M02_A1_C07_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C07_M02_A2_C07_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C07_M02_A3_C07_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C07_M02_A4_C07_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C07_M03_A1_C07_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C07_M03_A2_C07_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C07_M03_A3_C07_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C07_M03_A4_C07_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C08_M01_A1_C08_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C08_M01_A2_C08_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C08_M01_A3_C08_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C08_M01_A4_C08_M01,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C08_M02_A1_C08_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C08_M02_A2_C08_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C08_M02_A3_C08_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C08_M02_A4_C08_M02,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C08_M03_A1_C08_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C08_M03_A2_C08_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C08_M03_A3_C08_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,CMD_PLC_C08_M03_A4_C08_M03,ControlCommand,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C01_PLC_C01_M01,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C01_PLC_C01_M02,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C01_PLC_C01_M03,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C02_PLC_C02_M01,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C02_PLC_C02_M02,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C02_PLC_C02_M03,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C03_PLC_C03_M01,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C03_PLC_C03_M02,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C03_PLC_C03_M03,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C04_PLC_C04_M01,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C04_PLC_C04_M02,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C04_PLC_C04_M03,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C05_PLC_C05_M01,MachineCoordination,False,False,M_RING
1/1,True,ZERO_SCHEDULED,True,ZERO_SCHEDULED,COORD_CC_C05_PLC_C05_M02,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C05_PLC_C05_M03,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C06_PLC_C06_M01,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C06_PLC_C06_M02,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C06_PLC_C06_M03,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C07_PLC_C07_M01,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C07_PLC_C07_M02,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C07_PLC_C07_M03,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C08_PLC_C08_M01,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C08_PLC_C08_M02,MachineCoordination,False,False,M_RING
1/1,False,FULLY_SCHEDULED,False,FULLY_SCHEDULED,COORD_CC_C08_PLC_C08_M03,MachineCoordination,False,False,M_RING
