CELF_attempted,CELF_ms,CELF_scheduled_count,CELF_status,H2S_ms,H2S_scheduled_count,H2S_status,HNF_count,HNF_set_sha,P0_complete,alpha,alpha_decimal,alpha_den,alpha_num,complete_instances,expected_instances,formal_algorithm,formal_scheduled_count,formal_status,instance_completion_sha,missing_instances,peak_RSS,repeat,scale,scenario,scheduled_ratio,static_checker,topology,total_flows,upstream_verifier
True,63.95055,348,PARTIAL_SCHEDULE,63.764556,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,1/1,1,1,1,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,35,19456000,1,M,M_RING,0.9886363636363636,False,RING,352,True
True,62.690461,348,PARTIAL_SCHEDULE,63.253079,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,1/1,1,1,1,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,35,19451904,2,M,M_RING,0.9886363636363636,False,RING,352,True
True,94.772695,348,PARTIAL_SCHEDULE,94.93756,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,1/1,1,1,1,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,35,23072768,1,M,M_REDSTAR,0.9886363636363636,False,REDSTAR,352,True
True,91.210243,348,PARTIAL_SCHEDULE,96.571351,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,1/1,1,1,1,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,35,23072768,2,M,M_REDSTAR,0.9886363636363636,False,REDSTAR,352,True
True,86.499142,348,PARTIAL_SCHEDULE,84.942665,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,1/1,1,1,1,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,35,19124224,1,M,M_ROR,0.9886363636363636,False,ROR,352,True
True,85.503068,348,PARTIAL_SCHEDULE,88.26831,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,1/1,1,1,1,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,35,19124224,2,M,M_ROR,0.9886363636363636,False,ROR,352,True
True,169.7385,914,PARTIAL_SCHEDULE,168.061419,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,1/1,1,1,1,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,183,44142592,1,L,L_RING,0.9849137931034483,False,RING,928,True
True,161.774865,914,PARTIAL_SCHEDULE,161.619685,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,1/1,1,1,1,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,183,44142592,2,L,L_RING,0.9849137931034483,False,RING,928,True
True,471.720277,914,PARTIAL_SCHEDULE,464.233266,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,1/1,1,1,1,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,183,52719616,1,L,L_REDSTAR,0.9849137931034483,False,REDSTAR,928,True
True,471.897424,914,PARTIAL_SCHEDULE,473.24424,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,1/1,1,1,1,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,183,52719616,2,L,L_REDSTAR,0.9849137931034483,False,REDSTAR,928,True
True,360.309576,914,PARTIAL_SCHEDULE,363.9945,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,1/1,1,1,1,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,183,42655744,1,L,L_ROR,0.9849137931034483,False,ROR,928,True
True,370.587717,914,PARTIAL_SCHEDULE,379.859753,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,1/1,1,1,1,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,183,42655744,2,L,L_ROR,0.9849137931034483,False,ROR,928,True
True,63.858951,348,PARTIAL_SCHEDULE,69.67098,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,11/10,1.1,10,11,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,35,19451904,1,M,M_RING,0.9886363636363636,False,RING,352,True
True,60.627903,348,PARTIAL_SCHEDULE,63.086845,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,11/10,1.1,10,11,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,35,19456000,2,M,M_RING,0.9886363636363636,False,RING,352,True
