HNF_set_exact,alpha,formal_status_exact,instance_completion_exact,repeat_1_HNF_set_sha,repeat_1_instance_completion_sha,repeat_1_scheduled_count,repeat_1_status,repeat_2_HNF_set_sha,repeat_2_instance_completion_sha,repeat_2_scheduled_count,repeat_2_status,repeatability_pass,scenario,scheduled_count_exact
True,1/1,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,True,L_REDSTAR,True
True,11/10,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,True,L_REDSTAR,True
True,4/3,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,True,L_REDSTAR,True
True,5/4,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,True,L_REDSTAR,True
True,6/5,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,914,HEURISTIC_NOT_FOUND,True,L_REDSTAR,True
True,1/1,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,True,L_RING,True
True,11/10,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,True,L_RING,True
True,4/3,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,True,L_RING,True
True,5/4,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,True,L_RING,True
True,6/5,True,True,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,914,HEURISTIC_NOT_FOUND,True,L_RING,True
