scenario,candidate_group_id,affected_flow_set,affected_flow_set_sha256,member_count,fault_ids,all_members_per_failure_sat,per_failure_semantic_hash_count,candidate_shared_synthesis_status,shared_profile_id,shared_profile_semantic_hash,shared_profile_bytes,final_class_count,diagnostic
diamond_auto,G0001,TT,3da10845d8b5f62d0e7871bef508ed9d7abd258210e38c43700189098d83ab37,2,l_s1_s2;l_s2_s4,True,1,SHARED_SAT,EQ_C0001,0f3160ef0e91b0567c2da52867a7fc79b31667d3bae6f739d30ff0e9525a5abf,2176,1,lexicographic optimum found
mesh10_auto,G0001,TT10;TT4;TT5;TT8,061bc9b690ce34a3f3ed1afa833bde4aa8031f28105cc8cea867ba78d9745c6f,1,l_sw3_sw4,True,1,NOT_ATTEMPTED,,,,1,
mesh10_auto,G0002,TT1;TT7,0776d071ebab6327e722d9720e09c52307d3504a9d6f201a97d484d7c867b872,1,l_sw1_sw2,True,1,NOT_ATTEMPTED,,,,1,
mesh10_auto,G0003,TT1,4c8af3da8899fc857a7afe40c4ec231b028749efdc60dfcaec0d6a68d19a1820,1,l_sw8_sw9,True,1,NOT_ATTEMPTED,,,,1,
mesh10_auto,G0004,TT2;TT6;TT7;TT9,630a79c477281fe3b4973811c6d2afa82136992a56008a3bb7ca66a5855a9205,1,l_sw8_sw10,True,1,NOT_ATTEMPTED,,,,1,
mesh10_auto,G0005,TT6;TT9,8e010faebffc0b47c0863f05c6b86bf08049446377d50460233685434fa38c2b,2,l_sw4_sw6;l_sw6_sw8,True,1,SHARED_SAT,EQ_C0005,181a9aad9c7ce5a8ad09fb461fc49366db375a0d615e97ed728cf54d55d52729,14346,1,lexicographic optimum found
mesh10_auto,G0006,TT1;TT2;TT7,9e94aaf595b8941bc7399d4a91ca2673323380653c9ab324a9bc61d9682bc1ca,2,l_sw2_sw5;l_sw5_sw8,True,1,SHARED_SAT,EQ_C0006,ad77ec1c3bb3bab9730edf9fc33a68f52bbbba8b751fb5a00ade6b2632bb41bc,14836,1,lexicographic optimum found
mesh10_auto,G0007,TT3;TT5,b8788f11daeb90a748cd221e5ba03533a71b06cefd29c865a512d88d7bc635c1,1,l_sw7_sw9,True,1,NOT_ATTEMPTED,,,,1,
mesh10_auto,G0008,TT10;TT3;TT4;TT5;TT8,d7884579243b5fad9d46ed9c2291e5834d8f91ae9d3270424f4dc9d8d412c59f,1,l_sw4_sw7,True,1,NOT_ATTEMPTED,,,,1,
mesh10_auto,G0009,TT4;TT8,e66ca69e69702f5813b4a32011db278e6335bd91a3422dbca730bfa64444bb30,1,l_sw2_sw3,True,1,NOT_ATTEMPTED,,,,1,
mesh10_auto,G0010,TT10;TT5,f1a47ff324e73518ef04c9514e367bde1b390b95c240bd796aafbf538de44f8d,1,l_sw1_sw3,True,1,NOT_ATTEMPTED,,,,1,
structured20_auto,G0001,TT04;TT09,00ba73019778958e8b80d8246cd84f66a1b4dc4d3a09f567febb269fb56284cf,2,l_sw11_sw17;l_sw17_sw18,True,1,SHARED_SAT,EQ_C0001,1aa4bd75d1a837e124681ecec8b161851a635353f6079e01b4958c12a72613b4,33793,1,lexicographic optimum found
structured20_auto,G0002,TT02;TT08;TT15;TT18,09f06c7e29d771cf8e1e2a388dedefae3799153d27a19776a35ea137de0eeb89,1,l_sw11_sw16,True,1,NOT_ATTEMPTED,,,,1,
structured20_auto,G0003,TT01;TT02;TT03;TT05;TT08;TT11;TT16;TT17,112a3d369008e1a55bedcf13680d29503c2e184940305ccfc786cf131e202061,1,l_sw01_sw02,True,1,NOT_ATTEMPTED,,,,1,
structured20_auto,G0004,TT03;TT08;TT13;TT16,120fa32fc30ae615854a5ea5e33fd2abd9133069cea86eb7f07509afcb2d8b59,1,l_sw04_sw05,True,1,NOT_ATTEMPTED,,,,1,
structured20_auto,G0005,TT06;TT15;TT18,133f4971f975dd37613a08b89a46df658b3cae5a5993805f58d205378f6d96b2,2,l_sw08_sw09;l_sw09_sw10,True,2,SHARED_SAT,EQ_C0005,0b18cbc133d99c93ace6c2490fe1cc561e04cbf0c42018319b009e8467313203,35252,1,lexicographic optimum found
structured20_auto,G0006,TT02;TT03;TT04;TT06;TT08;TT09;TT14;TT15;TT16;TT18,21927dc5f609dda136d2ba631a67ede0ea04eaa30e0f81819589d10d00164060,1,l_sw06_sw11,True,1,NOT_ATTEMPTED,,,,1,
structured20_auto,G0007,TT02;TT03;TT05;TT08;TT11;TT16;TT17,2e84bb73f354c5cf7f9b1574def7f774d147fa8efe7488dede3b024d0c7c0aa5,1,l_sw02_sw03,True,1,NOT_ATTEMPTED,,,,1,
structured20_auto,G0008,TT03;TT05;TT07;TT08;TT11;TT12;TT13;TT16;TT17,337c0cd0f918f1bc6f73dfac9c944f122fbc64ac65c95b734c6ee569b62b58ad,1,l_sw03_sw04,True,1,NOT_ATTEMPTED,,,,1,
structured20_auto,G0009,TT07;TT11;TT12;TT17,3f70ad1bfec0879590da5a6a3af6b0e4110b9abc94d04b8250799a4196e60e86,1,l_sw10_sw15,True,1,NOT_ATTEMPTED,,,,1,
structured20_auto,G0010,TT10;TT12,440cbb0a64c652413143932f26c29b2a9c39e58a10161345a8ac1e67fe9dd701,1,l_sw15_sw20,True,1,NOT_ATTEMPTED,,,,1,
structured20_auto,G0011,TT13;TT19,61934758cc2c6ee0c162a8607a83844de65a4abafd1bdac0a9e636c9d11bbe88,2,l_sw03_sw08;l_sw13_sw18,True,2,SHARED_SAT,EQ_C0011,668c06bfc17a9a64abdd43b2a971626f713f5af4ec030a91498a46f2f1cc8b08,35798,1,lexicographic optimum found
structured20_auto,G0012,TT01,62b5aadc794e698513b2bb6c5a79269da7d09526d2d87771ed7e99ae84790959,1,l_sw02_sw08,True,1,NOT_ATTEMPTED,,,,1,
structured20_auto,G0013,TT02;TT03;TT08;TT16,87c78e92b0a23478c0af1648d32de9e9330773396dc83c6dda7e9901fc5bfd53,1,l_sw01_sw06,True,1,NOT_ATTEMPTED,,,,1,
structured20_auto,G0014,TT01;TT13;TT19;TT20,8871c6770d59a0b6bd1aeca9118b05188b78fff68e5fcd55290370392d8f477c,1,l_sw08_sw13,True,1,NOT_ATTEMPTED,,,,1,
structured20_auto,G0015,TT05;TT07;TT11;TT12;TT17,aa9fb29a3b2bf2776fc2800001f62b6f06dd2d64e3715356b6d80b8f5331d1de,1,l_sw04_sw10,True,1,NOT_ATTEMPTED,,,,1,
structured20_auto,G0016,TT06;TT15;TT18;TT20,c047a84b5c8e55b9446d156a2173d849523813f326b0fda7e81910e03ab0e259,2,l_sw06_sw07;l_sw07_sw08,True,2,SHARED_SAT,EQ_C0016,0e051809902479513bf327acdbea2b2f6b8872738f5940fb94c4c4db1c4deb67,34657,1,lexicographic optimum found
structured20_auto,G0017,TT01;TT20,fe92d738fad0c7179f6de8ab451d41dcfe8136ecd58dfae6924e0d1460fe3ffc,2,l_sw13_sw19;l_sw19_sw20,True,2,SHARED_SAT,EQ_C0017,3100b5450052eb153143f756875ee717a7fa9e55c8471a7fc79602e59c3a3ebe,33450,1,lexicographic optimum found
