scenario,fault_id,affected_flow_count,class_id,class_size,class_type,per_failure_profile_id,equivalence_profile_id,same_profile_hash,per_failure_tt_lost,equivalence_tt_lost,loss_delta,per_failure_deadline_miss,equivalence_deadline_miss,deadline_miss_delta,per_failure_recovery_us,equivalence_recovery_us,recovery_delta_us,per_failure_activation_wall_us,equivalence_activation_wall_us,validation_pass
diamond_auto,l_s1_s2,1,C0001,2,MULTI_FAULT_SHARED,PF_l_s1_s2,EQ_C0001,True,0,0,0,0,0,0,363.6,363.6,0.0,19.039,16.979,True
diamond_auto,l_s2_s4,1,C0001,2,MULTI_FAULT_SHARED,PF_l_s2_s4,EQ_C0001,True,0,0,0,0,0,0,246.32000000000002,246.32000000000002,0.0,18.377,16.694,True
mesh10_auto,l_sw1_sw2,2,C0002,1,SINGLETON,PF_l_sw1_sw2,PF_l_sw1_sw2,True,0,0,0,0,0,0,54.912,54.912,0.0,123.256,111.787,True
mesh10_auto,l_sw1_sw3,2,C0010,1,SINGLETON,PF_l_sw1_sw3,PF_l_sw1_sw3,True,0,0,0,0,0,0,120.16,120.16,0.0,115.069,138.156,True
mesh10_auto,l_sw2_sw3,2,C0009,1,SINGLETON,PF_l_sw2_sw3,PF_l_sw2_sw3,True,0,0,0,0,0,0,107.728,107.728,0.0,132.209,127.65,True
mesh10_auto,l_sw2_sw5,3,C0006,2,MULTI_FAULT_SHARED,PF_l_sw2_sw5,EQ_C0006,True,0,0,0,0,0,0,54.912,54.912,0.0,110.448,113.008,True
mesh10_auto,l_sw3_sw4,4,C0001,1,SINGLETON,PF_l_sw3_sw4,PF_l_sw3_sw4,True,0,0,0,0,0,0,107.728,107.728,0.0,144.627,123.107,True
mesh10_auto,l_sw4_sw6,2,C0005,2,MULTI_FAULT_SHARED,PF_l_sw4_sw6,EQ_C0005,True,0,0,0,0,0,0,141.328,141.328,0.0,103.603,106.208,True
mesh10_auto,l_sw4_sw7,5,C0008,1,SINGLETON,PF_l_sw4_sw7,PF_l_sw4_sw7,True,0,0,0,0,0,0,84.528,84.528,0.0,137.836,115.278,True
mesh10_auto,l_sw5_sw8,3,C0006,2,MULTI_FAULT_SHARED,PF_l_sw5_sw8,EQ_C0006,True,0,0,0,0,0,0,54.912,54.912,0.0,103.345,111.5,True
mesh10_auto,l_sw6_sw8,2,C0005,2,MULTI_FAULT_SHARED,PF_l_sw6_sw8,EQ_C0005,True,0,0,0,0,0,0,141.328,141.328,0.0,98.525,104.514,True
mesh10_auto,l_sw7_sw9,2,C0007,1,SINGLETON,PF_l_sw7_sw9,PF_l_sw7_sw9,True,0,0,0,0,0,0,84.528,84.528,0.0,141.555,151.755,True
mesh10_auto,l_sw8_sw10,4,C0004,1,SINGLETON,PF_l_sw8_sw10,PF_l_sw8_sw10,True,0,0,0,0,0,0,55.071999999999996,55.071999999999996,0.0,109.917,102.419,True
mesh10_auto,l_sw8_sw9,1,C0003,1,SINGLETON,PF_l_sw8_sw9,PF_l_sw8_sw9,True,0,0,0,0,0,0,54.912,54.912,0.0,132.292,138.277,True
structured20_auto,l_sw01_sw02,8,C0003,1,SINGLETON,PF_l_sw01_sw02,PF_l_sw01_sw02,True,0,0,0,0,0,0,58.152,58.152,0.0,286.629,297.602,True
