scenario,class_id,candidate_group_id,class_type,profile_source,class_size,fault_ids,affected_flow_set,status,profile_id,profile_sha256,semantic_profile_hash,profile_bytes
diamond_auto,C0001,G0001,MULTI_FAULT_SHARED,ROBUST_SYNTHESIS,2,l_s1_s2;l_s2_s4,TT,VALIDATED_SHARED,EQ_C0001,ba3d478c8f56deba260a6923601942c72e20c3c4af874c91d69a7b5936360dcc,0f3160ef0e91b0567c2da52867a7fc79b31667d3bae6f739d30ff0e9525a5abf,2176
mesh10_auto,C0001,G0001,SINGLETON,PER_FAILURE_REUSE,1,l_sw3_sw4,TT10;TT4;TT5;TT8,VALIDATED_SINGLETON,PF_l_sw3_sw4,cae28d343b8e48af7c357cd2e0c2d3a3dc238576f03313d4d840665e77802227,9e6746c29e205d41a7924dcba1d765934447d204bd15a05ece8bccfeb7e5e241,15356
mesh10_auto,C0002,G0002,SINGLETON,PER_FAILURE_REUSE,1,l_sw1_sw2,TT1;TT7,VALIDATED_SINGLETON,PF_l_sw1_sw2,86e19cf7c02781ca6f7c33b2318e689c519bc9720fd251d3eb266a78258c2064,26dfad551540cc7f3e556b413d02447e47bc04f90b3ff5ba04aee54d721fffec,15043
mesh10_auto,C0003,G0003,SINGLETON,PER_FAILURE_REUSE,1,l_sw8_sw9,TT1,VALIDATED_SINGLETON,PF_l_sw8_sw9,df3330682882b535b08ef449b31e454a6967437a534b0c1a9887838e2a629122,b1337a1fa0466b583ffef5fffe57cbce442d062c697b07253a8a2f77d4d77084,15003
mesh10_auto,C0004,G0004,SINGLETON,PER_FAILURE_REUSE,1,l_sw8_sw10,TT2;TT6;TT7;TT9,VALIDATED_SINGLETON,PF_l_sw8_sw10,f785f1591181db2129a2ce09f6c1bda98ee6fab95880fd3cb61ff065ee8d13a7,3e5dfc97cf28ea46dc342a0115d60205ee95d77349baa8ae8b310a3e6f863d34,14276
mesh10_auto,C0005,G0005,MULTI_FAULT_SHARED,ROBUST_SYNTHESIS,2,l_sw4_sw6;l_sw6_sw8,TT6;TT9,VALIDATED_SHARED,EQ_C0005,61886e5b71b4b77ecdc360a533baf8594c5d4657572eb2d152ae72a6b6b63324,181a9aad9c7ce5a8ad09fb461fc49366db375a0d615e97ed728cf54d55d52729,14346
mesh10_auto,C0006,G0006,MULTI_FAULT_SHARED,ROBUST_SYNTHESIS,2,l_sw2_sw5;l_sw5_sw8,TT1;TT2;TT7,VALIDATED_SHARED,EQ_C0006,8f7735452f029bea8b8c4d3b7995d8816788f0af59378af31bbffab118be96dc,ad77ec1c3bb3bab9730edf9fc33a68f52bbbba8b751fb5a00ade6b2632bb41bc,14836
mesh10_auto,C0007,G0007,SINGLETON,PER_FAILURE_REUSE,1,l_sw7_sw9,TT3;TT5,VALIDATED_SINGLETON,PF_l_sw7_sw9,be2a3d4a70eaa03ef798c9ac7bca1952bc089123fc39e49af63b7790b5049cb7,42b0d968ab1b659895c97ccf446fefd2e45416ec94b0371a082895bf50d7db95,15695
mesh10_auto,C0008,G0008,SINGLETON,PER_FAILURE_REUSE,1,l_sw4_sw7,TT10;TT3;TT4;TT5;TT8,VALIDATED_SINGLETON,PF_l_sw4_sw7,5c67637dbe0ded3530bfb63ca5c350bdcddb4259c908635dd984caf6b1bb3317,3c2085a6b89390b8753d3c63fb883722666c9ef81f56ce476f2f8acd0ec325e3,15241
mesh10_auto,C0009,G0009,SINGLETON,PER_FAILURE_REUSE,1,l_sw2_sw3,TT4;TT8,VALIDATED_SINGLETON,PF_l_sw2_sw3,973fa60747ca2de5fbdbb2e5d7b9cb9642977fbcd1b1bcdb1c800a550236c89f,cc987d60152ba13b83c3a0c0feec59782d4fc9930a1680a63f33fee450d77199,15629
