conflicting_flow_count,connected_component_count,density,edge_count,graph_sha256,largest_component_size,nontrivial_component_count,scale,scenario,self_collision_count,topology,vertex_count
8,348,D100,4,80e13733848bd5aaed4c927b14b5ce59ff3cf79869a4262c4cf8cab2a6a8ce3a,2,4,M,M_RING,0,RING,352
8,348,D100,4,80e13733848bd5aaed4c927b14b5ce59ff3cf79869a4262c4cf8cab2a6a8ce3a,2,4,M,M_REDSTAR,0,REDSTAR,352
8,348,D100,4,80e13733848bd5aaed4c927b14b5ce59ff3cf79869a4262c4cf8cab2a6a8ce3a,2,4,M,M_ROR,0,ROR,352
28,914,D100,14,df03edb50d14dc2dd3ef544e3521d958b7f75414dd3181866a6b7a52b379ba0e,2,14,L,L_RING,0,RING,928
28,914,D100,14,df03edb50d14dc2dd3ef544e3521d958b7f75414dd3181866a6b7a52b379ba0e,2,14,L,L_REDSTAR,0,REDSTAR,928
28,914,D100,14,df03edb50d14dc2dd3ef544e3521d958b7f75414dd3181866a6b7a52b379ba0e,2,14,L,L_ROR,0,ROR,928
6,328,D095,3,3104132157acd19a5c4695cc3f45b1757dcd55b2920498f5f260fcb06f34d9b1,2,3,M,M_RING,0,RING,331
6,328,D095,3,3104132157acd19a5c4695cc3f45b1757dcd55b2920498f5f260fcb06f34d9b1,2,3,M,M_REDSTAR,0,REDSTAR,331
6,328,D095,3,3104132157acd19a5c4695cc3f45b1757dcd55b2920498f5f260fcb06f34d9b1,2,3,M,M_ROR,0,ROR,331
26,866,D095,13,1ad2647ce561fc4f23788fabaf4610a33f6ecf7347538a15164346e82279eb4f,2,13,L,L_RING,0,RING,879
26,866,D095,13,1ad2647ce561fc4f23788fabaf4610a33f6ecf7347538a15164346e82279eb4f,2,13,L,L_REDSTAR,0,REDSTAR,879
26,866,D095,13,1ad2647ce561fc4f23788fabaf4610a33f6ecf7347538a15164346e82279eb4f,2,13,L,L_ROR,0,ROR,879
4,312,D090,2,ae339dfb1f0f84cf625d19f422c6b62dea3351f3c39e85e72ec8828c8be8d7cb,2,2,M,M_RING,0,RING,314
4,312,D090,2,ae339dfb1f0f84cf625d19f422c6b62dea3351f3c39e85e72ec8828c8be8d7cb,2,2,M,M_REDSTAR,0,REDSTAR,314
4,312,D090,2,ae339dfb1f0f84cf625d19f422c6b62dea3351f3c39e85e72ec8828c8be8d7cb,2,2,M,M_ROR,0,ROR,314
26,819,D090,13,d2bc50c5831a4604c998aed4b9df845e00d0e1b9ae67c78978f133b1947bab80,2,13,L,L_RING,0,RING,832
26,819,D090,13,d2bc50c5831a4604c998aed4b9df845e00d0e1b9ae67c78978f133b1947bab80,2,13,L,L_REDSTAR,0,REDSTAR,832
26,819,D090,13,d2bc50c5831a4604c998aed4b9df845e00d0e1b9ae67c78978f133b1947bab80,2,13,L,L_ROR,0,ROR,832
4,293,D085,2,31a5d126d43c559a7670d91532d538e9e4788f185df2073a6deec263ce9db951,2,2,M,M_RING,0,RING,295
4,293,D085,2,31a5d126d43c559a7670d91532d538e9e4788f185df2073a6deec263ce9db951,2,2,M,M_REDSTAR,0,REDSTAR,295
4,293,D085,2,31a5d126d43c559a7670d91532d538e9e4788f185df2073a6deec263ce9db951,2,2,M,M_ROR,0,ROR,295
24,773,D085,12,aea31ac2197e967faff946b506fe0831afc6d0a1abc493773fbd9d88b22855e5,2,12,L,L_RING,0,RING,785
24,773,D085,12,aea31ac2197e967faff946b506fe0831afc6d0a1abc493773fbd9d88b22855e5,2,12,L,L_REDSTAR,0,REDSTAR,785
24,773,D085,12,aea31ac2197e967faff946b506fe0831afc6d0a1abc493773fbd9d88b22855e5,2,12,L,L_ROR,0,ROR,785
2,277,D080,1,6c1ce927223ef98bd0899d903197ee44db7c78e3ed0e58784ee523d1c92a09b1,2,1,M,M_RING,0,RING,278
2,277,D080,1,6c1ce927223ef98bd0899d903197ee44db7c78e3ed0e58784ee523d1c92a09b1,2,1,M,M_REDSTAR,0,REDSTAR,278
2,277,D080,1,6c1ce927223ef98bd0899d903197ee44db7c78e3ed0e58784ee523d1c92a09b1,2,1,M,M_ROR,0,ROR,278
18,729,D080,9,7124c68a0fca7a3df2a5d56a56b12815b2bb65a1fbdc2091f0cd95cd0afe9955,2,9,L,L_RING,0,RING,738
18,729,D080,9,7124c68a0fca7a3df2a5d56a56b12815b2bb65a1fbdc2091f0cd95cd0afe9955,2,9,L,L_REDSTAR,0,REDSTAR,738
18,729,D080,9,7124c68a0fca7a3df2a5d56a56b12815b2bb65a1fbdc2091f0cd95cd0afe9955,2,9,L,L_ROR,0,ROR,738
0,243,D070,0,0f2cf08f438f3aa9aca27dc927c19536f488026b786e05b736b62b3bc27adc60,1,0,M,M_RING,0,RING,243
0,243,D070,0,0f2cf08f438f3aa9aca27dc927c19536f488026b786e05b736b62b3bc27adc60,1,0,M,M_REDSTAR,0,REDSTAR,243
0,243,D070,0,0f2cf08f438f3aa9aca27dc927c19536f488026b786e05b736b62b3bc27adc60,1,0,M,M_ROR,0,ROR,243
16,639,D070,8,37474806f35e369daacb1618ded1aea4bf83e7ef96d8e08e3481e2a09e918688,2,8,L,L_RING,0,RING,647
16,639,D070,8,37474806f35e369daacb1618ded1aea4bf83e7ef96d8e08e3481e2a09e918688,2,8,L,L_REDSTAR,0,REDSTAR,647
16,639,D070,8,37474806f35e369daacb1618ded1aea4bf83e7ef96d8e08e3481e2a09e918688,2,8,L,L_ROR,0,ROR,647
0,207,D060,0,0a86dbbab174c7a477b943e44c0404ecb681615c4ce639adf1b1bd2ee1b6737d,1,0,M,M_RING,0,RING,207
0,207,D060,0,0a86dbbab174c7a477b943e44c0404ecb681615c4ce639adf1b1bd2ee1b6737d,1,0,M,M_REDSTAR,0,REDSTAR,207
0,207,D060,0,0a86dbbab174c7a477b943e44c0404ecb681615c4ce639adf1b1bd2ee1b6737d,1,0,M,M_ROR,0,ROR,207
12,547,D060,6,ca64e6f8cb48893513bcc40b09a0fc1136d297384bd6afbda66e6afe78d8466d,2,6,L,L_RING,0,RING,553
12,547,D060,6,ca64e6f8cb48893513bcc40b09a0fc1136d297384bd6afbda66e6afe78d8466d,2,6,L,L_REDSTAR,0,REDSTAR,553
12,547,D060,6,ca64e6f8cb48893513bcc40b09a0fc1136d297384bd6afbda66e6afe78d8466d,2,6,L,L_ROR,0,ROR,553
0,176,D050,0,b59884c42d97f4ac21f952b4f0db951cd876d10b1887fdda5d0a1e283b3fbce1,1,0,M,M_RING,0,RING,176
0,176,D050,0,b59884c42d97f4ac21f952b4f0db951cd876d10b1887fdda5d0a1e283b3fbce1,1,0,M,M_REDSTAR,0,REDSTAR,176
0,176,D050,0,b59884c42d97f4ac21f952b4f0db951cd876d10b1887fdda5d0a1e283b3fbce1,1,0,M,M_ROR,0,ROR,176
6,461,D050,3,a6d7abec26666d1fa20c8a9fdc6c4074c230b3e1c8cb249b6c8a183f7c1ce212,2,3,L,L_RING,0,RING,464
6,461,D050,3,a6d7abec26666d1fa20c8a9fdc6c4074c230b3e1c8cb249b6c8a183f7c1ce212,2,3,L,L_REDSTAR,0,REDSTAR,464
6,461,D050,3,a6d7abec26666d1fa20c8a9fdc6c4074c230b3e1c8cb249b6c8a183f7c1ce212,2,3,L,L_ROR,0,ROR,464
