density,graph_sha256_redstar,graph_sha256_ring,graph_sha256_ror,scale,three_topology_graph_equal
D100,80e13733848bd5aaed4c927b14b5ce59ff3cf79869a4262c4cf8cab2a6a8ce3a,80e13733848bd5aaed4c927b14b5ce59ff3cf79869a4262c4cf8cab2a6a8ce3a,80e13733848bd5aaed4c927b14b5ce59ff3cf79869a4262c4cf8cab2a6a8ce3a,M,True
D095,3104132157acd19a5c4695cc3f45b1757dcd55b2920498f5f260fcb06f34d9b1,3104132157acd19a5c4695cc3f45b1757dcd55b2920498f5f260fcb06f34d9b1,3104132157acd19a5c4695cc3f45b1757dcd55b2920498f5f260fcb06f34d9b1,M,True
D090,ae339dfb1f0f84cf625d19f422c6b62dea3351f3c39e85e72ec8828c8be8d7cb,ae339dfb1f0f84cf625d19f422c6b62dea3351f3c39e85e72ec8828c8be8d7cb,ae339dfb1f0f84cf625d19f422c6b62dea3351f3c39e85e72ec8828c8be8d7cb,M,True
D085,31a5d126d43c559a7670d91532d538e9e4788f185df2073a6deec263ce9db951,31a5d126d43c559a7670d91532d538e9e4788f185df2073a6deec263ce9db951,31a5d126d43c559a7670d91532d538e9e4788f185df2073a6deec263ce9db951,M,True
D080,6c1ce927223ef98bd0899d903197ee44db7c78e3ed0e58784ee523d1c92a09b1,6c1ce927223ef98bd0899d903197ee44db7c78e3ed0e58784ee523d1c92a09b1,6c1ce927223ef98bd0899d903197ee44db7c78e3ed0e58784ee523d1c92a09b1,M,True
D070,0f2cf08f438f3aa9aca27dc927c19536f488026b786e05b736b62b3bc27adc60,0f2cf08f438f3aa9aca27dc927c19536f488026b786e05b736b62b3bc27adc60,0f2cf08f438f3aa9aca27dc927c19536f488026b786e05b736b62b3bc27adc60,M,True
D060,0a86dbbab174c7a477b943e44c0404ecb681615c4ce639adf1b1bd2ee1b6737d,0a86dbbab174c7a477b943e44c0404ecb681615c4ce639adf1b1bd2ee1b6737d,0a86dbbab174c7a477b943e44c0404ecb681615c4ce639adf1b1bd2ee1b6737d,M,True
D050,b59884c42d97f4ac21f952b4f0db951cd876d10b1887fdda5d0a1e283b3fbce1,b59884c42d97f4ac21f952b4f0db951cd876d10b1887fdda5d0a1e283b3fbce1,b59884c42d97f4ac21f952b4f0db951cd876d10b1887fdda5d0a1e283b3fbce1,M,True
D100,df03edb50d14dc2dd3ef544e3521d958b7f75414dd3181866a6b7a52b379ba0e,df03edb50d14dc2dd3ef544e3521d958b7f75414dd3181866a6b7a52b379ba0e,df03edb50d14dc2dd3ef544e3521d958b7f75414dd3181866a6b7a52b379ba0e,L,True
D095,1ad2647ce561fc4f23788fabaf4610a33f6ecf7347538a15164346e82279eb4f,1ad2647ce561fc4f23788fabaf4610a33f6ecf7347538a15164346e82279eb4f,1ad2647ce561fc4f23788fabaf4610a33f6ecf7347538a15164346e82279eb4f,L,True
D090,d2bc50c5831a4604c998aed4b9df845e00d0e1b9ae67c78978f133b1947bab80,d2bc50c5831a4604c998aed4b9df845e00d0e1b9ae67c78978f133b1947bab80,d2bc50c5831a4604c998aed4b9df845e00d0e1b9ae67c78978f133b1947bab80,L,True
D085,aea31ac2197e967faff946b506fe0831afc6d0a1abc493773fbd9d88b22855e5,aea31ac2197e967faff946b506fe0831afc6d0a1abc493773fbd9d88b22855e5,aea31ac2197e967faff946b506fe0831afc6d0a1abc493773fbd9d88b22855e5,L,True
D080,7124c68a0fca7a3df2a5d56a56b12815b2bb65a1fbdc2091f0cd95cd0afe9955,7124c68a0fca7a3df2a5d56a56b12815b2bb65a1fbdc2091f0cd95cd0afe9955,7124c68a0fca7a3df2a5d56a56b12815b2bb65a1fbdc2091f0cd95cd0afe9955,L,True
D070,37474806f35e369daacb1618ded1aea4bf83e7ef96d8e08e3481e2a09e918688,37474806f35e369daacb1618ded1aea4bf83e7ef96d8e08e3481e2a09e918688,37474806f35e369daacb1618ded1aea4bf83e7ef96d8e08e3481e2a09e918688,L,True
D060,ca64e6f8cb48893513bcc40b09a0fc1136d297384bd6afbda66e6afe78d8466d,ca64e6f8cb48893513bcc40b09a0fc1136d297384bd6afbda66e6afe78d8466d,ca64e6f8cb48893513bcc40b09a0fc1136d297384bd6afbda66e6afe78d8466d,L,True
D050,a6d7abec26666d1fa20c8a9fdc6c4074c230b3e1c8cb249b6c8a183f7c1ce212,a6d7abec26666d1fa20c8a9fdc6c4074c230b3e1c8cb249b6c8a183f7c1ce212,a6d7abec26666d1fa20c8a9fdc6c4074c230b3e1c8cb249b6c8a183f7c1ce212,L,True
