collision_edge_count,conflicting_flow_count,density,mvc_size,observed_HNF_count,observed_minus_mvc,retained_flow_count,scale,three_topology_HNF_count_equal,three_topology_graph_equal
4,8,D100,4,4,0,352,M,True,True
3,6,D095,3,3,0,331,M,True,True
2,4,D090,2,2,0,314,M,True,True
2,4,D085,2,2,0,295,M,True,True
1,2,D080,1,1,0,278,M,True,True
0,0,D070,0,0,0,243,M,True,True
0,0,D060,0,0,0,207,M,True,True
0,0,D050,0,0,0,176,M,True,True
14,28,D100,14,14,0,928,L,True,True
13,26,D095,13,13,0,879,L,True,True
13,26,D090,13,13,0,832,L,True,True
12,24,D085,12,12,0,785,L,True,True
9,18,D080,9,9,0,738,L,True,True
8,16,D070,8,8,0,647,L,True,True
6,12,D060,6,6,0,553,L,True,True
3,6,D050,3,3,0,464,L,True,True
