density,first_egress,first_interval_start,fixed_release,flow_id,frame_size,instances_per_hypercycle,kind,last_interval_start,period_ticks,relative_deadline_ticks,release_ticks,scale,scenario,self_collision,topology,tx_ticks
D100,PLC_C01_M01,659,True,CMD_PLC_C01_M01_A1_C01_M01,1375,16,ControlCommand,75659,5000,4000,659,M,M_RING,False,RING,11
D100,PLC_C01_M01,514,True,CMD_PLC_C01_M01_A2_C01_M01,1375,16,ControlCommand,75514,5000,4000,514,M,M_RING,False,RING,11
D100,PLC_C01_M01,181,True,CMD_PLC_C01_M01_A3_C01_M01,1375,16,ControlCommand,75181,5000,4000,181,M,M_RING,False,RING,11
D100,PLC_C01_M01,945,True,CMD_PLC_C01_M01_A4_C01_M01,1375,16,ControlCommand,75945,5000,4000,945,M,M_RING,False,RING,11
D100,PLC_C01_M02,968,True,CMD_PLC_C01_M02_A1_C01_M02,1375,16,ControlCommand,75968,5000,4000,968,M,M_RING,False,RING,11
D100,PLC_C01_M02,59,True,CMD_PLC_C01_M02_A2_C01_M02,1375,16,ControlCommand,75059,5000,4000,59,M,M_RING,False,RING,11
D100,PLC_C01_M02,738,True,CMD_PLC_C01_M02_A3_C01_M02,1375,16,ControlCommand,75738,5000,4000,738,M,M_RING,False,RING,11
D100,PLC_C01_M02,540,True,CMD_PLC_C01_M02_A4_C01_M02,1375,16,ControlCommand,75540,5000,4000,540,M,M_RING,False,RING,11
D100,PLC_C01_M03,166,True,CMD_PLC_C01_M03_A1_C01_M03,1375,16,ControlCommand,75166,5000,4000,166,M,M_RING,False,RING,11
D100,PLC_C01_M03,49,True,CMD_PLC_C01_M03_A2_C01_M03,1375,16,ControlCommand,75049,5000,4000,49,M,M_RING,False,RING,11
D100,PLC_C01_M03,834,True,CMD_PLC_C01_M03_A3_C01_M03,1375,16,ControlCommand,75834,5000,4000,834,M,M_RING,False,RING,11
D100,PLC_C01_M03,245,True,CMD_PLC_C01_M03_A4_C01_M03,1375,16,ControlCommand,75245,5000,4000,245,M,M_RING,False,RING,11
D100,PLC_C02_M01,157,True,CMD_PLC_C02_M01_A1_C02_M01,1375,16,ControlCommand,75157,5000,4000,157,M,M_RING,False,RING,11
D100,PLC_C02_M01,933,True,CMD_PLC_C02_M01_A2_C02_M01,1375,16,ControlCommand,75933,5000,4000,933,M,M_RING,False,RING,11
D100,PLC_C02_M01,494,True,CMD_PLC_C02_M01_A3_C02_M01,1375,16,ControlCommand,75494,5000,4000,494,M,M_RING,False,RING,11
D100,PLC_C02_M01,223,True,CMD_PLC_C02_M01_A4_C02_M01,1375,16,ControlCommand,75223,5000,4000,223,M,M_RING,False,RING,11
D100,PLC_C02_M02,979,True,CMD_PLC_C02_M02_A1_C02_M02,1375,16,ControlCommand,75979,5000,4000,979,M,M_RING,False,RING,11
D100,PLC_C02_M02,838,True,CMD_PLC_C02_M02_A2_C02_M02,1375,16,ControlCommand,75838,5000,4000,838,M,M_RING,False,RING,11
D100,PLC_C02_M02,949,True,CMD_PLC_C02_M02_A3_C02_M02,1375,16,ControlCommand,75949,5000,4000,949,M,M_RING,False,RING,11
D100,PLC_C02_M02,566,True,CMD_PLC_C02_M02_A4_C02_M02,1375,16,ControlCommand,75566,5000,4000,566,M,M_RING,False,RING,11
D100,PLC_C02_M03,133,True,CMD_PLC_C02_M03_A1_C02_M03,1375,16,ControlCommand,75133,5000,4000,133,M,M_RING,False,RING,11
D100,PLC_C02_M03,985,True,CMD_PLC_C02_M03_A2_C02_M03,1375,16,ControlCommand,75985,5000,4000,985,M,M_RING,False,RING,11
D100,PLC_C02_M03,857,True,CMD_PLC_C02_M03_A3_C02_M03,1375,16,ControlCommand,75857,5000,4000,857,M,M_RING,False,RING,11
D100,PLC_C02_M03,528,True,CMD_PLC_C02_M03_A4_C02_M03,1375,16,ControlCommand,75528,5000,4000,528,M,M_RING,False,RING,11
D100,PLC_C03_M01,606,True,CMD_PLC_C03_M01_A1_C03_M01,1375,16,ControlCommand,75606,5000,4000,606,M,M_RING,False,RING,11
D100,PLC_C03_M01,189,True,CMD_PLC_C03_M01_A2_C03_M01,1375,16,ControlCommand,75189,5000,4000,189,M,M_RING,False,RING,11
D100,PLC_C03_M01,137,True,CMD_PLC_C03_M01_A3_C03_M01,1375,16,ControlCommand,75137,5000,4000,137,M,M_RING,False,RING,11
