HNF_is_vertex_cover,HNF_minus_MVC,cardinality_bound_matched,conflict_edge_count,density,full_set_infeasible_by_collision,historical_all_flow_static_checker,hnf_has_no_partial_instance,mechanism_explanation_status,mvc_exact,mvc_size,observed_HNF_count,observed_HNF_flow_ids,scale,scenario,scheduled_set_is_independent,scheduled_subset_continuity_checker,topology,upstream_verifier_passed,verified_historical_schedule
True,0,True,3,D050,True,False,True,EXACT_MVC_MATCH,True,3,3,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;COORD_CC_C05_PLC_C05_M02,L,L_REDSTAR,True,True,REDSTAR,True,True
True,0,True,6,D060,True,False,True,EXACT_MVC_MATCH,True,6,6,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;CMD_PLC_C09_M02_A4_C09_M02;CMD_PLC_C11_M04_A2_C11_M04;CMD_PLC_C12_M01_A4_C12_M01;COORD_CC_C05_PLC_C05_M02,L,L_REDSTAR,True,True,REDSTAR,True,True
True,0,True,8,D070,True,False,True,EXACT_MVC_MATCH,True,8,8,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;CMD_PLC_C09_M02_A4_C09_M02;CMD_PLC_C11_M04_A2_C11_M04;CMD_PLC_C12_M01_A4_C12_M01;CMD_PLC_C13_M03_A4_C13_M03;CMD_PLC_C14_M03_A4_C14_M03;COORD_CC_C05_PLC_C05_M02,L,L_REDSTAR,True,True,REDSTAR,True,True
True,0,True,9,D080,True,False,True,EXACT_MVC_MATCH,True,9,9,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;CMD_PLC_C09_M02_A4_C09_M02;CMD_PLC_C11_M04_A2_C11_M04;CMD_PLC_C12_M01_A4_C12_M01;CMD_PLC_C13_M03_A4_C13_M03;CMD_PLC_C14_M03_A4_C14_M03;CMD_PLC_C16_M03_A3_C16_M03;COORD_CC_C05_PLC_C05_M02,L,L_REDSTAR,True,True,REDSTAR,True,True
True,0,True,12,D085,True,False,True,EXACT_MVC_MATCH,True,12,12,CMD_PLC_C02_M04_A4_C02_M04;CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;CMD_PLC_C09_M02_A4_C09_M02;CMD_PLC_C11_M04_A2_C11_M04;CMD_PLC_C12_M01_A4_C12_M01;CMD_PLC_C13_M02_A4_C13_M02;CMD_PLC_C13_M03_A4_C13_M03;CMD_PLC_C14_M03_A4_C14_M03;CMD_PLC_C15_M04_A4_C15_M04;CMD_PLC_C16_M03_A3_C16_M03;COORD_CC_C05_PLC_C05_M02,L,L_REDSTAR,True,True,REDSTAR,True,True
True,0,True,13,D090,True,False,True,EXACT_MVC_MATCH,True,13,13,CMD_PLC_C02_M04_A4_C02_M04;CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;CMD_PLC_C09_M02_A4_C09_M02;CMD_PLC_C11_M04_A2_C11_M04;CMD_PLC_C12_M01_A4_C12_M01;CMD_PLC_C13_M02_A4_C13_M02;CMD_PLC_C13_M03_A4_C13_M03;CMD_PLC_C14_M03_A4_C14_M03;CMD_PLC_C15_M04_A4_C15_M04;CMD_PLC_C16_M03_A3_C16_M03;COORD_CC_C05_PLC_C05_M02;STAT_PLC_C05_M04,L,L_REDSTAR,True,True,REDSTAR,True,True
True,0,True,13,D095,True,False,True,EXACT_MVC_MATCH,True,13,13,CMD_PLC_C02_M04_A4_C02_M04;CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;CMD_PLC_C09_M02_A4_C09_M02;CMD_PLC_C11_M04_A2_C11_M04;CMD_PLC_C12_M01_A4_C12_M01;CMD_PLC_C13_M02_A4_C13_M02;CMD_PLC_C13_M03_A4_C13_M03;CMD_PLC_C14_M03_A4_C14_M03;CMD_PLC_C15_M04_A4_C15_M04;CMD_PLC_C16_M03_A3_C16_M03;COORD_CC_C05_PLC_C05_M02;STAT_PLC_C05_M04,L,L_REDSTAR,True,True,REDSTAR,True,True
True,0,True,14,D100,True,False,True,EXACT_MVC_MATCH,True,14,14,CMD_PLC_C02_M04_A4_C02_M04;CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;CMD_PLC_C09_M02_A4_C09_M02;CMD_PLC_C11_M04_A2_C11_M04;CMD_PLC_C12_M01_A4_C12_M01;CMD_PLC_C13_M02_A4_C13_M02;CMD_PLC_C13_M03_A4_C13_M03;CMD_PLC_C14_M03_A4_C14_M03;CMD_PLC_C15_M04_A4_C15_M04;CMD_PLC_C16_M03_A3_C16_M03;COORD_CC_C05_PLC_C05_M02;IC_PREV_CC_C03;STAT_PLC_C05_M04,L,L_REDSTAR,True,True,REDSTAR,True,True
True,0,True,3,D050,True,False,True,EXACT_MVC_MATCH,True,3,3,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;COORD_CC_C05_PLC_C05_M02,L,L_RING,True,True,RING,True,True
True,0,True,6,D060,True,False,True,EXACT_MVC_MATCH,True,6,6,CMD_PLC_C06_M02_A2_C06_M02;CMD_PLC_C06_M02_A4_C06_M02;CMD_PLC_C09_M02_A4_C09_M02;CMD_PLC_C11_M04_A2_C11_M04;CMD_PLC_C12_M01_A4_C12_M01;COORD_CC_C05_PLC_C05_M02,L,L_RING,True,True,RING,True,True
