collision_event_count,density,first_collision_instance_a,first_collision_instance_b,flow_a,flow_b,kind_a,kind_b,maximum_overlap_ticks,minimum_overlap_ticks,scenario,source_egress
1,D100,0,0,COORD_CC_C03_PLC_C03_M01,IC_PREV_CC_C03,MachineCoordination,InterCellPrevious,12,12,M_RING,CC_C03
2,D100,0,0,COORD_CC_C05_PLC_C05_M01,COORD_CC_C05_PLC_C05_M02,MachineCoordination,MachineCoordination,21,21,M_RING,CC_C05
16,D100,0,0,CMD_PLC_C06_M02_A1_C06_M02,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,ControlCommand,10,10,M_RING,PLC_C06_M02
16,D100,0,0,CMD_PLC_C06_M02_A3_C06_M02,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,ControlCommand,5,5,M_RING,PLC_C06_M02
1,D100,0,0,COORD_CC_C03_PLC_C03_M01,IC_PREV_CC_C03,MachineCoordination,InterCellPrevious,12,12,M_REDSTAR,CC_C03
2,D100,0,0,COORD_CC_C05_PLC_C05_M01,COORD_CC_C05_PLC_C05_M02,MachineCoordination,MachineCoordination,21,21,M_REDSTAR,CC_C05
16,D100,0,0,CMD_PLC_C06_M02_A1_C06_M02,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,ControlCommand,10,10,M_REDSTAR,PLC_C06_M02
16,D100,0,0,CMD_PLC_C06_M02_A3_C06_M02,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,ControlCommand,5,5,M_REDSTAR,PLC_C06_M02
1,D100,0,0,COORD_CC_C03_PLC_C03_M01,IC_PREV_CC_C03,MachineCoordination,InterCellPrevious,12,12,M_ROR,CC_C03
2,D100,0,0,COORD_CC_C05_PLC_C05_M01,COORD_CC_C05_PLC_C05_M02,MachineCoordination,MachineCoordination,21,21,M_ROR,CC_C05
16,D100,0,0,CMD_PLC_C06_M02_A1_C06_M02,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,ControlCommand,10,10,M_ROR,PLC_C06_M02
16,D100,0,0,CMD_PLC_C06_M02_A3_C06_M02,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,ControlCommand,5,5,M_ROR,PLC_C06_M02
1,D100,0,0,COORD_CC_C03_PLC_C03_M01,IC_PREV_CC_C03,MachineCoordination,InterCellPrevious,12,12,L_RING,CC_C03
2,D100,0,0,COORD_CC_C05_PLC_C05_M01,COORD_CC_C05_PLC_C05_M02,MachineCoordination,MachineCoordination,21,21,L_RING,CC_C05
16,D100,0,0,CMD_PLC_C02_M04_A2_C02_M04,CMD_PLC_C02_M04_A4_C02_M04,ControlCommand,ControlCommand,4,4,L_RING,PLC_C02_M04
4,D100,0,0,CMD_PLC_C05_M04_A2_C05_M04,STAT_PLC_C05_M04,ControlCommand,MachineStatus,6,6,L_RING,PLC_C05_M04
16,D100,0,0,CMD_PLC_C06_M02_A1_C06_M02,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,ControlCommand,10,10,L_RING,PLC_C06_M02
16,D100,0,0,CMD_PLC_C06_M02_A3_C06_M02,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,ControlCommand,5,5,L_RING,PLC_C06_M02
16,D100,0,0,CMD_PLC_C09_M02_A3_C09_M02,CMD_PLC_C09_M02_A4_C09_M02,ControlCommand,ControlCommand,10,10,L_RING,PLC_C09_M02
16,D100,0,0,CMD_PLC_C11_M04_A1_C11_M04,CMD_PLC_C11_M04_A2_C11_M04,ControlCommand,ControlCommand,6,6,L_RING,PLC_C11_M04
16,D100,0,0,CMD_PLC_C12_M01_A2_C12_M01,CMD_PLC_C12_M01_A4_C12_M01,ControlCommand,ControlCommand,6,6,L_RING,PLC_C12_M01
16,D100,0,0,CMD_PLC_C13_M02_A2_C13_M02,CMD_PLC_C13_M02_A4_C13_M02,ControlCommand,ControlCommand,2,2,L_RING,PLC_C13_M02
16,D100,0,0,CMD_PLC_C13_M03_A1_C13_M03,CMD_PLC_C13_M03_A4_C13_M03,ControlCommand,ControlCommand,10,10,L_RING,PLC_C13_M03
16,D100,0,0,CMD_PLC_C14_M03_A2_C14_M03,CMD_PLC_C14_M03_A4_C14_M03,ControlCommand,ControlCommand,9,9,L_RING,PLC_C14_M03
16,D100,0,0,CMD_PLC_C15_M04_A2_C15_M04,CMD_PLC_C15_M04_A4_C15_M04,ControlCommand,ControlCommand,2,2,L_RING,PLC_C15_M04
16,D100,0,0,CMD_PLC_C16_M03_A1_C16_M03,CMD_PLC_C16_M03_A3_C16_M03,ControlCommand,ControlCommand,10,10,L_RING,PLC_C16_M03
1,D100,0,0,COORD_CC_C03_PLC_C03_M01,IC_PREV_CC_C03,MachineCoordination,InterCellPrevious,12,12,L_REDSTAR,CC_C03
2,D100,0,0,COORD_CC_C05_PLC_C05_M01,COORD_CC_C05_PLC_C05_M02,MachineCoordination,MachineCoordination,21,21,L_REDSTAR,CC_C05
16,D100,0,0,CMD_PLC_C02_M04_A2_C02_M04,CMD_PLC_C02_M04_A4_C02_M04,ControlCommand,ControlCommand,4,4,L_REDSTAR,PLC_C02_M04
4,D100,0,0,CMD_PLC_C05_M04_A2_C05_M04,STAT_PLC_C05_M04,ControlCommand,MachineStatus,6,6,L_REDSTAR,PLC_C05_M04
16,D100,0,0,CMD_PLC_C06_M02_A1_C06_M02,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,ControlCommand,10,10,L_REDSTAR,PLC_C06_M02
16,D100,0,0,CMD_PLC_C06_M02_A3_C06_M02,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,ControlCommand,5,5,L_REDSTAR,PLC_C06_M02
16,D100,0,0,CMD_PLC_C09_M02_A3_C09_M02,CMD_PLC_C09_M02_A4_C09_M02,ControlCommand,ControlCommand,10,10,L_REDSTAR,PLC_C09_M02
16,D100,0,0,CMD_PLC_C11_M04_A1_C11_M04,CMD_PLC_C11_M04_A2_C11_M04,ControlCommand,ControlCommand,6,6,L_REDSTAR,PLC_C11_M04
16,D100,0,0,CMD_PLC_C12_M01_A2_C12_M01,CMD_PLC_C12_M01_A4_C12_M01,ControlCommand,ControlCommand,6,6,L_REDSTAR,PLC_C12_M01
