component_count,density,graph_edges,graph_vertices,mvc_exact,mvc_lower_bound,mvc_size,mvc_upper_bound,one_minimum_cover_flow_ids,scale,scenario,solver_method,solver_ms,topology
348,D100,4,352,True,4,4,4,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;COORD_CC_C03_PLC_C03_M01;COORD_CC_C05_PLC_C05_M01,M,M_RING,COMPONENTWISE_EXACT,0.099,RING
348,D100,4,352,True,4,4,4,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;COORD_CC_C03_PLC_C03_M01;COORD_CC_C05_PLC_C05_M01,M,M_REDSTAR,COMPONENTWISE_EXACT,0.078,REDSTAR
348,D100,4,352,True,4,4,4,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;COORD_CC_C03_PLC_C03_M01;COORD_CC_C05_PLC_C05_M01,M,M_ROR,COMPONENTWISE_EXACT,0.077,ROR
914,D100,14,928,True,14,14,14,CMD_PLC_C02_M04_A2_C02_M04;CMD_PLC_C05_M04_A2_C05_M04;CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M02_A2_C13_M02;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;CMD_PLC_C15_M04_A2_C15_M04;CMD_PLC_C16_M03_A1_C16_M03;COORD_CC_C03_PLC_C03_M01;COORD_CC_C05_PLC_C05_M01,L,L_RING,COMPONENTWISE_EXACT,0.21,RING
914,D100,14,928,True,14,14,14,CMD_PLC_C02_M04_A2_C02_M04;CMD_PLC_C05_M04_A2_C05_M04;CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M02_A2_C13_M02;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;CMD_PLC_C15_M04_A2_C15_M04;CMD_PLC_C16_M03_A1_C16_M03;COORD_CC_C03_PLC_C03_M01;COORD_CC_C05_PLC_C05_M01,L,L_REDSTAR,COMPONENTWISE_EXACT,0.215,REDSTAR
914,D100,14,928,True,14,14,14,CMD_PLC_C02_M04_A2_C02_M04;CMD_PLC_C05_M04_A2_C05_M04;CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M02_A2_C13_M02;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;CMD_PLC_C15_M04_A2_C15_M04;CMD_PLC_C16_M03_A1_C16_M03;COORD_CC_C03_PLC_C03_M01;COORD_CC_C05_PLC_C05_M01,L,L_ROR,COMPONENTWISE_EXACT,0.206,ROR
328,D095,3,331,True,3,3,3,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;COORD_CC_C03_PLC_C03_M01,M,M_RING,COMPONENTWISE_EXACT,0.073,RING
328,D095,3,331,True,3,3,3,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;COORD_CC_C03_PLC_C03_M01,M,M_REDSTAR,COMPONENTWISE_EXACT,0.069,REDSTAR
328,D095,3,331,True,3,3,3,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;COORD_CC_C03_PLC_C03_M01,M,M_ROR,COMPONENTWISE_EXACT,0.07,ROR
866,D095,13,879,True,13,13,13,CMD_PLC_C02_M04_A2_C02_M04;CMD_PLC_C05_M04_A2_C05_M04;CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M02_A2_C13_M02;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;CMD_PLC_C15_M04_A2_C15_M04;CMD_PLC_C16_M03_A1_C16_M03;COORD_CC_C05_PLC_C05_M01,L,L_RING,COMPONENTWISE_EXACT,0.204,RING
866,D095,13,879,True,13,13,13,CMD_PLC_C02_M04_A2_C02_M04;CMD_PLC_C05_M04_A2_C05_M04;CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M02_A2_C13_M02;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;CMD_PLC_C15_M04_A2_C15_M04;CMD_PLC_C16_M03_A1_C16_M03;COORD_CC_C05_PLC_C05_M01,L,L_REDSTAR,COMPONENTWISE_EXACT,0.23,REDSTAR
866,D095,13,879,True,13,13,13,CMD_PLC_C02_M04_A2_C02_M04;CMD_PLC_C05_M04_A2_C05_M04;CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M02_A2_C13_M02;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;CMD_PLC_C15_M04_A2_C15_M04;CMD_PLC_C16_M03_A1_C16_M03;COORD_CC_C05_PLC_C05_M01,L,L_ROR,COMPONENTWISE_EXACT,0.206,ROR
312,D090,2,314,True,2,2,2,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02,M,M_RING,COMPONENTWISE_EXACT,0.069,RING
312,D090,2,314,True,2,2,2,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02,M,M_REDSTAR,COMPONENTWISE_EXACT,0.068,REDSTAR
312,D090,2,314,True,2,2,2,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02,M,M_ROR,COMPONENTWISE_EXACT,0.065,ROR
819,D090,13,832,True,13,13,13,CMD_PLC_C02_M04_A2_C02_M04;CMD_PLC_C05_M04_A2_C05_M04;CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M02_A2_C13_M02;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;CMD_PLC_C15_M04_A2_C15_M04;CMD_PLC_C16_M03_A1_C16_M03;COORD_CC_C05_PLC_C05_M01,L,L_RING,COMPONENTWISE_EXACT,0.196,RING
819,D090,13,832,True,13,13,13,CMD_PLC_C02_M04_A2_C02_M04;CMD_PLC_C05_M04_A2_C05_M04;CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M02_A2_C13_M02;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;CMD_PLC_C15_M04_A2_C15_M04;CMD_PLC_C16_M03_A1_C16_M03;COORD_CC_C05_PLC_C05_M01,L,L_REDSTAR,COMPONENTWISE_EXACT,0.216,REDSTAR
819,D090,13,832,True,13,13,13,CMD_PLC_C02_M04_A2_C02_M04;CMD_PLC_C05_M04_A2_C05_M04;CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M02_A2_C13_M02;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;CMD_PLC_C15_M04_A2_C15_M04;CMD_PLC_C16_M03_A1_C16_M03;COORD_CC_C05_PLC_C05_M01,L,L_ROR,COMPONENTWISE_EXACT,0.213,ROR
293,D085,2,295,True,2,2,2,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02,M,M_RING,COMPONENTWISE_EXACT,0.063,RING
293,D085,2,295,True,2,2,2,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02,M,M_REDSTAR,COMPONENTWISE_EXACT,0.063,REDSTAR
