candidate_first_egress_count,canonical_source_egress,density,destination,first_egress_id,first_egress_link,flow_id,flow_kind,qualification_basis,qualification_pass,scale,scenario,source,source_node_type,source_outgoing_egress_count,topology,unavoidable_first_egress
,PLC_C01_M01,D100,A1_C01_M01,PLC_C01_M01->SW_C01_M01_CTRL,a_PLC_C01_M01_SW_C01_M01_CTRL,CMD_PLC_C01_M01_A1_C01_M01,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C01_M01,end_system,1,RING,True
,PLC_C01_M01,D100,A2_C01_M01,PLC_C01_M01->SW_C01_M01_CTRL,a_PLC_C01_M01_SW_C01_M01_CTRL,CMD_PLC_C01_M01_A2_C01_M01,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C01_M01,end_system,1,RING,True
,PLC_C01_M01,D100,A3_C01_M01,PLC_C01_M01->SW_C01_M01_CTRL,a_PLC_C01_M01_SW_C01_M01_CTRL,CMD_PLC_C01_M01_A3_C01_M01,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C01_M01,end_system,1,RING,True
,PLC_C01_M01,D100,A4_C01_M01,PLC_C01_M01->SW_C01_M01_CTRL,a_PLC_C01_M01_SW_C01_M01_CTRL,CMD_PLC_C01_M01_A4_C01_M01,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C01_M01,end_system,1,RING,True
,PLC_C01_M02,D100,A1_C01_M02,PLC_C01_M02->SW_C01_M02_CTRL,a_PLC_C01_M02_SW_C01_M02_CTRL,CMD_PLC_C01_M02_A1_C01_M02,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C01_M02,end_system,1,RING,True
,PLC_C01_M02,D100,A2_C01_M02,PLC_C01_M02->SW_C01_M02_CTRL,a_PLC_C01_M02_SW_C01_M02_CTRL,CMD_PLC_C01_M02_A2_C01_M02,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C01_M02,end_system,1,RING,True
,PLC_C01_M02,D100,A3_C01_M02,PLC_C01_M02->SW_C01_M02_CTRL,a_PLC_C01_M02_SW_C01_M02_CTRL,CMD_PLC_C01_M02_A3_C01_M02,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C01_M02,end_system,1,RING,True
,PLC_C01_M02,D100,A4_C01_M02,PLC_C01_M02->SW_C01_M02_CTRL,a_PLC_C01_M02_SW_C01_M02_CTRL,CMD_PLC_C01_M02_A4_C01_M02,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C01_M02,end_system,1,RING,True
,PLC_C01_M03,D100,A1_C01_M03,PLC_C01_M03->SW_C01_M03_CTRL,a_PLC_C01_M03_SW_C01_M03_CTRL,CMD_PLC_C01_M03_A1_C01_M03,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C01_M03,end_system,1,RING,True
,PLC_C01_M03,D100,A2_C01_M03,PLC_C01_M03->SW_C01_M03_CTRL,a_PLC_C01_M03_SW_C01_M03_CTRL,CMD_PLC_C01_M03_A2_C01_M03,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C01_M03,end_system,1,RING,True
,PLC_C01_M03,D100,A3_C01_M03,PLC_C01_M03->SW_C01_M03_CTRL,a_PLC_C01_M03_SW_C01_M03_CTRL,CMD_PLC_C01_M03_A3_C01_M03,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C01_M03,end_system,1,RING,True
,PLC_C01_M03,D100,A4_C01_M03,PLC_C01_M03->SW_C01_M03_CTRL,a_PLC_C01_M03_SW_C01_M03_CTRL,CMD_PLC_C01_M03_A4_C01_M03,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C01_M03,end_system,1,RING,True
,PLC_C02_M01,D100,A1_C02_M01,PLC_C02_M01->SW_C02_M01_CTRL,a_PLC_C02_M01_SW_C02_M01_CTRL,CMD_PLC_C02_M01_A1_C02_M01,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C02_M01,end_system,1,RING,True
,PLC_C02_M01,D100,A2_C02_M01,PLC_C02_M01->SW_C02_M01_CTRL,a_PLC_C02_M01_SW_C02_M01_CTRL,CMD_PLC_C02_M01_A2_C02_M01,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C02_M01,end_system,1,RING,True
,PLC_C02_M01,D100,A3_C02_M01,PLC_C02_M01->SW_C02_M01_CTRL,a_PLC_C02_M01_SW_C02_M01_CTRL,CMD_PLC_C02_M01_A3_C02_M01,ControlCommand,UNIQUE_SOURCE_DATA_PLANE_EGRESS,True,M,M_RING,PLC_C02_M01,end_system,1,RING,True
