density,fixed_release,fixed_release_parity,flow_id,flow_kind,frame_size,frame_size_parity,frames_per_hyper_cycle,parity_pass,period_parity,period_ticks,relative_deadline_parity,relative_deadline_ticks,release_offset_parity,release_offset_ticks,scenario,transmission_ticks,transmission_ticks_parity,upstream_input
D070,True,True,CMD_PLC_C01_M01_A1_C01_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,659,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C01_M01_A2_C01_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,514,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C01_M02_A1_C01_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,968,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C01_M02_A3_C01_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,738,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C01_M03_A1_C01_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,166,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C01_M03_A2_C01_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,49,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C01_M03_A3_C01_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,834,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C01_M03_A4_C01_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,245,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C02_M01_A3_C02_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,494,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C02_M01_A4_C02_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,223,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C02_M02_A1_C02_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,979,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C02_M02_A2_C02_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,838,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C02_M02_A4_C02_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,566,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C02_M03_A2_C02_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,985,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C02_M03_A3_C02_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,857,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C02_M03_A4_C02_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,528,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C03_M01_A1_C03_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,606,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C03_M01_A2_C03_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,189,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C03_M01_A4_C03_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,547,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C03_M02_A1_C03_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,756,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C03_M02_A2_C03_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,542,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C03_M02_A3_C03_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,181,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C03_M02_A4_C03_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,113,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
