after_reservation_count,after_state_sha256,after_total_reserved_ticks,attempt_index,before_reservation_count,before_state_sha256,before_total_reserved_ticks,config_id,flow_id,flow_kind,run_tag,scenario,state_unchanged,success
1872,a3505e3ef4de9db5cc7d6ae03c7e9af73361f222f25fd66989e5b7b177a8c28f,20592,0,1872,a3505e3ef4de9db5cc7d6ae03c7e9af73361f222f25fd66989e5b7b177a8c28f,20592,39,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,trace_on_repeat_1,L_RING_D050,True,False
1920,f42a01435b94ed94bdf70a1a19bd45854544bd777a222fa2a91cf65edc25f86b,21120,0,1920,f42a01435b94ed94bdf70a1a19bd45854544bd777a222fa2a91cf65edc25f86b,21120,41,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,trace_on_repeat_1,L_RING_D050,True,False
14986,909c375d2a05990933470da110d363aed2032bd7fbf97621ceaecfd3ab9afb76,191396,0,14986,909c375d2a05990933470da110d363aed2032bd7fbf97621ceaecfd3ab9afb76,191396,138,COORD_CC_C05_PLC_C05_M02,MachineCoordination,trace_on_repeat_1,L_RING_D050,True,False
1872,a3505e3ef4de9db5cc7d6ae03c7e9af73361f222f25fd66989e5b7b177a8c28f,20592,0,1872,a3505e3ef4de9db5cc7d6ae03c7e9af73361f222f25fd66989e5b7b177a8c28f,20592,39,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,trace_on_repeat_2,L_RING_D050,True,False
1920,f42a01435b94ed94bdf70a1a19bd45854544bd777a222fa2a91cf65edc25f86b,21120,0,1920,f42a01435b94ed94bdf70a1a19bd45854544bd777a222fa2a91cf65edc25f86b,21120,41,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,trace_on_repeat_2,L_RING_D050,True,False
14986,909c375d2a05990933470da110d363aed2032bd7fbf97621ceaecfd3ab9afb76,191396,0,14986,909c375d2a05990933470da110d363aed2032bd7fbf97621ceaecfd3ab9afb76,191396,138,COORD_CC_C05_PLC_C05_M02,MachineCoordination,trace_on_repeat_2,L_RING_D050,True,False
2496,d9f58d0db8090362c095ad3d6235f8e67a5ffcaa240a66d04d66b85e8824b4a9,27456,0,2496,d9f58d0db8090362c095ad3d6235f8e67a5ffcaa240a66d04d66b85e8824b4a9,27456,78,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,trace_on_repeat_1,L_REDSTAR_D050,True,False
2496,d9f58d0db8090362c095ad3d6235f8e67a5ffcaa240a66d04d66b85e8824b4a9,27456,1,2496,d9f58d0db8090362c095ad3d6235f8e67a5ffcaa240a66d04d66b85e8824b4a9,27456,79,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,trace_on_repeat_1,L_REDSTAR_D050,True,False
2560,14fc94a5a34371913fa8a256a6d68488b01ff781792723fd8a0dac5377f38193,28160,0,2560,14fc94a5a34371913fa8a256a6d68488b01ff781792723fd8a0dac5377f38193,28160,82,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,trace_on_repeat_1,L_REDSTAR_D050,True,False
2560,14fc94a5a34371913fa8a256a6d68488b01ff781792723fd8a0dac5377f38193,28160,1,2560,14fc94a5a34371913fa8a256a6d68488b01ff781792723fd8a0dac5377f38193,28160,83,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,trace_on_repeat_1,L_REDSTAR_D050,True,False
18896,a5f7e3fd5781bbc424b776e907c0697ebba3d20232151661407a77ab8a865f6d,226976,0,18896,a5f7e3fd5781bbc424b776e907c0697ebba3d20232151661407a77ab8a865f6d,226976,276,COORD_CC_C05_PLC_C05_M02,MachineCoordination,trace_on_repeat_1,L_REDSTAR_D050,True,False
18896,a5f7e3fd5781bbc424b776e907c0697ebba3d20232151661407a77ab8a865f6d,226976,1,18896,a5f7e3fd5781bbc424b776e907c0697ebba3d20232151661407a77ab8a865f6d,226976,277,COORD_CC_C05_PLC_C05_M02,MachineCoordination,trace_on_repeat_1,L_REDSTAR_D050,True,False
2496,d9f58d0db8090362c095ad3d6235f8e67a5ffcaa240a66d04d66b85e8824b4a9,27456,0,2496,d9f58d0db8090362c095ad3d6235f8e67a5ffcaa240a66d04d66b85e8824b4a9,27456,78,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,trace_on_repeat_2,L_REDSTAR_D050,True,False
2496,d9f58d0db8090362c095ad3d6235f8e67a5ffcaa240a66d04d66b85e8824b4a9,27456,1,2496,d9f58d0db8090362c095ad3d6235f8e67a5ffcaa240a66d04d66b85e8824b4a9,27456,79,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,trace_on_repeat_2,L_REDSTAR_D050,True,False
2560,14fc94a5a34371913fa8a256a6d68488b01ff781792723fd8a0dac5377f38193,28160,0,2560,14fc94a5a34371913fa8a256a6d68488b01ff781792723fd8a0dac5377f38193,28160,82,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,trace_on_repeat_2,L_REDSTAR_D050,True,False
2560,14fc94a5a34371913fa8a256a6d68488b01ff781792723fd8a0dac5377f38193,28160,1,2560,14fc94a5a34371913fa8a256a6d68488b01ff781792723fd8a0dac5377f38193,28160,83,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,trace_on_repeat_2,L_REDSTAR_D050,True,False
18896,a5f7e3fd5781bbc424b776e907c0697ebba3d20232151661407a77ab8a865f6d,226976,0,18896,a5f7e3fd5781bbc424b776e907c0697ebba3d20232151661407a77ab8a865f6d,226976,276,COORD_CC_C05_PLC_C05_M02,MachineCoordination,trace_on_repeat_2,L_REDSTAR_D050,True,False
18896,a5f7e3fd5781bbc424b776e907c0697ebba3d20232151661407a77ab8a865f6d,226976,1,18896,a5f7e3fd5781bbc424b776e907c0697ebba3d20232151661407a77ab8a865f6d,226976,277,COORD_CC_C05_PLC_C05_M02,MachineCoordination,trace_on_repeat_2,L_REDSTAR_D050,True,False
1872,c6d22ac3ec5d37ce4ae3c28a8610a59f762c9f4fa53684b36b8ffb133360fc15,20592,0,1872,c6d22ac3ec5d37ce4ae3c28a8610a59f762c9f4fa53684b36b8ffb133360fc15,20592,78,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,trace_on_repeat_1,L_ROR_D050,True,False
1872,c6d22ac3ec5d37ce4ae3c28a8610a59f762c9f4fa53684b36b8ffb133360fc15,20592,1,1872,c6d22ac3ec5d37ce4ae3c28a8610a59f762c9f4fa53684b36b8ffb133360fc15,20592,79,CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,trace_on_repeat_1,L_ROR_D050,True,False
1920,a4338046d1e7ef5600acff2740922fb8195e5ac0c7a949764c08ec30eac01929,21120,0,1920,a4338046d1e7ef5600acff2740922fb8195e5ac0c7a949764c08ec30eac01929,21120,82,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,trace_on_repeat_1,L_ROR_D050,True,False
1920,a4338046d1e7ef5600acff2740922fb8195e5ac0c7a949764c08ec30eac01929,21120,1,1920,a4338046d1e7ef5600acff2740922fb8195e5ac0c7a949764c08ec30eac01929,21120,83,CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,trace_on_repeat_1,L_ROR_D050,True,False
