H2S_peak_memory,H2S_scheduled_ratio,H2S_semantic_valid,H2S_status,H2S_total_backend_ms,JRS_WA_constraints,JRS_WA_peak_memory,JRS_WA_status,JRS_WA_total_backend_ms,JRS_WA_vars,memory_ratio_if_comparable,scenario,speedup_if_comparable
12124160,1.0,True,SUCCESS_H2S,24.906214,1653600,5882614226,MEMORY_LIMIT,39987.113246,804200,,S1,
12288000,1.0,True,SUCCESS_H2S,57.701229,7900000,8193103632,MEMORY_LIMIT,59307.500845,3858800,,S2,
19578880,1.0,True,SUCCESS_H2S,235.186297,8235000,8194086224,MEMORY_LIMIT,62714.2017,3769500,,S3,
31797248,1.0,True,SUCCESS_H2S,502.780752,8490000,8194840624,MEMORY_LIMIT,62718.51497,3662000,,S4,
55660544,1.0,True,SUCCESS_H2S,1232.303042,9130000,8193486864,MEMORY_LIMIT,60849.949137,3399000,,S5,
115326976,1.0,True,SUCCESS_H2S,3480.361639,9405000,8194381440,MEMORY_LIMIT,57955.125913,3356000,,S6,
231907328,1.0,True,SUCCESS_H2S,11358.807006,3105000,8192833240,MEMORY_LIMIT,35488.104035,6712000,,S7,
325947392,0.695,False,HEURISTIC_NOT_FOUND,21869.478166,0,8193431640,MEMORY_LIMIT,26793.823084,8260000,,S8,
12288000,1.0,True,SUCCESS_H2S,53.912489,5249000,12804513548,MEMORY_LIMIT,46782.844156,2554900,,F150_TT100,
13090816,1.0,True,SUCCESS_H2S,111.169535,7990000,8192341952,MEMORY_LIMIT,60929.27668,3821000,,F150_TT250,
19574784,1.0,True,SUCCESS_H2S,233.490578,8235000,8194086224,MEMORY_LIMIT,62102.769537,3769500,,F150_TT500,
25305088,1.0,True,SUCCESS_H2S,360.11738,8430000,8195562144,MEMORY_LIMIT,60814.436103,3693000,,F150_TT750,
29294592,1.0,True,SUCCESS_H2S,496.671891,8625000,8197038064,MEMORY_LIMIT,61131.220441,3616500,,F150_TT1000,
