algorithm_used,all_flows_scheduled,backend_quantum_ns,candidate_paths_k,candidate_route_generation_ms,canonical_profile_bytes,celf_fallback_used,conversion_ms,diagnostic,end_systems,exp14_scenario_byte_sha256,gzip_bytes,max_candidate_paths,max_e2e_latency_ns,max_hops,max_wait_ns,mean_candidate_hops,mean_candidate_paths_per_flow,mean_hops,mean_wait_ns,median_hops,median_wait_ns,min_candidate_paths,p95_hops,p95_wait_ns,peak_rss_bytes,primary_h2s_success,profile_bytes,profile_hash,profile_normalization_ms,project_static_checker_pass,routing_policy,scenario_id,scheduled_flow_count,scheduled_flow_ratio,scheduling_ms,semantic_valid,status,switches,total_backend_ms,total_nodes,tt_flows,upstream_verifier_pass,verification_ms
H2S,True,100,5,2.261887,159299,False,1.071569,,20,c572735d762f11b3b679085f4d3c6f27424c787706b0ec6404fcf920016d1bee,14036,5,29700,9,1300,not_exposed_by_minimal_upstream_patch,5,7.5,41.38461538461539,7.5,0.0,5,9,0,12124160,True,159299,ff948de96f159566dcffe007991cc81a50809b703c89e093818b418777fb2cde,1.026894,True,DIJKSTRA_OVERLAP,S1,100,1.0,15.287775000000002,True,SUCCESS_H2S,30,24.906214,50,100,True,1.944662
H2S,True,100,5,10.125393,595103,False,1.849916,,40,b604332fd45320648bc4fb1dbf4e0547a1891d30d6cca92e62a54835c66da3d2,49044,5,56100,17,7900,not_exposed_by_minimal_upstream_patch,5,15,123.78571428571429,15.0,0.0,5,17,1300,12288000,True,595103,aad3280c8cd8b5ba9d54faf8bf26e787260ecff6ad1e67b256dfc6dd8ab26256,4.118254,True,DIJKSTRA_OVERLAP,S2,200,1.0,19.187438,True,SUCCESS_H2S,60,57.701229,100,200,True,11.064695
H2S,True,100,5,35.514714000000005,1853282,False,3.949399,,50,ba136573bc7f67fb7b8d64fe7ee9af8a647ff0497420e139df0a60fd51214161,154123,5,523800,26,366600,not_exposed_by_minimal_upstream_patch,5,21.5,7335.990243902439,21.5,0.0,5,26,47600,19578880,True,1853282,deaeb82fc74bb8b9e95bb60dc3bcdfc8e7fdf7898c8e3005a2dee6ecc60ce3e4,15.958765,True,DIJKSTRA_OVERLAP,S3,500,1.0,33.96086599999999,True,SUCCESS_H2S,100,235.186297,150,500,True,53.249272
H2S,True,100,5,69.485398,3625700,False,4.205574,,80,e40a5e47de33f45e7089404f8db71653cde39200504830a58d9bfb27b67030c8,316787,5,294400,44,73200,not_exposed_by_minimal_upstream_patch,5,40.906,980.3538315040345,41.0,0,5,44,4000,31797248,True,3625700,c7d1d2777919d061eff1e7e10e3249bd6dc4907faff7ac76a75c4cc0f167d4a6,28.801486,True,DIJKSTRA_OVERLAP,S4,500,1.0,56.474183,True,SUCCESS_H2S,170,502.780752,250,500,True,168.519713
H2S,True,100,5,133.049161,6455360,False,7.610113,,80,e1aa452afa0862de302e9adc31a0601c49dc38090d5d316d81e3ccb9ac936203,576353,5,593800,45,406500,not_exposed_by_minimal_upstream_patch,5,37.528,4716.346364432764,37.0,0.0,5,44,20700,55660544,True,6455360,5e83766dbabb6a5e6864677e2882f096bbb9f13b952df07aac22c0ba75c9e41b,56.586217,True,DIJKSTRA_OVERLAP,S5,1000,1.0,88.308911,True,SUCCESS_H2S,170,1232.303042,250,1000,True,325.06926
H2S,True,100,5,273.266045,14391622,False,8.502378,,160,bd549fce369b27450228d3c81627be17aa1ed55051bc0c8a030e97f1fb50f2fe,1319844,5,619500,92,350600,not_exposed_by_minimal_upstream_patch,5,83.727,1931.8855996228558,83.0,0,5,89,3900,115326976,True,14391622,209fa778a1241e681650bbb05220086c644cd1fbb6e8c0026a918ff36f8031b1,153.80107,True,DIJKSTRA_OVERLAP,S6,1000,1.0,231.17996899999997,True,SUCCESS_H2S,340,3480.361639,500,1000,True,1321.146806
H2S,True,100,5,537.1266479999999,29866255,False,14.822819,,160,641d286d17809a845d4f57b6561be8d24f821656443de4e2c448bc841680d57c,2930693,5,649900,162,420000,not_exposed_by_minimal_upstream_patch,5,86.456,2305.389323160457,86.0,0.0,5,99,3000,231907328,True,29866255,d67c46a9f06917a682440db5514163c58d59ad4ccd3c245c5cf159e170dd1e1d,341.651924,True,DIJKSTRA_OVERLAP,S7,2000,1.0,432.5387770000001,True,SUCCESS_H2S,340,11358.807006,500,2000,True,2703.168937
,False,100,5,0,0,False,0,constructive heuristics did not produce an all-flow static-valid schedule,320,cc0c6b71881bb8eea12369ed8be2ec4bd8f438736ea5249fc6c6d46725f39250,0,0,0,0,0,not_exposed_by_minimal_upstream_patch,0,0,0,0,0,0,0,0,325947392,False,0,,0,False,DIJKSTRA_OVERLAP,S8,1390,0.695,0,False,HEURISTIC_NOT_FOUND,680,21869.478166,1000,2000,False,0
H2S,True,100,5,8.115374999999998,491720,False,1.450949,,50,80c391de9c5cea6a20bd9ce81cb7a7da00fb3cce9547faac770f0873c26d1eb4,38558,5,85800,26,5800,not_exposed_by_minimal_upstream_patch,5,25.5,346.16326530612247,25.5,0.0,5,26,1300,12288000,True,491720,2c920f282f03ad3d72a52c03a0f3e3951e43a1325710cdc84d405366dd30877d,3.282231,True,DIJKSTRA_OVERLAP,F150_TT100,100,1.0,23.105301000000004,True,SUCCESS_H2S,100,53.912489,150,100,True,11.875032
H2S,True,100,5,19.377533,1063378,False,2.420158,,50,ce10e262f01f6ab21c142e3f6813acec2302a78c6f1974686404db586912dfa9,86539,5,174800,26,40900,not_exposed_by_minimal_upstream_patch,5,24,1242.0695652173913,24.0,300.0,5,26,6200,13090816,True,1063378,345d3c28674f292559447f3d8fa0ac382e390b3721375650497d19faa23decc6,6.667064,True,DIJKSTRA_OVERLAP,F150_TT250,250,1.0,26.944614,True,SUCCESS_H2S,100,111.169535,150,250,True,28.904528
