max_quantization_error,memory_bytes,quantum_ns,runtime_ms,scenario,scheduled_flow_ratio,status
88,12288000,100,14.571741,QH00,1.0,SUCCESS_H2S
688,12288000,1000,15.938827,QH00,1.0,SUCCESS_H2S
88,12288000,100,14.392144,QH01,1.0,SUCCESS_H2S
688,12288000,1000,15.111743,QH01,1.0,SUCCESS_H2S
88,12288000,100,14.219507,QH02,1.0,SUCCESS_H2S
688,12124160,1000,15.395734,QH02,1.0,SUCCESS_H2S
88,12124160,100,14.027083,QH03,1.0,SUCCESS_H2S
688,12288000,1000,14.963779,QH03,1.0,SUCCESS_H2S
88,12288000,100,13.82321,QH04,1.0,SUCCESS_H2S
688,12124160,1000,16.029874,QH04,1.0,SUCCESS_H2S
0,12288000,100,14.036799,QH05,1.0,SUCCESS_H2S
0,12124160,1000,15.318688,QH05,1.0,SUCCESS_H2S
88,12124160,100,13.827125,QH06,1.0,SUCCESS_H2S
688,12288000,1000,14.72769,QH06,1.0,SUCCESS_H2S
88,12124160,100,14.144899,QH07,1.0,SUCCESS_H2S
688,12124160,1000,15.199738,QH07,1.0,SUCCESS_H2S
88,12124160,100,27.463667,QH08,0.5,HEURISTIC_NOT_FOUND
688,12124160,1000,30.662591,QH08,0.5,HEURISTIC_NOT_FOUND
68,12124160,100,14.149716,QH09,1.0,SUCCESS_H2S
968,12288000,1000,18.202647,QH09,1.0,SUCCESS_H2S
88,12124160,100,13.845852,QH10,1.0,SUCCESS_H2S
700,12288000,1000,15.4625,QH10,1.0,SUCCESS_H2S
