absolute_deadline_ticks,backend_quantum_ns,case_id,deadline_error_ns,deadline_ns,deadline_ticks,flow_id,max_quantization_error_ns,on_wire_bytes,period_error_ns,period_ns,period_ticks,release_error_ns,release_ns,release_ticks,tx_ns,tx_padding_ns,tx_ticks,upstream_equivalent_bytes
1000,100,QH00,0,100000,1000,TT1,88,164,0,1000000,10000,0,0,0,1312,88,14,1750
100,1000,QH00,0,100000,100,TT1,688,164,0,1000000,1000,0,0,0,1312,688,2,250
1000,100,QH01,0,100000,1000,TT1,88,164,0,1000000,10000,0,0,0,1312,88,14,1750
1100,100,QH01,0,100000,1000,TT2,88,164,0,1000000,10000,0,10000,100,1312,88,14,1750
100,1000,QH01,0,100000,100,TT1,688,164,0,1000000,1000,0,0,0,1312,688,2,250
110,1000,QH01,0,100000,100,TT2,688,164,0,1000000,1000,0,10000,10,1312,688,2,250
1000,100,QH02,0,100000,1000,TT1,88,164,0,1000000,10000,0,0,0,1312,88,14,1750
1100,100,QH02,0,100000,1000,TT2,88,164,0,1000000,10000,0,10000,100,1312,88,14,1750
1200,100,QH02,0,100000,1000,TT3,88,164,0,1000000,10000,0,20000,200,1312,88,14,1750
1300,100,QH02,0,100000,1000,TT4,88,164,0,1000000,10000,0,30000,300,1312,88,14,1750
100,1000,QH02,0,100000,100,TT1,688,164,0,1000000,1000,0,0,0,1312,688,2,250
110,1000,QH02,0,100000,100,TT2,688,164,0,1000000,1000,0,10000,10,1312,688,2,250
120,1000,QH02,0,100000,100,TT3,688,164,0,1000000,1000,0,20000,20,1312,688,2,250
130,1000,QH02,0,100000,100,TT4,688,164,0,1000000,1000,0,30000,30,1312,688,2,250
1000,100,QH03,0,100000,1000,TT1,88,164,0,1000000,10000,0,0,0,1312,88,14,1750
1370,100,QH03,0,100000,1000,TT2,88,164,0,1000000,10000,0,37000,370,1312,88,14,1750
100,1000,QH03,0,100000,100,TT1,688,164,0,1000000,1000,0,0,0,1312,688,2,250
137,1000,QH03,0,100000,100,TT2,688,164,0,1000000,1000,0,37000,37,1312,688,2,250
500,100,QH04,0,50000,500,TT1,88,164,0,1000000,10000,0,0,0,1312,88,14,1750
50,1000,QH04,0,50000,50,TT1,688,164,0,1000000,1000,0,0,0,1312,688,2,250
1000,100,QH05,0,100000,1000,TT1,0,125,0,1000000,10000,0,0,0,1000,0,10,1250
1000,100,QH05,0,100000,1000,TT2,0,250,0,1000000,10000,0,0,0,2000,0,20,2500
100,1000,QH05,0,100000,100,TT1,0,125,0,1000000,1000,0,0,0,1000,0,1,125
100,1000,QH05,0,100000,100,TT2,0,250,0,1000000,1000,0,0,0,2000,0,2,250
1000,100,QH06,0,100000,1000,stream_A,88,164,0,1000000,10000,0,0,0,1312,88,14,1750
1200,100,QH06,0,100000,1000,stream_B,88,164,0,1000000,10000,0,20000,200,1312,88,14,1750
100,1000,QH06,0,100000,100,stream_A,688,164,0,1000000,1000,0,0,0,1312,688,2,250
120,1000,QH06,0,100000,100,stream_B,688,164,0,1000000,1000,0,20000,20,1312,688,2,250
1000,100,QH07,0,100000,1000,TT1,88,164,0,1000000,10000,0,0,0,1312,88,14,1750
1100,100,QH07,0,100000,1000,TT2,88,164,0,1000000,10000,0,10000,100,1312,88,14,1750
100,1000,QH07,0,100000,100,TT1,688,164,0,1000000,1000,0,0,0,1312,688,2,250
110,1000,QH07,0,100000,100,TT2,688,164,0,1000000,1000,0,10000,10,1312,688,2,250
1000,100,QH08,0,100000,1000,TT1,88,164,0,1000000,10000,0,0,0,1312,88,14,1750
1000,100,QH08,0,100000,1000,TT2,88,164,0,1000000,10000,0,0,0,1312,88,14,1750
100,1000,QH08,0,100000,100,TT1,688,164,0,1000000,1000,0,0,0,1312,688,2,250
100,1000,QH08,0,100000,100,TT2,688,164,0,1000000,1000,0,0,0,1312,688,2,250
964,100,QH09,0,92050,920,TT1,68,129,0,1000000,10000,50,4350,44,1032,68,11,1375
96,1000,QH09,-400,92050,91,TT1,968,129,0,1000000,1000,650,4350,5,1032,968,2,250
1123,100,QH10,0,100000,1000,TT1,88,164,0,1000000,10000,0,12300,123,1312,88,14,1750
112,1000,QH10,-300,100000,99,TT1,700,164,0,1000000,1000,700,12300,13,1312,688,2,250
