N,baseline_scheduled_count,best_HNF_count,best_HNF_set_sha256,best_scheduled_count,best_seed,complete_found,cumulative_H2S_ms,first_complete_seed_if_any,minimum_time_to_complete_if_found,scenario,schedule_improvement_over_baseline,seed_pool
1,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,67.262065,,,M_RING,0,0..0
2,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,130.652285,,,M_RING,0,0..1
4,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,257.880154,,,M_RING,0,0..3
8,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,515.080205,,,M_RING,0,0..7
16,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,1020.95984,,,M_RING,0,0..15
32,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,2035.924152,,,M_RING,0,0..31
1,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,95.753853,,,M_REDSTAR,0,0..0
2,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,192.642527,,,M_REDSTAR,0,0..1
4,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,391.062931,,,M_REDSTAR,0,0..3
8,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,779.4127960000001,,,M_REDSTAR,0,0..7
16,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,1546.820571,,,M_REDSTAR,0,0..15
32,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,3098.747507,,,M_REDSTAR,0,0..31
1,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,90.876249,,,M_ROR,0,0..0
2,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,179.395422,,,M_ROR,0,0..1
4,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,357.31915300000003,,,M_ROR,0,0..3
8,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,723.998053,,,M_ROR,0,0..7
16,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,1442.337976,,,M_ROR,0,0..15
32,348,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,348,0,False,2912.9865760000002,,,M_ROR,0,0..31
1,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,170.287276,,,L_RING,0,0..0
2,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,345.089097,,,L_RING,0,0..1
4,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,686.838168,,,L_RING,0,0..3
8,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,1372.314079,,,L_RING,0,0..7
16,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,2762.575984,,,L_RING,0,0..15
32,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,5535.837237,,,L_RING,0,0..31
1,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,479.794763,,,L_REDSTAR,0,0..0
2,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,959.8154979999999,,,L_REDSTAR,0,0..1
4,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,1916.77964,,,L_REDSTAR,0,0..3
8,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,3838.027773,,,L_REDSTAR,0,0..7
16,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,7644.866854,,,L_REDSTAR,0,0..15
32,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,15229.403031,,,L_REDSTAR,0,0..31
1,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,368.868955,,,L_ROR,0,0..0
2,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,752.515193,,,L_ROR,0,0..1
4,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,1503.607986,,,L_ROR,0,0..3
8,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,3031.611222,,,L_ROR,0,0..7
16,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,6037.893766,,,L_ROR,0,0..15
32,914,14,f732bc07c3a17afa7f4f426ca73c8acfa7a494140e85f1bee089184e4cdf2644,914,0,False,11979.536673,,,L_ROR,0,0..31
