HNF_count_a,HNF_count_b,exact_equal,intersection_count,jaccard,mode,scale,tie_break_seed,topology_a,topology_b,union_count
4,4,True,4,1.0,BASELINE,M,0,RING,REDSTAR,4
4,4,True,4,1.0,BASELINE,M,0,RING,ROR,4
4,4,True,4,1.0,BASELINE,M,0,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,0,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,0,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,0,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,1,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,1,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,1,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,2,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,2,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,2,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,3,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,3,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,3,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,4,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,4,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,4,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,5,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,5,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,5,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,6,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,6,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,6,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,7,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,7,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,7,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,8,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,8,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,8,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,9,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,9,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,9,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,10,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,10,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,10,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,11,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,11,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,11,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,12,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,12,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,12,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,13,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,13,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,13,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,14,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,14,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,14,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,15,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,15,RING,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,15,REDSTAR,ROR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,16,RING,REDSTAR,4
4,4,True,4,1.0,SEEDED_TIEBREAK,M,16,RING,ROR,4
