always_HNF,baseline_completion,baseline_success_regressed,empirical_success_fraction,ever_HNF,first_HNF_seed,first_success_seed,flow_id,flow_kind,period_s,rescued_from_baseline_HNF,scenario,seed_HNF_count,seed_success_count
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C01_M01_A1_C01_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C01_M01_A2_C01_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C01_M01_A3_C01_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C01_M01_A4_C01_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C01_M02_A1_C01_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C01_M02_A2_C01_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C01_M02_A3_C01_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C01_M02_A4_C01_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C01_M03_A1_C01_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C01_M03_A2_C01_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C01_M03_A3_C01_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C01_M03_A4_C01_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C02_M01_A1_C02_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C02_M01_A2_C02_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C02_M01_A3_C02_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C02_M01_A4_C02_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C02_M02_A1_C02_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C02_M02_A2_C02_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C02_M02_A3_C02_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C02_M02_A4_C02_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C02_M03_A1_C02_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C02_M03_A2_C02_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C02_M03_A3_C02_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C02_M03_A4_C02_M03,ControlCommand,0.0005,False,M_RING,0,32
