flow_id,flow_kind,mode,scenario,tie_break_seed
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,BASELINE,M_RING,0
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,BASELINE,M_RING,0
COORD_CC_C05_PLC_C05_M02,MachineCoordination,BASELINE,M_RING,0
IC_PREV_CC_C03,InterCellPrevious,BASELINE,M_RING,0
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,BASELINE,M_REDSTAR,0
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,BASELINE,M_REDSTAR,0
COORD_CC_C05_PLC_C05_M02,MachineCoordination,BASELINE,M_REDSTAR,0
IC_PREV_CC_C03,InterCellPrevious,BASELINE,M_REDSTAR,0
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,BASELINE,M_ROR,0
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,BASELINE,M_ROR,0
COORD_CC_C05_PLC_C05_M02,MachineCoordination,BASELINE,M_ROR,0
IC_PREV_CC_C03,InterCellPrevious,BASELINE,M_ROR,0
CMD_PLC_C02_M04_A4_C02_M04,ControlCommand,BASELINE,L_RING,0
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,BASELINE,L_RING,0
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,BASELINE,L_RING,0
CMD_PLC_C09_M02_A4_C09_M02,ControlCommand,BASELINE,L_RING,0
CMD_PLC_C11_M04_A2_C11_M04,ControlCommand,BASELINE,L_RING,0
CMD_PLC_C12_M01_A4_C12_M01,ControlCommand,BASELINE,L_RING,0
CMD_PLC_C13_M02_A4_C13_M02,ControlCommand,BASELINE,L_RING,0
CMD_PLC_C13_M03_A4_C13_M03,ControlCommand,BASELINE,L_RING,0
CMD_PLC_C14_M03_A4_C14_M03,ControlCommand,BASELINE,L_RING,0
CMD_PLC_C15_M04_A4_C15_M04,ControlCommand,BASELINE,L_RING,0
CMD_PLC_C16_M03_A3_C16_M03,ControlCommand,BASELINE,L_RING,0
COORD_CC_C05_PLC_C05_M02,MachineCoordination,BASELINE,L_RING,0
IC_PREV_CC_C03,InterCellPrevious,BASELINE,L_RING,0
STAT_PLC_C05_M04,MachineStatus,BASELINE,L_RING,0
CMD_PLC_C02_M04_A4_C02_M04,ControlCommand,BASELINE,L_REDSTAR,0
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,BASELINE,L_REDSTAR,0
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,BASELINE,L_REDSTAR,0
CMD_PLC_C09_M02_A4_C09_M02,ControlCommand,BASELINE,L_REDSTAR,0
CMD_PLC_C11_M04_A2_C11_M04,ControlCommand,BASELINE,L_REDSTAR,0
CMD_PLC_C12_M01_A4_C12_M01,ControlCommand,BASELINE,L_REDSTAR,0
CMD_PLC_C13_M02_A4_C13_M02,ControlCommand,BASELINE,L_REDSTAR,0
CMD_PLC_C13_M03_A4_C13_M03,ControlCommand,BASELINE,L_REDSTAR,0
CMD_PLC_C14_M03_A4_C14_M03,ControlCommand,BASELINE,L_REDSTAR,0
CMD_PLC_C15_M04_A4_C15_M04,ControlCommand,BASELINE,L_REDSTAR,0
CMD_PLC_C16_M03_A3_C16_M03,ControlCommand,BASELINE,L_REDSTAR,0
COORD_CC_C05_PLC_C05_M02,MachineCoordination,BASELINE,L_REDSTAR,0
IC_PREV_CC_C03,InterCellPrevious,BASELINE,L_REDSTAR,0
STAT_PLC_C05_M04,MachineStatus,BASELINE,L_REDSTAR,0
CMD_PLC_C02_M04_A4_C02_M04,ControlCommand,BASELINE,L_ROR,0
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,BASELINE,L_ROR,0
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,BASELINE,L_ROR,0
CMD_PLC_C09_M02_A4_C09_M02,ControlCommand,BASELINE,L_ROR,0
CMD_PLC_C11_M04_A2_C11_M04,ControlCommand,BASELINE,L_ROR,0
CMD_PLC_C12_M01_A4_C12_M01,ControlCommand,BASELINE,L_ROR,0
CMD_PLC_C13_M02_A4_C13_M02,ControlCommand,BASELINE,L_ROR,0
CMD_PLC_C13_M03_A4_C13_M03,ControlCommand,BASELINE,L_ROR,0
CMD_PLC_C14_M03_A4_C14_M03,ControlCommand,BASELINE,L_ROR,0
CMD_PLC_C15_M04_A4_C15_M04,ControlCommand,BASELINE,L_ROR,0
CMD_PLC_C16_M03_A3_C16_M03,ControlCommand,BASELINE,L_ROR,0
COORD_CC_C05_PLC_C05_M02,MachineCoordination,BASELINE,L_ROR,0
IC_PREV_CC_C03,InterCellPrevious,BASELINE,L_ROR,0
STAT_PLC_C05_M04,MachineStatus,BASELINE,L_ROR,0
CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,0
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,0
COORD_CC_C05_PLC_C05_M01,MachineCoordination,SEEDED_TIEBREAK,M_RING,0
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,0
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,1
CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,1
COORD_CC_C05_PLC_C05_M02,MachineCoordination,SEEDED_TIEBREAK,M_RING,1
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,1
