H2S_ms,HNF_count,HNF_set_sha256,algorithm,candidate_paths,candidate_vector_sha256,command_contract_pass,complete_P0,complete_instances,expected_instances,formal_seed,instance_completion_sha256,memory_limit_mb,missing_instances,mode,order_export_sha256,order_sequence_sha256,order_sha256,peak_RSS_bytes,project_static_checker_pass,requested_flow_count,routing,scale,scenario,scheduled_flow_count,scheduled_ratio,status,threads,tie_break_seed,timeout_s,topology,upstream_verifier_pass
63.544866,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,8192,35,BASELINE,758d826f48827b71195da3e4aaf295d579984e806e978e8a219fec05bcf139bd,e9b30bd51b3d4e82b7af6738ee351105e53e32efdc389591fe7bf49e5c99d496,e9b30bd51b3d4e82b7af6738ee351105e53e32efdc389591fe7bf49e5c99d496,19570688,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,0,30,RING,True
94.488982,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,5,f92192456b709835c3a7a46fa152937432e5ef8738e2062cca14a009d6355fdf,True,False,3581,3616,1024,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,8192,35,BASELINE,758d826f48827b71195da3e4aaf295d579984e806e978e8a219fec05bcf139bd,e9b30bd51b3d4e82b7af6738ee351105e53e32efdc389591fe7bf49e5c99d496,e9b30bd51b3d4e82b7af6738ee351105e53e32efdc389591fe7bf49e5c99d496,23072768,False,352,DIJKSTRA_OVERLAP,M,M_REDSTAR,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,0,30,REDSTAR,True
85.927973,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,5,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,True,False,3581,3616,1024,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,8192,35,BASELINE,758d826f48827b71195da3e4aaf295d579984e806e978e8a219fec05bcf139bd,e9b30bd51b3d4e82b7af6738ee351105e53e32efdc389591fe7bf49e5c99d496,e9b30bd51b3d4e82b7af6738ee351105e53e32efdc389591fe7bf49e5c99d496,19120128,False,352,DIJKSTRA_OVERLAP,M,M_ROR,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,0,30,ROR,True
167.116175,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,H2S,5,882caf9bc98a493327e65631397b53efe1797167efa5911aacc567c453b2123a,True,False,9449,9632,1024,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,8192,183,BASELINE,3c07c1bcdd47ee34356ee0181b4ea430c19b1dacd5fee8ec2c1534a4e407b000,3bf3fb5aa3beffb9b89693a20d7b31feb4fafeb1c37e730e77f28aee121c3ef8,3bf3fb5aa3beffb9b89693a20d7b31feb4fafeb1c37e730e77f28aee121c3ef8,44142592,False,928,DIJKSTRA_OVERLAP,L,L_RING,914,0.9849137931034483,HEURISTIC_NOT_FOUND,1,0,30,RING,True
468.377638,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,H2S,5,126c059e732626ffd4e13b290cb898d9053fc5ab0908864b392d0cac631e569f,True,False,9449,9632,1024,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,8192,183,BASELINE,3c07c1bcdd47ee34356ee0181b4ea430c19b1dacd5fee8ec2c1534a4e407b000,3bf3fb5aa3beffb9b89693a20d7b31feb4fafeb1c37e730e77f28aee121c3ef8,3bf3fb5aa3beffb9b89693a20d7b31feb4fafeb1c37e730e77f28aee121c3ef8,52719616,False,928,DIJKSTRA_OVERLAP,L,L_REDSTAR,914,0.9849137931034483,HEURISTIC_NOT_FOUND,1,0,30,REDSTAR,True
367.345489,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,H2S,5,166257d58b72504da8d1975afa652222911bf2336a909af2c61f8f9c22f29574,True,False,9449,9632,1024,17c3460c39225014f684892917bd1dd41b45aa8c7bdb0b2400c79b8db174743a,8192,183,BASELINE,3c07c1bcdd47ee34356ee0181b4ea430c19b1dacd5fee8ec2c1534a4e407b000,3bf3fb5aa3beffb9b89693a20d7b31feb4fafeb1c37e730e77f28aee121c3ef8,3bf3fb5aa3beffb9b89693a20d7b31feb4fafeb1c37e730e77f28aee121c3ef8,42655744,False,928,DIJKSTRA_OVERLAP,L,L_ROR,914,0.9849137931034483,HEURISTIC_NOT_FOUND,1,0,30,ROR,True
67.262065,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,a88e52a33e89d16d1c1bee60e6d23ce4e2b5934d871f32f6ca098773a06b78d3,8192,35,SEEDED_TIEBREAK,8edaf3b4a1e07f16b6a5f64b62e1e8463c814e71622ca8b0527ba663fe824daa,80e0be8c8deffd97eee2e0e9b48cf785f71494206ad59f2e14d4c2447c346d45,80e0be8c8deffd97eee2e0e9b48cf785f71494206ad59f2e14d4c2447c346d45,19570688,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,0,30,RING,True
63.39022,4,5cdca2ba49ac29aa76fc3e77603949412fb614ec461ddda2f153cb16d7da14f1,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,9153088767112f4be89b43df34af0fd967c93b38b97abe14d0b582b0cc8d40cc,8192,35,SEEDED_TIEBREAK,fbbe88f59e542b928ff3ac7726a63b4694a7e86ff2c2349dc5e349cd971930b4,76110c8210ea212add7efe89465602210de897fd8cbd4be2f57426ff85bfe2dd,76110c8210ea212add7efe89465602210de897fd8cbd4be2f57426ff85bfe2dd,19451904,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,1,30,RING,True
63.996468,4,5cdca2ba49ac29aa76fc3e77603949412fb614ec461ddda2f153cb16d7da14f1,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,9153088767112f4be89b43df34af0fd967c93b38b97abe14d0b582b0cc8d40cc,8192,35,SEEDED_TIEBREAK,acc6c69c6c8d94a1b68dc6762e276f533d01d26a94ae4efa1ffe64d8f7433555,98676ee495ed837837e5793f852cfdbf829dda059ca902a2ec6b3a0dbfb06af7,98676ee495ed837837e5793f852cfdbf829dda059ca902a2ec6b3a0dbfb06af7,19456000,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,2,30,RING,True
63.231401,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,a88e52a33e89d16d1c1bee60e6d23ce4e2b5934d871f32f6ca098773a06b78d3,8192,35,SEEDED_TIEBREAK,42418d754a615b6c89f038a431578151dca79063d38a5f871dc02fd03690b6c3,54113e059db6e3dbcad7aa9fe98ee25eeee1602c3a525ae41ebffba9beade85a,54113e059db6e3dbcad7aa9fe98ee25eeee1602c3a525ae41ebffba9beade85a,19456000,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,3,30,RING,True
62.842921,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,8192,35,SEEDED_TIEBREAK,d77a581d1844579f35dd9a52084bcca347ec5f74e039ec2b17207e648d356092,8afb6d12dcd35342ffd21fd495fbf599450d2be69d908d56de96e28dbb892ffb,8afb6d12dcd35342ffd21fd495fbf599450d2be69d908d56de96e28dbb892ffb,19456000,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,4,30,RING,True
64.478893,4,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,2c1c1c28c4071d3bd23e6cce6d3eeb4d8d60e6820c569484e6cb10847d2583a3,8192,35,SEEDED_TIEBREAK,d17ed5ad7002d38991e652d1f5e84b3419939a4dcf6e3ca7a57a317ea72562a6,b2aec46576bd801b3c9960bd910070a592a518e97fd42dc77142153537d24015,b2aec46576bd801b3c9960bd910070a592a518e97fd42dc77142153537d24015,19574784,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,5,30,RING,True
64.704013,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,8192,35,SEEDED_TIEBREAK,980fb744b2542004c76faa25d7068d5b094c8de823f29eb0078202285e8036be,924ce677b93b6880dab750ed907c7f8eef07cb17da8aa99a79c537e8b95d4381,924ce677b93b6880dab750ed907c7f8eef07cb17da8aa99a79c537e8b95d4381,19456000,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,6,30,RING,True
65.174224,4,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,2c1c1c28c4071d3bd23e6cce6d3eeb4d8d60e6820c569484e6cb10847d2583a3,8192,35,SEEDED_TIEBREAK,ecbcf596a428d4d99d948104aec9e9e242399feda26cfd1ab853a738de2ab8be,b953d3760b8c00f65d05d558b013a06486e68d531be815662166a0bc330922af,b953d3760b8c00f65d05d558b013a06486e68d531be815662166a0bc330922af,19460096,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,7,30,RING,True
65.184728,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,8192,35,SEEDED_TIEBREAK,f201e69facb0292c9c1462878775e43fdf35bd0d7af3716acf451347c40b5594,0a209369e51a6fd1c657f7e3e3146a944b450563a93c0ae88c2f06b8a5f55a56,0a209369e51a6fd1c657f7e3e3146a944b450563a93c0ae88c2f06b8a5f55a56,19451904,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,8,30,RING,True
62.978899,4,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,2c1c1c28c4071d3bd23e6cce6d3eeb4d8d60e6820c569484e6cb10847d2583a3,8192,35,SEEDED_TIEBREAK,ae659f213f349cc4aa6c0865f40ceb19c432f25ec2655aedd25e33b323ab64af,0dd528d9da7cbc668176140e5765d7302dd9b424a73020085380bb49da0b93df,0dd528d9da7cbc668176140e5765d7302dd9b424a73020085380bb49da0b93df,19570688,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,9,30,RING,True
61.765141,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,8192,35,SEEDED_TIEBREAK,90422b2e5d38d8fcf7f29349145b2ff476b50b6f459fd38b6ef4d19158aff5bd,7047d0f6840963150e1ac715cf83a0655497084aeee53de6bb56ecbbc23692d3,7047d0f6840963150e1ac715cf83a0655497084aeee53de6bb56ecbbc23692d3,19456000,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,10,30,RING,True
62.522847,4,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,2c1c1c28c4071d3bd23e6cce6d3eeb4d8d60e6820c569484e6cb10847d2583a3,8192,35,SEEDED_TIEBREAK,6fda70ba87aaa7f9dde4c0c1238c510cbb6ba65e6cf53d584a33d8f33e6ef3d9,5d79729bfceeadcea10f5ea1097aa915587aab6fe7440b9d2a25965ed625f592,5d79729bfceeadcea10f5ea1097aa915587aab6fe7440b9d2a25965ed625f592,19431424,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,11,30,RING,True
62.190088,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,a88e52a33e89d16d1c1bee60e6d23ce4e2b5934d871f32f6ca098773a06b78d3,8192,35,SEEDED_TIEBREAK,6200690fd8d73ce580e79f63b5d2e6fbedc33549200ee7f7ca05669c155e3d21,06e07df3ce2afa1fab016fbfdec185ffb2b692bbcb2c2fc0ed61ee51784311a8,06e07df3ce2afa1fab016fbfdec185ffb2b692bbcb2c2fc0ed61ee51784311a8,19410944,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,12,30,RING,True
65.030574,4,5cdca2ba49ac29aa76fc3e77603949412fb614ec461ddda2f153cb16d7da14f1,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,9153088767112f4be89b43df34af0fd967c93b38b97abe14d0b582b0cc8d40cc,8192,35,SEEDED_TIEBREAK,c46bbf554ab7b4b0ab6ddf4b7bd1c80831e78151178059f72d60d928267e38a9,163801a46e22b167cff3efc4be1e51232d3f52d3f956a12a06734286a3ef9899,163801a46e22b167cff3efc4be1e51232d3f52d3f956a12a06734286a3ef9899,19456000,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,13,30,RING,True
62.407361,4,0068370bccbdc3efd4f779f95b56f399e3715809bb23aa51214b9a2107a321c3,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,c1468b52f2296a96ac3b90b00aa2d8a9cee44bf5eca956f4096fe67f10e34cf7,8192,35,SEEDED_TIEBREAK,a87ea76d171be326e140a3531522cd6544d2d3063a720f1eaa1c2e49782751f0,231d335f83d648132459a8e286b60f57895ed981231a099ce462cc43786d7562,231d335f83d648132459a8e286b60f57895ed981231a099ce462cc43786d7562,19574784,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,14,30,RING,True
63.799997,4,a4aa6348e2cbde473424d5af738b0a3d75431f73c1c514f2f7ff7a30fc600e3e,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,4c730c3370f04d482302c643e35fcd639ebd51d67f2b74ed36de297d0b13d612,8192,35,SEEDED_TIEBREAK,7fc8ed11ab0200ddd3aac30feb3aee02a2288cf07aef389915cffc38de9faab6,3b6eab1d2f63fb88a919ffa5a8d6ab3bac2e831ff0da24a4dab246c0f6e88132,3b6eab1d2f63fb88a919ffa5a8d6ab3bac2e831ff0da24a4dab246c0f6e88132,19562496,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,15,30,RING,True
62.804051,4,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,2c1c1c28c4071d3bd23e6cce6d3eeb4d8d60e6820c569484e6cb10847d2583a3,8192,35,SEEDED_TIEBREAK,9f1c8db1f55f9609ffa0409a6b36fa780b541dc8f44929bae8843674992faf9f,ecbd4200d24d24e5db90f5fb91e5d2fdbc91708136746f6153c41e2c542609ba,ecbd4200d24d24e5db90f5fb91e5d2fdbc91708136746f6153c41e2c542609ba,19574784,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,16,30,RING,True
61.570744,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,8192,35,SEEDED_TIEBREAK,e4c282933cfcb8d1bd7c4aecd47a93f2f4c4d6b641e7434a841fd8d2a8456bb5,45caabba8e17e42b7de94f77e904eed1ec68271f4c0551f3265d911eb26372f1,45caabba8e17e42b7de94f77e904eed1ec68271f4c0551f3265d911eb26372f1,19451904,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,17,30,RING,True
62.500459,4,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,2c1c1c28c4071d3bd23e6cce6d3eeb4d8d60e6820c569484e6cb10847d2583a3,8192,35,SEEDED_TIEBREAK,4a5dff90abf85c6641ad5442907020a37078fc6c5e38f949baa49340857041f5,4c3a74c55e818c67d1d74137174b0387680171203cc66565993eaff3470c0c52,4c3a74c55e818c67d1d74137174b0387680171203cc66565993eaff3470c0c52,19460096,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,18,30,RING,True
62.661158,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,8192,35,SEEDED_TIEBREAK,35d04bf3e86b6e1ee5fc13d3961f5a088c6ed489d3ba57a66e5b6517edc94a46,0d5402861ba1808dfbbf657e7bd7751bbf61cf2fa1331923405b403b8f523f10,0d5402861ba1808dfbbf657e7bd7751bbf61cf2fa1331923405b403b8f523f10,19292160,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,19,30,RING,True
62.172669,4,a4aa6348e2cbde473424d5af738b0a3d75431f73c1c514f2f7ff7a30fc600e3e,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,4c730c3370f04d482302c643e35fcd639ebd51d67f2b74ed36de297d0b13d612,8192,35,SEEDED_TIEBREAK,8bd3d9da18f4fa6ce9cbbeb1204d71c18cc4de378457fd8de265697166f2bef4,2ab5da056cc15ea327e9bb94e315d14de6b74b70657863b9e48ee837c49ad118,2ab5da056cc15ea327e9bb94e315d14de6b74b70657863b9e48ee837c49ad118,19456000,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,20,30,RING,True
63.470659,4,0068370bccbdc3efd4f779f95b56f399e3715809bb23aa51214b9a2107a321c3,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,c1468b52f2296a96ac3b90b00aa2d8a9cee44bf5eca956f4096fe67f10e34cf7,8192,35,SEEDED_TIEBREAK,325f08a8c3d17244c3306337378aaffc38833f3ca2bc80b205426c1eb640768e,4fa0f2b3e55960a43659243c4a592921082006b60647d0dca659c65974614302,4fa0f2b3e55960a43659243c4a592921082006b60647d0dca659c65974614302,19574784,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,21,30,RING,True
62.192714,4,5cdca2ba49ac29aa76fc3e77603949412fb614ec461ddda2f153cb16d7da14f1,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,9153088767112f4be89b43df34af0fd967c93b38b97abe14d0b582b0cc8d40cc,8192,35,SEEDED_TIEBREAK,ca7f016ee477a49b954f27b70b9e5fc5e703a6409f297e3a7e12d7beff30542b,681de14eecb524b5f4e6c8b2e2b069aab0f3b4efaf7e09081c91d1363e8d2018,681de14eecb524b5f4e6c8b2e2b069aab0f3b4efaf7e09081c91d1363e8d2018,19451904,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,22,30,RING,True
65.576069,4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,a88e52a33e89d16d1c1bee60e6d23ce4e2b5934d871f32f6ca098773a06b78d3,8192,35,SEEDED_TIEBREAK,9f5dc4fb8d404d2957791402327f8daf71945805f40c50e5eda0a523d21b28d1,b3b40d9f746f66c38395ad1328be056641020d462bd049cc023bbd6ff845a063,b3b40d9f746f66c38395ad1328be056641020d462bd049cc023bbd6ff845a063,19574784,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,23,30,RING,True
64.452109,4,78a64846bef3f5100d9ade4a5a8435e47c224ebac85e92135e51c4492aa7f1a1,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,b6fb379177ae21a5743d8a88004e555176ea66896869ff7dc07994bcc4ddca0d,8192,35,SEEDED_TIEBREAK,0f210f204374cbcdd566659f615e5e9b3e638ff0ddef5348a2db0a659c798551,ce56b45c731b32034b9a544a33a83064d04208612610a70a6655035c5b49b899,ce56b45c731b32034b9a544a33a83064d04208612610a70a6655035c5b49b899,19574784,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,24,30,RING,True
63.493884,4,20bf4874caa368437c6adc924e7d1795e755ced08300a65b450e51bdf024160b,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,58831c1ca311ed3cef7121e2d2b451cbf2181f43e05c576309652853e053b328,8192,35,SEEDED_TIEBREAK,9344562f5ec1fc53aaa00b5c97b136128982d58f9cb4e42a02b6015f81546640,d730621dce6730a0a1a36af81a1fba8c4edd8fa34514aeb0b1c0a5d9d44cc2b8,d730621dce6730a0a1a36af81a1fba8c4edd8fa34514aeb0b1c0a5d9d44cc2b8,19456000,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,25,30,RING,True
64.238445,4,78a64846bef3f5100d9ade4a5a8435e47c224ebac85e92135e51c4492aa7f1a1,H2S,5,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,False,3581,3616,1024,b6fb379177ae21a5743d8a88004e555176ea66896869ff7dc07994bcc4ddca0d,8192,35,SEEDED_TIEBREAK,998e9b407aa0d4fc0b0b23e1c2681ef93956887b4d4fbe385cafbf4cbd909412,a6723669811f20252e7315840612ac658a3aca3db122292a29de775ab6183a3e,a6723669811f20252e7315840612ac658a3aca3db122292a29de775ab6183a3e,19574784,False,352,DIJKSTRA_OVERLAP,M,M_RING,348,0.9886363636363636,HEURISTIC_NOT_FOUND,1,26,30,RING,True
