HNF_set_exact,HNF_set_sha256,candidate_vector_exact,candidate_vector_sha256,instance_completion_exact,instance_completion_sha256,order_exact,order_sha256,reference_HNF_set_sha256,reference_candidate_vector_sha256,reference_instance_completion_sha256,reference_order_sha256,reference_scheduled_flow_count,repeat,repeatability_pass,scenario,scheduled_count_exact,scheduled_flow_count,tie_break_seed
True,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,True,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,a88e52a33e89d16d1c1bee60e6d23ce4e2b5934d871f32f6ca098773a06b78d3,True,80e0be8c8deffd97eee2e0e9b48cf785f71494206ad59f2e14d4c2447c346d45,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,a88e52a33e89d16d1c1bee60e6d23ce4e2b5934d871f32f6ca098773a06b78d3,80e0be8c8deffd97eee2e0e9b48cf785f71494206ad59f2e14d4c2447c346d45,348,1,True,M_RING,True,348,0
True,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,True,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,a88e52a33e89d16d1c1bee60e6d23ce4e2b5934d871f32f6ca098773a06b78d3,True,80e0be8c8deffd97eee2e0e9b48cf785f71494206ad59f2e14d4c2447c346d45,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,a88e52a33e89d16d1c1bee60e6d23ce4e2b5934d871f32f6ca098773a06b78d3,80e0be8c8deffd97eee2e0e9b48cf785f71494206ad59f2e14d4c2447c346d45,348,2,True,M_RING,True,348,0
True,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,True,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,2c1c1c28c4071d3bd23e6cce6d3eeb4d8d60e6820c569484e6cb10847d2583a3,True,b953d3760b8c00f65d05d558b013a06486e68d531be815662166a0bc330922af,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,2c1c1c28c4071d3bd23e6cce6d3eeb4d8d60e6820c569484e6cb10847d2583a3,b953d3760b8c00f65d05d558b013a06486e68d531be815662166a0bc330922af,348,1,True,M_RING,True,348,7
True,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,True,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,2c1c1c28c4071d3bd23e6cce6d3eeb4d8d60e6820c569484e6cb10847d2583a3,True,b953d3760b8c00f65d05d558b013a06486e68d531be815662166a0bc330922af,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,2c1c1c28c4071d3bd23e6cce6d3eeb4d8d60e6820c569484e6cb10847d2583a3,b953d3760b8c00f65d05d558b013a06486e68d531be815662166a0bc330922af,348,2,True,M_RING,True,348,7
True,20bf4874caa368437c6adc924e7d1795e755ced08300a65b450e51bdf024160b,True,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,58831c1ca311ed3cef7121e2d2b451cbf2181f43e05c576309652853e053b328,True,bb3315401f4a365d13e2e828af50a3f24e096679dc0b0003ab73e0ae5d8cb0ee,20bf4874caa368437c6adc924e7d1795e755ced08300a65b450e51bdf024160b,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,58831c1ca311ed3cef7121e2d2b451cbf2181f43e05c576309652853e053b328,bb3315401f4a365d13e2e828af50a3f24e096679dc0b0003ab73e0ae5d8cb0ee,348,1,True,M_RING,True,348,31
True,20bf4874caa368437c6adc924e7d1795e755ced08300a65b450e51bdf024160b,True,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,True,58831c1ca311ed3cef7121e2d2b451cbf2181f43e05c576309652853e053b328,True,bb3315401f4a365d13e2e828af50a3f24e096679dc0b0003ab73e0ae5d8cb0ee,20bf4874caa368437c6adc924e7d1795e755ced08300a65b450e51bdf024160b,e41d319431c4f3ab158a99e68137bd1b5227a355e4ba0c5cbd5af1660609538f,58831c1ca311ed3cef7121e2d2b451cbf2181f43e05c576309652853e053b328,bb3315401f4a365d13e2e828af50a3f24e096679dc0b0003ab73e0ae5d8cb0ee,348,2,True,M_RING,True,348,31
True,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,True,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,True,e976dbea1a995a82162112e0292d607602f57ea712b010c77bb53eb5cda8d47a,True,80e0be8c8deffd97eee2e0e9b48cf785f71494206ad59f2e14d4c2447c346d45,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,e976dbea1a995a82162112e0292d607602f57ea712b010c77bb53eb5cda8d47a,80e0be8c8deffd97eee2e0e9b48cf785f71494206ad59f2e14d4c2447c346d45,348,1,True,M_ROR,True,348,0
True,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,True,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,True,e976dbea1a995a82162112e0292d607602f57ea712b010c77bb53eb5cda8d47a,True,80e0be8c8deffd97eee2e0e9b48cf785f71494206ad59f2e14d4c2447c346d45,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,e976dbea1a995a82162112e0292d607602f57ea712b010c77bb53eb5cda8d47a,80e0be8c8deffd97eee2e0e9b48cf785f71494206ad59f2e14d4c2447c346d45,348,2,True,M_ROR,True,348,0
True,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,True,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,True,92afc62b7b068604d15d720e28f58af9ef3ceff727c14949c0881e4f50d75544,True,b953d3760b8c00f65d05d558b013a06486e68d531be815662166a0bc330922af,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,92afc62b7b068604d15d720e28f58af9ef3ceff727c14949c0881e4f50d75544,b953d3760b8c00f65d05d558b013a06486e68d531be815662166a0bc330922af,348,1,True,M_ROR,True,348,7
True,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,True,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,True,92afc62b7b068604d15d720e28f58af9ef3ceff727c14949c0881e4f50d75544,True,b953d3760b8c00f65d05d558b013a06486e68d531be815662166a0bc330922af,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,2884afdefcd312d6ae540641c8b9e5a7addc6c7ae63bdde330a7d97c8e0780e9,92afc62b7b068604d15d720e28f58af9ef3ceff727c14949c0881e4f50d75544,b953d3760b8c00f65d05d558b013a06486e68d531be815662166a0bc330922af,348,2,True,M_ROR,True,348,7
