affected_flow_count,affected_flow_ids,affected_flow_ratio,endpoint_a,endpoint_b,fault_id,healthy_route_use_count,internal_switch_link,p0_used,p0_used_direction_count,physical_link_id,quantile_bin,scenario_id
1,['TT0006'],0.01,sw0025,sw0026,l_sw0025_sw0026,1,True,True,1,l_sw0025_sw0026,0,S1
1,['TT0047'],0.01,sw0029,sw0030,l_sw0029_sw0030,1,True,True,1,l_sw0029_sw0030,0,S1
2,"['TT0064', 'TT0084']",0.02,sw0002,sw0003,l_sw0002_sw0003,2,True,True,2,l_sw0002_sw0003,0,S1
2,"['TT0066', 'TT0086']",0.02,sw0005,sw0006,l_sw0005_sw0006,2,True,True,2,l_sw0005_sw0006,0,S1
2,"['TT0068', 'TT0088']",0.02,sw0008,sw0009,l_sw0008_sw0009,2,True,True,2,l_sw0008_sw0009,0,S1
2,"['TT0070', 'TT0090']",0.02,sw0011,sw0012,l_sw0011_sw0012,2,True,True,2,l_sw0011_sw0012,0,S1
2,"['TT0020', 'TT0077']",0.02,sw0016,sw0017,l_sw0016_sw0017,2,True,True,2,l_sw0016_sw0017,0,S1
2,"['TT0074', 'TT0094']",0.02,sw0017,sw0018,l_sw0017_sw0018,2,True,True,2,l_sw0017_sw0018,0,S1
2,"['TT0059', 'TT0079']",0.02,sw0019,sw0020,l_sw0019_sw0020,2,True,True,2,l_sw0019_sw0020,0,S1
2,"['TT0076', 'TT0096']",0.02,sw0020,sw0021,l_sw0020_sw0021,2,True,True,2,l_sw0020_sw0021,0,S1
2,"['TT0078', 'TT0098']",0.02,sw0023,sw0024,l_sw0023_sw0024,2,True,True,2,l_sw0023_sw0024,1,S1
2,"['TT0043', 'TT0063']",0.02,sw0027,sw0028,l_sw0027_sw0028,2,True,True,2,l_sw0027_sw0028,1,S1
3,"['TT0012', 'TT0049', 'TT0069']",0.03,sw0004,sw0005,l_sw0004_sw0005,3,True,True,3,l_sw0004_sw0005,1,S1
3,"['TT0014', 'TT0051', 'TT0071']",0.03,sw0007,sw0008,l_sw0007_sw0008,3,True,True,3,l_sw0007_sw0008,1,S1
3,"['TT0016', 'TT0053', 'TT0073']",0.03,sw0010,sw0011,l_sw0010_sw0011,3,True,True,3,l_sw0010_sw0011,1,S1
3,"['TT0018', 'TT0055', 'TT0075']",0.03,sw0013,sw0014,l_sw0013_sw0014,3,True,True,3,l_sw0013_sw0014,1,S1
3,"['TT0057', 'TT0072', 'TT0092']",0.03,sw0014,sw0015,l_sw0014_sw0015,3,True,True,3,l_sw0014_sw0015,1,S1
3,"['TT0008', 'TT0045', 'TT0065']",0.03,sw0028,sw0029,l_sw0028_sw0029,3,True,True,3,l_sw0028_sw0029,1,S1
5,"['TT0002', 'TT0010', 'TT0062', 'TT0067', 'TT0082']",0.05,sw0001,sw0002,l_sw0001_sw0002,5,True,True,5,l_sw0001_sw0002,1,S1
5,"['TT0004', 'TT0041', 'TT0061', 'TT0080', 'TT0100']",0.05,sw0022,sw0023,l_sw0022_sw0023,5,True,True,5,l_sw0022_sw0023,1,S1
12,"['TT0003', 'TT0018', 'TT0019', 'TT0022', 'TT0023', 'TT0038', 'TT0039', 'TT0042', 'TT0058', 'TT0059', 'TT0079', 'TT0099']",0.12,sw0022,sw0024,l_sw0022_sw0024,12,True,True,12,l_sw0022_sw0024,2,S1
14,"['TT0003', 'TT0018', 'TT0019', 'TT0022', 'TT0023', 'TT0038', 'TT0039', 'TT0042', 'TT0058', 'TT0059', 'TT0078', 'TT0079', 'TT0098', 'TT0099']",0.14,sw0024,sw0026,l_sw0024_sw0026,14,True,True,14,l_sw0024_sw0026,2,S1
14,"['TT0003', 'TT0006', 'TT0007', 'TT0022', 'TT0023', 'TT0026', 'TT0027', 'TT0042', 'TT0043', 'TT0046', 'TT0063', 'TT0064', 'TT0083', 'TT0084']",0.14,sw0028,sw0030,l_sw0028_sw0030,14,True,True,14,l_sw0028_sw0030,2,S1
15,"['TT0004', 'TT0005', 'TT0008', 'TT0009', 'TT0024', 'TT0025', 'TT0028', 'TT0029', 'TT0044', 'TT0045', 'TT0048', 'TT0065', 'TT0066', 'TT0085', 'TT0086']",0.15,sw0001,sw0003,l_sw0001_sw0003,15,True,True,15,l_sw0001_sw0003,2,S1
15,"['TT0003', 'TT0006', 'TT0007', 'TT0022', 'TT0023', 'TT0026', 'TT0027', 'TT0042', 'TT0043', 'TT0046', 'TT0047', 'TT0063', 'TT0064', 'TT0083', 'TT0084']",0.15,sw0002,sw0030,l_sw0002_sw0030,15,True,True,15,l_sw0002_sw0030,2,S1
15,"['TT0006', 'TT0007', 'TT0010', 'TT0011', 'TT0026', 'TT0027', 'TT0030', 'TT0031', 'TT0046', 'TT0047', 'TT0050', 'TT0067', 'TT0068', 'TT0087', 'TT0088']",0.15,sw0004,sw0006,l_sw0004_sw0006,15,True,True,15,l_sw0004_sw0006,2,S1
15,"['TT0008', 'TT0009', 'TT0012', 'TT0013', 'TT0028', 'TT0029', 'TT0032', 'TT0033', 'TT0048', 'TT0049', 'TT0052', 'TT0069', 'TT0070', 'TT0089', 'TT0090']",0.15,sw0007,sw0009,l_sw0007_sw0009,15,True,True,15,l_sw0007_sw0009,2,S1
15,"['TT0010', 'TT0011', 'TT0014', 'TT0015', 'TT0030', 'TT0031', 'TT0034', 'TT0035', 'TT0050', 'TT0051', 'TT0054', 'TT0071', 'TT0072', 'TT0091', 'TT0092']",0.15,sw0010,sw0012,l_sw0010_sw0012,15,True,True,15,l_sw0010_sw0012,2,S1
