affected_flow_count,algorithm_used,candidate_route_generation_ms,celf_wall_ms,conversion_ms,diagnostic,endpoint_a,endpoint_b,fault_id,feasible,gzip_bytes,h2s_wall_ms,peak_rss_bytes,pf_to_p0_runtime_ratio,profile_bytes,profile_hash,profile_normalization_ms,quantile_bin,repeat,scenario_id,scheduled_flow_ratio,scheduling_ms,semantic_profile_hash,semantic_valid,status,total_backend_ms,verification_ms
1,H2S,0.065663,0,1.404803,,sw0025,sw0026,l_sw0025_sw0026,True,14299,16.551281,12124160,0.9353429228545134,159166,e39f9358f727d5dd7bddecf9a2399314ec6796d6bc9f3a30eb315a6424015a80,1.195218,0,2,S1,1.0,16.485618,d428707c8631bfcdb4db0a5cf8093639d75917cc1fd32ab6700f69d1203d49d6,True,SUCCESS_H2S,23.295851,2.18163
1,H2S,0.06663000000000001,0,1.486088,,sw0025,sw0026,l_sw0025_sw0026,True,14299,16.908588,12124160,0.9490502249759839,159166,e39f9358f727d5dd7bddecf9a2399314ec6796d6bc9f3a30eb315a6424015a80,1.146035,0,3,S1,1.0,16.841958,d428707c8631bfcdb4db0a5cf8093639d75917cc1fd32ab6700f69d1203d49d6,True,SUCCESS_H2S,23.637248,2.046792
15,H2S,0.441012,0,1.243577,,sw0004,sw0006,l_sw0004_sw0006,True,14546,17.301048,12288000,0.9623200860636627,160620,1a5420cb0ba90361f8c81fb8cc1b7c0ddc3f7984bc0c27a08e12c8d6cabc5d9e,1.154199,2,2,S1,1.0,16.860036,3bb6c3cd60c968de5da6e5ba76e40d20307ec41875b281b2e12d83d4efb91df5,True,SUCCESS_H2S,23.96775,2.070777
15,H2S,0.447603,0,1.236128,,sw0004,sw0006,l_sw0004_sw0006,True,14546,16.88144,12288000,0.938018118691183,160620,1a5420cb0ba90361f8c81fb8cc1b7c0ddc3f7984bc0c27a08e12c8d6cabc5d9e,1.135097,2,3,S1,1.0,16.433837,3bb6c3cd60c968de5da6e5ba76e40d20307ec41875b281b2e12d83d4efb91df5,True,SUCCESS_H2S,23.36248,2.000983
21,H2S,0.587484,0,1.298636,,sw0023,sw0025,l_sw0023_sw0025,True,14890,17.711479,12288000,0.9826418419114202,164024,20fd4bd4393247a0a5f48f2f7fadc0103b779ad5e8ff19fd4b8d0adba194810d,1.17504,4,2,S1,1.0,17.123995,89baaab7d93af49ce95db26b55b05390c5f3c5269c335e835535ef8f232669c9,True,SUCCESS_H2S,24.473888,2.028318
21,H2S,0.6018020000000001,0,1.251937,,sw0023,sw0025,l_sw0023_sw0025,True,14890,17.226991,12288000,0.969561170557677,164024,20fd4bd4393247a0a5f48f2f7fadc0103b779ad5e8ff19fd4b8d0adba194810d,1.238834,4,3,S1,1.0,16.625189000000002,89baaab7d93af49ce95db26b55b05390c5f3c5269c335e835535ef8f232669c9,True,SUCCESS_H2S,24.148098,2.05298
1,H2S,0.066736,0,1.466209,,sw0025,sw0026,l_sw0025_sw0026,True,14299,18.512671,12288000,1.008466883003575,159166,e39f9358f727d5dd7bddecf9a2399314ec6796d6bc9f3a30eb315a6424015a80,1.056309,0,,S1,1.0,18.445935000000002,d428707c8631bfcdb4db0a5cf8093639d75917cc1fd32ab6700f69d1203d49d6,True,SUCCESS_H2S,25.117092,2.009406
15,H2S,0.44595700000000005,0,1.227272,,sw0004,sw0006,l_sw0004_sw0006,True,14546,17.18526,12288000,0.9532422310351948,160620,1a5420cb0ba90361f8c81fb8cc1b7c0ddc3f7984bc0c27a08e12c8d6cabc5d9e,1.075675,2,,S1,1.0,16.739303,3bb6c3cd60c968de5da6e5ba76e40d20307ec41875b281b2e12d83d4efb91df5,True,SUCCESS_H2S,23.741655,2.021551
21,H2S,0.602935,0,1.291783,,sw0023,sw0025,l_sw0023_sw0025,True,14890,17.026831,12288000,0.9476707700335346,164024,20fd4bd4393247a0a5f48f2f7fadc0103b779ad5e8ff19fd4b8d0adba194810d,1.048968,4,,S1,1.0,16.423896000000003,89baaab7d93af49ce95db26b55b05390c5f3c5269c335e835535ef8f232669c9,True,SUCCESS_H2S,23.602891,1.950635
1,H2S,0.06425700000000001,0,1.277878,,sw0029,sw0030,l_sw0029_sw0030,True,14235,16.488955,12288000,0.9142807092238106,159274,14171072a4ae407359b974e01b408f7cdd200636160c998d2e3e515bb0865cce,1.028705,0,,S1,1.0,16.424698,a5288f554c383d3981e8bb4ba401434589192b7551c4622d328d39400286f3e6,True,SUCCESS_H2S,22.771271,2.005362
2,H2S,0.085287,0,1.29306,,sw0002,sw0003,l_sw0002_sw0003,True,14269,17.021855,12124160,0.9447195386661338,159576,fc655d7de334e6af7afc5907307aa1c300b0c9ce455ab5e88361cb0b329de2c6,1.102254,0,,S1,1.0,16.936567999999998,44179f3a1110abdd160bd3b843dcd7e62b787701c3eec53cefa188d34048a247,True,SUCCESS_H2S,23.529387,2.072562
2,H2S,0.08346100000000001,0,1.296159,,sw0005,sw0006,l_sw0005_sw0006,True,14225,16.877328,12288000,0.9322881028806708,159375,4f6302d90441df1bd35966a16d7337e326659f9b2f554f8fab9f33459ac342ac,1.073059,0,,S1,1.0,16.793867,cb26a89f0de471b48698a7052669faec6ba677bf291710a94bb3e0471cb6adcd,True,SUCCESS_H2S,23.219767,1.966426
2,H2S,0.10354899999999999,0,1.294846,,sw0008,sw0009,l_sw0008_sw0009,True,14252,16.418253,12288000,0.9176463753182239,159285,5e6d3bace16423e5e919f07260a2998504dd8121f86c074c832256d9ce2489fc,1.088758,0,,S1,1.0,16.314704,3d08e35c8f4083255275a9826192e51bdf53008f3b04beebe3ba9e839bb5ccbe,True,SUCCESS_H2S,22.855097,2.001443
2,H2S,0.092409,0,1.239025,,sw0011,sw0012,l_sw0011_sw0012,True,14215,16.413948,12288000,0.9252372921874036,159199,5b4db953559688e007d9c3760a692a9840ff09802355cc9b4077e563ad67a62f,1.262249,0,,S1,1.0,16.321539,bbce9fb7995ec64f7901e494808623c830aa35a5f0f6a5f2b596ea95655a148c,True,SUCCESS_H2S,23.044158,2.087449
2,H2S,0.088833,0,1.3477,,sw0016,sw0017,l_sw0016_sw0017,True,14297,17.428082,12288000,0.9678775344980173,159578,a07e3b60c28932d462548691965a9430cad41fe3cf2874730c587a113ad3ad51,1.07712,0,,S1,1.0,17.339249,718652909fc2840e71325a385e46f5e0954f3ecfd76fca13ecd95c2d0583908a,True,SUCCESS_H2S,24.106165,2.11636
2,H2S,0.08954999999999999,0,1.337149,,sw0017,sw0018,l_sw0017_sw0018,True,14254,17.147369,12288000,0.95148387466678,159291,d756883f55f9d886cbda1727a6f7e495b505f01492d404f6e7db23edea2edf48,1.059987,0,,S1,1.0,17.057819000000002,9a7d05a3ba38d93f37c343a01da9fc948c5827bfa148de8e72e31fbcd22b4cec,True,SUCCESS_H2S,23.697861,2.050732
2,H2S,0.1034,0,1.322004,,sw0019,sw0020,l_sw0019_sw0020,True,14280,16.113772,12288000,0.9067230370701865,159281,cbc899054b48aa8a0feae60afb37eb3c461885bc6ddeaec6f085581926138659,1.086613,0,,S1,1.0,16.010372,f81daa4128d546ebb0829e8b17aa8a170cbf6be481392305af5dedd9e17bfbeb,True,SUCCESS_H2S,22.583038,2.127039
2,H2S,0.080246,0,1.488349,,sw0020,sw0021,l_sw0020_sw0021,True,14241,16.866381,12288000,0.9402362799902064,159387,cdf99070fa4e8d2c92a2db0ced879f90c4bb46fa38f9288ba1ced5f400fb5be8,1.060271,0,,S1,1.0,16.786135,e8f7e3d25089012f5f8c20cc2102a8346a3ef17c6261616e35ff2d5bd3ce6274,True,SUCCESS_H2S,23.417726,2.026024
2,H2S,0.079227,0,1.212263,,sw0023,sw0024,l_sw0023_sw0024,True,14229,16.605248,12288000,0.9161440193198372,159289,5a44eb634ca58b99cf57541cf319576cb4de0a32a93dd7bf56d3765d43386fd1,1.064297,1,,S1,1.0,16.526021,ff76b128bf4e36eac6786edec931bb3b17b6d8750eada2aee9e76223dbccf019,True,SUCCESS_H2S,22.817679,1.974595
2,H2S,0.09220500000000001,0,1.224239,,sw0027,sw0028,l_sw0027_sw0028,True,14246,16.840938,12288000,0.9300801799904234,159277,bd716624a88e60352254ec051f2251fa0d000e4794ff83ea02836fe495779767,1.078329,1,,S1,1.0,16.748733,65164bb344464a19dc40f962ee39310e305992697feda3ea97eff4dc63732347,True,SUCCESS_H2S,23.164776,2.017884
3,H2S,0.12469400000000001,0,1.283797,,sw0004,sw0005,l_sw0004_sw0005,True,14324,17.061505,12288000,0.9479709762391025,159276,f2f630abc891cb647c2a927ed11b20acdaea60924aefb1cf644f928dde31e4a6,1.168824,1,,S1,1.0,16.936811,63131a3127377a03e1b429cc282ae270026914ad00a39f4e3e21d9700e89b8b7,True,SUCCESS_H2S,23.610368,2.107688
3,H2S,0.122459,0,1.335627,,sw0007,sw0008,l_sw0007_sw0008,True,14359,17.809178,12288000,0.9827156789064769,159238,49de1a471a426035921d174c5cbd86570fed0be7d7d64520793078ca8f3f3114,1.146804,1,,S1,1.0,17.686719,ca9b642c319338656956989a313153858ce12dbc12f0831904a0930fe6387dde,True,SUCCESS_H2S,24.475727,2.10847
3,H2S,0.12066900000000001,0,1.379393,,sw0010,sw0011,l_sw0010_sw0011,True,14325,16.363127,12124160,0.9197918639902476,159176,e15f9ba9ff9bf6de53e7d6291a418b81d1ec42cb360353cfaaf4391472e5c3c6,1.067669,1,,S1,1.0,16.242458,e6f6119baf01a597d44c5b29bd0d54f7ce1113a53006dc7eac7621387db5bb8a,True,SUCCESS_H2S,22.908533,2.004531
3,H2S,0.11524200000000001,0,1.239242,,sw0013,sw0014,l_sw0013_sw0014,True,14336,16.444879,12124160,0.9231996480878226,159254,b39c95d54ccc8e4b04b0c51a373ac415f7c781a0d0cf9f6c33b9c1c9cfe98e33,1.202289,1,,S1,1.0,16.329637,0d71d456aec590b676e4ddb0577400f1aad6b3fe378e8f6b553ffbecbe726600,True,SUCCESS_H2S,22.993408,2.072982
3,H2S,0.10731,0,1.29274,,sw0014,sw0015,l_sw0014_sw0015,True,14246,17.452319,12124160,0.9640667586008858,159286,564ad4a763c30df4a2895f5ca87ced170e7f7775954e76375a00b9ee06270b5a,1.127469,1,,S1,1.0,17.345009,a165acb5c816baaeec9a63b9722171765b65c36e9637c5f08fb7bde3cea3e3c8,True,SUCCESS_H2S,24.011253,2.103111
3,H2S,0.129034,0,1.268124,,sw0028,sw0029,l_sw0028_sw0029,True,14389,16.486177,12288000,0.9170188612367982,159268,a4dacdd242c84b51012472978bcdb38ecce4128a178e354a9478184557e5de2e,1.061817,1,,S1,1.0,16.357143,3f7a0bbd50e21db14de6ed71c8c929b2c96d95659869f561eb789ac5d84a5dce,True,SUCCESS_H2S,22.839468,2.025819
5,H2S,0.16236,0,1.27935,,sw0001,sw0002,l_sw0001_sw0002,True,14253,16.124227,12288000,0.8993279347876799,159432,4f47d9ba39017af49f3bf3992d48b2dc12046da7cd37fc4e3ce0372db53d18a3,1.050986,1,,S1,1.0,15.961867000000002,3507f1ec79597aa8d420e9f3ab651747dc401145d24eb44f5d4b84c595113fd2,True,SUCCESS_H2S,22.398854,1.989904
5,H2S,0.17056300000000002,0,1.370172,,sw0022,sw0023,l_sw0022_sw0023,True,14336,16.985662,12288000,0.9464002437303398,159619,27368ce9085cb9e59d85f370dc1cc8315015c34ea6d3a57a4cb84d0c9c4d5bf5,1.097629,1,,S1,1.0,16.815099,d8a555314127e736b36a23625e1c3c28bf09cd7eb57b16f002f2fb5bf54296d3,True,SUCCESS_H2S,23.571247,2.033777
