case_id,passed,reference_status,requirement,structural_reference_status
PFQ00,True,SUCCESS_H2S,PFQ00_DIAMOND_AFFECTED_REROUTE,STRUCTURAL_NO_ROUTE
PFQ01,True,SUCCESS_H2S,PFQ01_UNAFFECTED_ROUTE_LOCK,STRUCTURAL_NO_ROUTE
PFQ02,True,SUCCESS_H2S,PFQ02_AFFECTED_UNAFFECTED_JOINT_SCHEDULE,STRUCTURAL_NO_ROUTE
PFQ03,True,SUCCESS_H2S,PFQ03_PHYSICAL_LINK_BIDIRECTIONAL_DELETE,STRUCTURAL_NO_ROUTE
PFQ04,True,SUCCESS_H2S,PFQ04_FAILED_LINK_ABSENT,STRUCTURAL_NO_ROUTE
PFQ05,True,SUCCESS_H2S,PFQ05_ALTERNATE_PATH_SELECTED,STRUCTURAL_NO_ROUTE
PFQ06,True,SUCCESS_H2S,PFQ06_STRUCTURAL_DISCONNECT,STRUCTURAL_NO_ROUTE
PFQ07,True,SUCCESS_H2S,PFQ07_HEURISTIC_NOT_INFEASIBLE,STRUCTURAL_NO_ROUTE
PFQ08,True,SUCCESS_H2S,PFQ08_RELEASE_UNDER_FAULT,STRUCTURAL_NO_ROUTE
PFQ09,True,SUCCESS_H2S,PFQ09_DEADLINE_LT_PERIOD_UNDER_FAULT,STRUCTURAL_NO_ROUTE
PFQ10,True,SUCCESS_H2S,PFQ10_POSITIVE_WAIT_PERMITTED,STRUCTURAL_NO_ROUTE
PFQ11,True,SUCCESS_H2S,PFQ11_STREAM_AWARE_ROUTE_DIVERGENCE,STRUCTURAL_NO_ROUTE
PFQ12,True,SUCCESS_H2S,PFQ12_MULTIPLE_AFFECTED_FLOWS,STRUCTURAL_NO_ROUTE
PFQ13,True,SUCCESS_H2S,PFQ13_ONLY_ONE_TT_AFFECTED,STRUCTURAL_NO_ROUTE
PFQ14,True,SUCCESS_H2S,PFQ14_UNAFFECTED_SCHEDULE_FREE_ROUTE_LOCKED,STRUCTURAL_NO_ROUTE
PFQ15,True,SUCCESS_H2S,PFQ15_STATIC_CHECKER_REJECTS_FAILED_LINK,STRUCTURAL_NO_ROUTE
