P0_profile_bytes,actual_gzip_bytes,actual_profile_bytes,estimated_complete_profile_store_bytes,estimated_full_gzip_bytes,estimated_full_profile_bytes,max_peak_rss_bytes,mean_successful_profile_bytes,median_peak_rss_bytes,scenario_id
159299,724262,8040646,8199945,724262,8040646,12288000,160812.92,12288000.0,S1
595103,4887057,58267623,58862726,4887057,58267623,12288000,594567.581632653,12288000.0,S2
1853282,8336133,97593137,99446419,8336133,97593137,19202048,1951862.74,19185664.0,S3
3625700,10152318,116284102,751747768,65315724,748122068,30736384,3633878.1875,30642176.0,S4
6455360,8650601,96832626,696387820,61635532,689932460,50630656,6455508.4,49655808.0,S5
14391622,13200384,143920995,1867374432,169954944,1852982810,107241472,14392099.5,101208064.0,S6
29866255,23447308,238926690,4002022476,389811495,3972156221,218451968,29865836.25,209281024.0,S7
491720,2201390,26402626,26894346,2201390,26402626,12288000,528052.52,12288000.0,F150_TT100
1063378,4823314,56642572,57705950,4823314,56642572,13033472,1132851.44,13012992.0,F150_TT250
1853282,8336133,97593137,99446419,8336133,97593137,19197952,1951862.74,19183616.0,F150_TT500
2476827,8247780,97834252,327625305,27409742,325148478,23683072,2508570.564102564,22362112.0,F150_TT750
2857732,7299467,86000150,357608350,30110301,354750618,26570752,2866671.6666666665,25690112.0,F150_TT1000
