CELF_fallback_success_rate,CELF_trigger_rate,H2S_primary_success_rate,P0_profile_bytes,P0_status,P0_time_ms,PF_serial_work_ms,SUCCESS_CELF_count,SUCCESS_H2S_count,actual_gzip_bytes,actual_profile_bytes,affected_flow_max,affected_flow_median,affected_flow_min,attempted_faults,candidate_fault_count,candidate_faults,candidate_route_failure,complete_offline_ms,coverage_fraction,end_systems,errors,estimated_complete_profile_store_bytes,estimated_full_gzip_bytes,estimated_full_profile_bytes,estimated_serial_work_ms,heuristic_not_found,lpt_16_workers_ms,lpt_1_workers_ms,lpt_2_workers_ms,lpt_32_workers_ms,lpt_4_workers_ms,lpt_8_workers_ms,max_PF_to_P0_ratio,max_peak_rss_bytes,max_pf_ms,mean_pf_ms,mean_successful_profile_bytes,median_PF_to_P0_ratio,median_peak_rss_bytes,median_pf_ms,memory_limits,output_invalid,overall_success_rate,p0_total_backend_ms,p75_pf_ms,p90_pf_ms,p95_PF_to_P0_ratio,p95_pf_ms,p99_pf_ms,pearson_affected_runtime,profile_coverage,scenario,scenario_id,selection_method,spearman_affected_runtime,structural_no_route,success_coverage_observed,successful_valid_profiles,switches,timeouts,total_nodes,tt_flows
0,0.0,1.0,159299,SUCCESS_H2S,24.906214,1206.342143,0,50,724262,8040646,21,15.0,1,50,50,50,0,1231.2483570000002,1.0,20,0,8199945,724262,8040646,1206.342143,0,95.0242644,1206.3421430000003,603.1710715,47.7409325,312.85853679999997,167.7625213,1.405302026233293,12288000,35.000753,24.12684286,160812.92,0.962210775993493,12288000.0,23.965027499999998,0,0,1.0,24.906214,24.4659725,24.8568964,1.0071608896478608,25.08456465,31.109797259999986,0.38574069866521987,1.0,S1,S1,FULL,0.5892317030029749,0,1.0,50,30,0,50,100
0,0.0,1.0,595103,SUCCESS_H2S,57.701229,4806.808483,0,98,4887057,58267623,49,39.0,1,98,98,98,0,4864.509712,1.0,40,0,58862726,4887057,58267623,4806.808483,0,340.2058429578948,4806.808483,2403.5603791315793,192.73311544473685,1224.6651473815787,635.5500281842105,1.0748524437841698,12288000,62.020307,49.049066153061226,594567.581632653,0.8473202797812158,12288000.0,48.8914215,0,0,1.0,57.701229,49.6445715,50.6981273,1.0200581940810998,58.858611449999984,61.586519120000006,0.4093545291397422,1.0,S2,S2,FULL,0.6431317894155754,0,1.0,98,60,0,100,200
0,0.0,1.0,1853282,SUCCESS_H2S,235.186297,7855.715518,0,50,8336133,97593137,195,195.0,195,50,50,50,0,8090.901815,1.0,50,0,99446419,8336133,97593137,7855.715518,0,626.0233479,7855.7155180000045,3927.8577589999986,313.3404972,2041.4363795000002,1098.1969769999998,0.7469915222144087,19202048,175.68217,157.11431036,1951862.74,0.6544120871974101,19185664.0,153.90875549999998,0,0,1.0,235.186297,161.23547425,167.3970978,0.715864843095004,168.3616016,173.31360653,,1.0,S3,S3,FULL,,0,1.0,50,100,0,150,500
0.0,0.2,0.8,3625700,SUCCESS_H2S,502.780752,15301.996442,0,32,10152318,116284102,125,109,1,40,257,257,0,98738.46422087502,0.1556420233463035,80,0,751747768,65315724,748122068,98235.68346887501,8,6373.088064375,98235.68346887502,49191.20580537506,3284.9676471250004,24694.150933749977,12480.02607675,1.244050014866122,30736384,625.484402,382.54991105,3633878.1875,0.6606080755454219,30642176.0,332.141025,0,0,0.8,502.780752,346.49504175,606.1092647,1.2237005837089006,615.2530997,622.43055653,0.4669801301236162,0.8,S4,S4,STRATIFIED_5Q_MAX8,0.796581453787699,0,0.8,32,170,0,250,500
0.0,0.625,0.375,6455360,SUCCESS_H2S,1232.303042,34086.275159,0,15,8650601,96832626,224,197.0,1,40,284,284,0,243069.270079125,0.14084507042253522,80,0,696387820,61635532,689932460,241836.967037125,25,15393.314886750002,241836.9670371242,120949.18494749989,7898.1372409999985,60676.12419725002,30447.56998612501,0.8606753443362839,50630656,1060.612845,852.156878975,6455508.4,0.8155107913788628,49655808.0,1004.9564290000001,0,0,0.375,1232.303042,1032.12754875,1049.4258745,0.8528662088217096,1050.98962355,1059.83355168,0.9396920288095418,0.375,S5,S5,STRATIFIED_5Q_MAX8,0.643498380482032,0,0.375,15,170,0,250,1000
0.0,0.75,0.25,14391622,SUCCESS_H2S,3480.361639,116886.685438,0,10,13200384,143920995,261,234,1,40,515,515,0,1508396.4366532501,0.07766990291262135,160,0,1867374432,169954944,1852982810,1504916.0750142501,30,95502.76234187504,1504916.0750142522,753214.3620892484,48402.79762774999,376614.2699986249,189217.53744212483,0.9934773542652531,107241472,3457.660473,2922.16713595,14392099.5,0.9402439711524473,101208064.0,3272.3890485,0,0,0.25,3480.361639,3302.93186,3336.3545583,0.9643973573431287,3356.45156725,3425.96189154,0.8196033658667572,0.25,S6,S6,STRATIFIED_5Q_MAX8,0.5604548509471415,0,0.25,10,340,0,500,1000
0.0,0.8,0.2,29866255,SUCCESS_H2S,11358.807006,243956.732586,0,8,23447308,238926690,528,467,1,40,663,663,0,4053771.1704900004,0.06033182503770739,160,0,4002022476,389811495,3972156221,4042412.3634840003,32,255456.3869828753,4042412.363483984,2023240.8638327364,127736.96028524998,1012005.3628286242,506063.7874429999,0.6259604756242656,218451968,7110.164236,6098.91831465,29865836.25,0.5799289303903505,209281024.0,6587.3007975,0,0,0.2,11358.807006,6794.90819025,6857.4348755,0.6051940778084209,6874.282731,7035.9771977499995,0.41233791421397936,0.2,S7,S7,STRATIFIED_5Q_MAX8,0.0748944240134217,0,0.2,8,340,0,500,2000
0,0.0,1.0,491720,SUCCESS_H2S,53.912489,2743.816407,0,50,2201390,26402626,47,47.0,47,50,50,50,0,2797.7288959999996,1.0,50,0,26894346,2201390,26402626,2743.816407,0,218.30854699999998,2743.816406999997,1371.9082035000004,109.470986,712.7715579000002,383.1872685,1.2704014092170741,12288000,68.490502,54.87632814,528052.52,1.0010154418951054,12288000.0,53.967234000000005,0,0,1.0,53.912489,54.32253675,55.7224442,1.1610852403790886,62.59699524999997,68.12312989,,1.0,F150_TT100,F150_TT100,FULL,,0,1.0,50,100,0,150,100
0,0.0,1.0,1063378,SUCCESS_H2S,111.169535,5016.443293,0,50,4823314,56642572,110,110.0,110,50,50,50,0,5127.612828,1.0,50,0,57705950,4823314,56642572,5016.443293,0,398.3928086,5016.443293000003,2508.221646499999,200.1644312,1302.5675072,699.9009791000001,1.014420362557062,13033472,112.77264,100.32886586,1132851.44,0.8853633641626728,13012992.0,98.4254335,0,0,1.0,111.169535,99.8575635,111.42400450000001,1.0057460386966628,111.80831945,112.41795448,,1.0,F150_TT250,F150_TT250,FULL,,0,1.0,50,100,0,150,250
0,0.0,1.0,1853282,SUCCESS_H2S,233.490578,8073.660714,0,50,8336133,97593137,195,195.0,195,50,50,50,0,8307.151292,1.0,50,0,99446419,8336133,97593137,8073.660714,0,643.7024851,8073.660714000003,4036.8303569999994,322.63412289999997,2098.1860156,1128.5782761,0.7456767398982583,19197952,174.108493,161.47321428,1951862.74,0.678345275671038,19183616.0,158.3872305,0,0,1.0,233.490578,162.24072075,171.1472915,0.7394509978899448,172.6548409,173.78275619000001,,1.0,F150_TT500,F150_TT500,FULL,,0,1.0,50,100,0,150,500
0.0,0.025,0.975,2476827,SUCCESS_H2S,360.11738,7838.705586,0,39,8247780,97834252,248,11,1,40,133,133,0,26423.081968,0.3007518796992481,50,0,327625305,27409742,325148478,26062.964588,1,1748.3194784999998,26062.964588,13113.711092750003,949.955427375,6645.3692011250005,3330.040090874999,1.0029114645896844,23683072,361.165849,195.96763965,2508570.564102564,0.5246624947676782,22362112.0,188.94008300000002,0,0,0.975,360.11738,205.19389425,214.2045653,0.6281016763200932,226.19033005,308.80033761999994,0.6179082913477375,0.975,F150_TT750,F150_TT750,STRATIFIED_5Q_MAX8,0.7194896311779784,0,0.975,39,100,0,150,750
