HNF_count_a,HNF_count_b,exact_equal,intersection_count,jaccard,policy_tag,scale,topology_a,topology_b,union_count
4,4,True,4,1.0,LOW_PERIOD,M,RING,REDSTAR,4
4,4,True,4,1.0,LOW_PERIOD,M,RING,ROR,4
4,4,True,4,1.0,LOW_PERIOD,M,REDSTAR,ROR,4
4,4,True,4,1.0,LOWEST_TRAFFIC,M,RING,REDSTAR,4
4,4,True,4,1.0,LOWEST_TRAFFIC,M,RING,ROR,4
4,4,True,4,1.0,LOWEST_TRAFFIC,M,REDSTAR,ROR,4
4,4,True,4,1.0,LOWEST_ID,M,RING,REDSTAR,4
4,4,True,4,1.0,LOWEST_ID,M,RING,ROR,4
4,4,True,4,1.0,LOWEST_ID,M,REDSTAR,ROR,4
4,4,True,4,1.0,SOURCE_NODE,M,RING,REDSTAR,4
4,4,True,4,1.0,SOURCE_NODE,M,RING,ROR,4
4,4,True,4,1.0,SOURCE_NODE,M,REDSTAR,ROR,4
14,14,True,14,1.0,LOW_PERIOD,L,RING,REDSTAR,14
14,14,True,14,1.0,LOW_PERIOD,L,RING,ROR,14
14,14,True,14,1.0,LOW_PERIOD,L,REDSTAR,ROR,14
14,14,True,14,1.0,LOWEST_TRAFFIC,L,RING,REDSTAR,14
14,14,True,14,1.0,LOWEST_TRAFFIC,L,RING,ROR,14
14,14,True,14,1.0,LOWEST_TRAFFIC,L,REDSTAR,ROR,14
14,14,True,14,1.0,LOWEST_ID,L,RING,REDSTAR,14
14,14,True,14,1.0,LOWEST_ID,L,RING,ROR,14
14,14,True,14,1.0,LOWEST_ID,L,REDSTAR,ROR,14
14,14,True,14,1.0,SOURCE_NODE,L,RING,REDSTAR,14
14,14,True,14,1.0,SOURCE_NODE,L,RING,ROR,14
14,14,True,14,1.0,SOURCE_NODE,L,REDSTAR,ROR,14
