flow_id,flow_kind,policy_enum,policy_tag,scenario
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,M_RING
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,M_RING
COORD_CC_C05_PLC_C05_M02,MachineCoordination,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,M_RING
IC_PREV_CC_C03,InterCellPrevious,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,M_RING
CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,M_RING
CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,M_RING
COORD_CC_C03_PLC_C03_M01,MachineCoordination,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,M_RING
COORD_CC_C05_PLC_C05_M01,MachineCoordination,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,M_RING
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,M_RING
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,M_RING
COORD_CC_C05_PLC_C05_M02,MachineCoordination,LOWEST_ID_FIRST,LOWEST_ID,M_RING
IC_PREV_CC_C03,InterCellPrevious,LOWEST_ID_FIRST,LOWEST_ID,M_RING
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,SOURCE_NODE_SORTING,SOURCE_NODE,M_RING
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,SOURCE_NODE_SORTING,SOURCE_NODE,M_RING
COORD_CC_C03_PLC_C03_M01,MachineCoordination,SOURCE_NODE_SORTING,SOURCE_NODE,M_RING
COORD_CC_C05_PLC_C05_M02,MachineCoordination,SOURCE_NODE_SORTING,SOURCE_NODE,M_RING
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,M_REDSTAR
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,M_REDSTAR
COORD_CC_C05_PLC_C05_M02,MachineCoordination,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,M_REDSTAR
IC_PREV_CC_C03,InterCellPrevious,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,M_REDSTAR
CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,M_REDSTAR
CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,M_REDSTAR
COORD_CC_C03_PLC_C03_M01,MachineCoordination,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,M_REDSTAR
COORD_CC_C05_PLC_C05_M01,MachineCoordination,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,M_REDSTAR
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,M_REDSTAR
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,M_REDSTAR
COORD_CC_C05_PLC_C05_M02,MachineCoordination,LOWEST_ID_FIRST,LOWEST_ID,M_REDSTAR
IC_PREV_CC_C03,InterCellPrevious,LOWEST_ID_FIRST,LOWEST_ID,M_REDSTAR
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,SOURCE_NODE_SORTING,SOURCE_NODE,M_REDSTAR
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,SOURCE_NODE_SORTING,SOURCE_NODE,M_REDSTAR
COORD_CC_C03_PLC_C03_M01,MachineCoordination,SOURCE_NODE_SORTING,SOURCE_NODE,M_REDSTAR
COORD_CC_C05_PLC_C05_M02,MachineCoordination,SOURCE_NODE_SORTING,SOURCE_NODE,M_REDSTAR
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,M_ROR
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,M_ROR
COORD_CC_C05_PLC_C05_M02,MachineCoordination,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,M_ROR
IC_PREV_CC_C03,InterCellPrevious,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,M_ROR
CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,M_ROR
CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,M_ROR
COORD_CC_C03_PLC_C03_M01,MachineCoordination,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,M_ROR
COORD_CC_C05_PLC_C05_M01,MachineCoordination,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,M_ROR
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,M_ROR
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,M_ROR
COORD_CC_C05_PLC_C05_M02,MachineCoordination,LOWEST_ID_FIRST,LOWEST_ID,M_ROR
IC_PREV_CC_C03,InterCellPrevious,LOWEST_ID_FIRST,LOWEST_ID,M_ROR
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,SOURCE_NODE_SORTING,SOURCE_NODE,M_ROR
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,SOURCE_NODE_SORTING,SOURCE_NODE,M_ROR
COORD_CC_C03_PLC_C03_M01,MachineCoordination,SOURCE_NODE_SORTING,SOURCE_NODE,M_ROR
COORD_CC_C05_PLC_C05_M02,MachineCoordination,SOURCE_NODE_SORTING,SOURCE_NODE,M_ROR
