HNF_count_a,HNF_count_b,exact_equal,intersection_count,jaccard,policy_a,policy_b,scenario,union_count
4,4,False,0,0.0,LOW_PERIOD,LOWEST_TRAFFIC,M_RING,8
4,4,True,4,1.0,LOW_PERIOD,LOWEST_ID,M_RING,4
4,4,False,3,0.6,LOW_PERIOD,SOURCE_NODE,M_RING,5
4,4,False,0,0.0,LOWEST_TRAFFIC,LOWEST_ID,M_RING,8
4,4,False,1,0.14285714285714285,LOWEST_TRAFFIC,SOURCE_NODE,M_RING,7
4,4,False,3,0.6,LOWEST_ID,SOURCE_NODE,M_RING,5
4,4,False,0,0.0,LOW_PERIOD,LOWEST_TRAFFIC,M_REDSTAR,8
4,4,True,4,1.0,LOW_PERIOD,LOWEST_ID,M_REDSTAR,4
4,4,False,3,0.6,LOW_PERIOD,SOURCE_NODE,M_REDSTAR,5
4,4,False,0,0.0,LOWEST_TRAFFIC,LOWEST_ID,M_REDSTAR,8
4,4,False,1,0.14285714285714285,LOWEST_TRAFFIC,SOURCE_NODE,M_REDSTAR,7
4,4,False,3,0.6,LOWEST_ID,SOURCE_NODE,M_REDSTAR,5
4,4,False,0,0.0,LOW_PERIOD,LOWEST_TRAFFIC,M_ROR,8
4,4,True,4,1.0,LOW_PERIOD,LOWEST_ID,M_ROR,4
4,4,False,3,0.6,LOW_PERIOD,SOURCE_NODE,M_ROR,5
4,4,False,0,0.0,LOWEST_TRAFFIC,LOWEST_ID,M_ROR,8
4,4,False,1,0.14285714285714285,LOWEST_TRAFFIC,SOURCE_NODE,M_ROR,7
4,4,False,3,0.6,LOWEST_ID,SOURCE_NODE,M_ROR,5
14,14,False,0,0.0,LOW_PERIOD,LOWEST_TRAFFIC,L_RING,28
14,14,True,14,1.0,LOW_PERIOD,LOWEST_ID,L_RING,14
14,14,False,11,0.6470588235294118,LOW_PERIOD,SOURCE_NODE,L_RING,17
14,14,False,0,0.0,LOWEST_TRAFFIC,LOWEST_ID,L_RING,28
14,14,False,3,0.12,LOWEST_TRAFFIC,SOURCE_NODE,L_RING,25
14,14,False,11,0.6470588235294118,LOWEST_ID,SOURCE_NODE,L_RING,17
14,14,False,0,0.0,LOW_PERIOD,LOWEST_TRAFFIC,L_REDSTAR,28
14,14,True,14,1.0,LOW_PERIOD,LOWEST_ID,L_REDSTAR,14
14,14,False,11,0.6470588235294118,LOW_PERIOD,SOURCE_NODE,L_REDSTAR,17
14,14,False,0,0.0,LOWEST_TRAFFIC,LOWEST_ID,L_REDSTAR,28
14,14,False,3,0.12,LOWEST_TRAFFIC,SOURCE_NODE,L_REDSTAR,25
14,14,False,11,0.6470588235294118,LOWEST_ID,SOURCE_NODE,L_REDSTAR,17
14,14,False,0,0.0,LOW_PERIOD,LOWEST_TRAFFIC,L_ROR,28
14,14,True,14,1.0,LOW_PERIOD,LOWEST_ID,L_ROR,14
14,14,False,11,0.6470588235294118,LOW_PERIOD,SOURCE_NODE,L_ROR,17
14,14,False,0,0.0,LOWEST_TRAFFIC,LOWEST_ID,L_ROR,28
14,14,False,3,0.12,LOWEST_TRAFFIC,SOURCE_NODE,L_ROR,25
14,14,False,11,0.6470588235294118,LOWEST_ID,SOURCE_NODE,L_ROR,17
