CELF_HNF_count,CELF_HNF_set_sha,CELF_attempted,CELF_complete,CELF_ms,CELF_scheduled_count,CELF_status,H2S_HNF_count,H2S_HNF_set_sha,H2S_complete,H2S_instance_completion_sha,H2S_ms,H2S_order_sha,H2S_scheduled_count,H2S_scheduled_ratio,H2S_status,candidate_vector_sha,formal_backend_complete,input_scenario_sha,input_topology_sha,peak_RSS,policy_cli_value,policy_command_ok,policy_enum,policy_tag,repeat,scale,scenario,static_checker,topology,total_wall_ms,upstream_verifier
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,63.415791,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,60.201194,0edc5025d065b1a444085dd6c074866d4004a3ceac07c1580621adccdfb2c1a0,348,0.9886363636363636,HEURISTIC_NOT_FOUND,70eb5035e0d06393541df8fe4e13dffaf46c6a83bb81447b78cffddd0ba5545c,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,47c438b36a2f35777aa39d1bb082ccbc31cc8978f408fab0312a4857ccfa285c,19460096,4,True,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,1,M,M_RING,False,RING,315.993372,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,63.893162,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,62.221166,0edc5025d065b1a444085dd6c074866d4004a3ceac07c1580621adccdfb2c1a0,348,0.9886363636363636,HEURISTIC_NOT_FOUND,70eb5035e0d06393541df8fe4e13dffaf46c6a83bb81447b78cffddd0ba5545c,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,47c438b36a2f35777aa39d1bb082ccbc31cc8978f408fab0312a4857ccfa285c,19456000,4,True,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,2,M,M_RING,False,RING,323.492257,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,92.387621,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,93.320979,0edc5025d065b1a444085dd6c074866d4004a3ceac07c1580621adccdfb2c1a0,348,0.9886363636363636,HEURISTIC_NOT_FOUND,ffc63dff8f98f48b6c9b6293a04b4e3575714f320f6bf47b00cfc3194fa62386,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,fa91787ccaa443c2e67ffad84e9f8afe098b9d95243532ef6546ef498b356ddb,23072768,4,True,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,1,M,M_REDSTAR,False,REDSTAR,518.588065,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,95.133015,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,93.64725,0edc5025d065b1a444085dd6c074866d4004a3ceac07c1580621adccdfb2c1a0,348,0.9886363636363636,HEURISTIC_NOT_FOUND,ffc63dff8f98f48b6c9b6293a04b4e3575714f320f6bf47b00cfc3194fa62386,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,fa91787ccaa443c2e67ffad84e9f8afe098b9d95243532ef6546ef498b356ddb,23072768,4,True,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,2,M,M_REDSTAR,False,REDSTAR,517.677751,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,87.586824,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,87.77953,0edc5025d065b1a444085dd6c074866d4004a3ceac07c1580621adccdfb2c1a0,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4b9f93dac65bd84fc1fc0e5b623f953921a6446854ccf760a104133a48406996,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,cfcfe1f610758115caf2d4e35d72ce0bce4abdbe15c376ea59fdec2cfab917d3,19116032,4,True,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,1,M,M_ROR,False,ROR,397.630012,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,87.589081,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,88.166736,0edc5025d065b1a444085dd6c074866d4004a3ceac07c1580621adccdfb2c1a0,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4b9f93dac65bd84fc1fc0e5b623f953921a6446854ccf760a104133a48406996,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,cfcfe1f610758115caf2d4e35d72ce0bce4abdbe15c376ea59fdec2cfab917d3,19116032,4,True,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,2,M,M_ROR,False,ROR,399.795701,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,170.48077,914,HEURISTIC_NOT_FOUND,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,163.877805,e6df6471caa6a3172cca537d924c1b65f778bcf887a99f5eb88fcc60a6fedb22,914,0.9849137931034483,HEURISTIC_NOT_FOUND,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,False,f9a9daf9db00c099fbcd2a49d0ece8bc251c82bf1021ec549fdaf788b204252b,760aba30715010395d1daff945a92b7d9a8e1f84a5d3251d4a253cbe6d847664,44142592,4,True,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,1,L,L_RING,False,RING,1506.250555,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,165.680776,914,HEURISTIC_NOT_FOUND,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,163.643603,e6df6471caa6a3172cca537d924c1b65f778bcf887a99f5eb88fcc60a6fedb22,914,0.9849137931034483,HEURISTIC_NOT_FOUND,1254a6a9f415b320930f1e102d71a8fbc20613fad8e975346af143fb14833e18,False,f9a9daf9db00c099fbcd2a49d0ece8bc251c82bf1021ec549fdaf788b204252b,760aba30715010395d1daff945a92b7d9a8e1f84a5d3251d4a253cbe6d847664,43978752,4,True,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,2,L,L_RING,False,RING,1539.600264,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,466.208243,914,HEURISTIC_NOT_FOUND,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,464.544383,e6df6471caa6a3172cca537d924c1b65f778bcf887a99f5eb88fcc60a6fedb22,914,0.9849137931034483,HEURISTIC_NOT_FOUND,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,False,f9a9daf9db00c099fbcd2a49d0ece8bc251c82bf1021ec549fdaf788b204252b,f70bd685d7b0968b11bee2bc815fcadf48a3fa2a5413d0a50eae3033e2a79786,52719616,4,True,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,1,L,L_REDSTAR,False,REDSTAR,2809.081317,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,473.853018,914,HEURISTIC_NOT_FOUND,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,465.704658,e6df6471caa6a3172cca537d924c1b65f778bcf887a99f5eb88fcc60a6fedb22,914,0.9849137931034483,HEURISTIC_NOT_FOUND,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,False,f9a9daf9db00c099fbcd2a49d0ece8bc251c82bf1021ec549fdaf788b204252b,f70bd685d7b0968b11bee2bc815fcadf48a3fa2a5413d0a50eae3033e2a79786,52719616,4,True,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,2,L,L_REDSTAR,False,REDSTAR,2839.577571,True
