H2S_complete,HNF_count,HNF_sha,formal_backend_complete,max_RSS,median_H2S_ms,order_sha,policy_enum,policy_tag,repeat_consistent,scenario,scheduled_count,total_flows
False,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,19460096,61.21118,0edc5025d065b1a444085dd6c074866d4004a3ceac07c1580621adccdfb2c1a0,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,True,M_RING,348,352
False,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,23072768,93.4841145,0edc5025d065b1a444085dd6c074866d4004a3ceac07c1580621adccdfb2c1a0,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,True,M_REDSTAR,348,352
False,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,19116032,87.97313299999999,0edc5025d065b1a444085dd6c074866d4004a3ceac07c1580621adccdfb2c1a0,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,True,M_ROR,348,352
False,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,44142592,163.760704,e6df6471caa6a3172cca537d924c1b65f778bcf887a99f5eb88fcc60a6fedb22,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,True,L_RING,914,928
False,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,52719616,465.1245205,e6df6471caa6a3172cca537d924c1b65f778bcf887a99f5eb88fcc60a6fedb22,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,True,L_REDSTAR,914,928
False,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,42655744,363.247394,e6df6471caa6a3172cca537d924c1b65f778bcf887a99f5eb88fcc60a6fedb22,LOW_PERIOD_FLOWS_FIRST,LOW_PERIOD,True,L_ROR,914,928
False,4,37d42ec59bc26851fc0c89e4f9d561433cc14dd228601f67b3d1e4e52b51c906,False,19472384,65.748401,196945dd848b7874b75ee924e609c4e30e195f4743ee464a7d6d2ae7a624eecf,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,True,M_RING,348,352
False,4,37d42ec59bc26851fc0c89e4f9d561433cc14dd228601f67b3d1e4e52b51c906,False,23076864,98.668438,196945dd848b7874b75ee924e609c4e30e195f4743ee464a7d6d2ae7a624eecf,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,True,M_REDSTAR,348,352
False,4,37d42ec59bc26851fc0c89e4f9d561433cc14dd228601f67b3d1e4e52b51c906,False,19128320,90.758937,196945dd848b7874b75ee924e609c4e30e195f4743ee464a7d6d2ae7a624eecf,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,True,M_ROR,348,352
False,14,c8c082ef683b9b39c31ef4bf5c9f1e68878e7f12e3dd1b1de7854533179e064f,False,44167168,170.3786845,3d6fd9cdfaace55a95c7c6e409e8726d6b0a78c7b42543f4aa276dd19045c048,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,True,L_RING,914,928
False,14,c8c082ef683b9b39c31ef4bf5c9f1e68878e7f12e3dd1b1de7854533179e064f,False,52686848,463.8750405,3d6fd9cdfaace55a95c7c6e409e8726d6b0a78c7b42543f4aa276dd19045c048,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,True,L_REDSTAR,914,928
