HNF_set_exact,candidate_sha_exact,instance_completion_exact,order_sha_exact,policy_tag,repeatability_pass,scenario,scheduled_count_exact
True,True,True,True,LOWEST_ID,True,L_REDSTAR,True
True,True,True,True,LOWEST_TRAFFIC,True,L_REDSTAR,True
True,True,True,True,LOW_PERIOD,True,L_REDSTAR,True
True,True,True,True,SOURCE_NODE,True,L_REDSTAR,True
True,True,True,True,LOWEST_ID,True,L_RING,True
True,True,True,True,LOWEST_TRAFFIC,True,L_RING,True
True,True,True,True,LOW_PERIOD,True,L_RING,True
True,True,True,True,SOURCE_NODE,True,L_RING,True
True,True,True,True,LOWEST_ID,True,L_ROR,True
True,True,True,True,LOWEST_TRAFFIC,True,L_ROR,True
True,True,True,True,LOW_PERIOD,True,L_ROR,True
True,True,True,True,SOURCE_NODE,True,L_ROR,True
True,True,True,True,LOWEST_ID,True,M_REDSTAR,True
True,True,True,True,LOWEST_TRAFFIC,True,M_REDSTAR,True
True,True,True,True,LOW_PERIOD,True,M_REDSTAR,True
True,True,True,True,SOURCE_NODE,True,M_REDSTAR,True
True,True,True,True,LOWEST_ID,True,M_RING,True
True,True,True,True,LOWEST_TRAFFIC,True,M_RING,True
True,True,True,True,LOW_PERIOD,True,M_RING,True
True,True,True,True,SOURCE_NODE,True,M_RING,True
True,True,True,True,LOWEST_ID,True,M_ROR,True
True,True,True,True,LOWEST_TRAFFIC,True,M_ROR,True
True,True,True,True,LOW_PERIOD,True,M_ROR,True
True,True,True,True,SOURCE_NODE,True,M_ROR,True
