stream,src,dst,size,period,deadline,jitter
0,0,[9],244,1000000,600000,0
1,1,[7],284,1000000,600000,0
2,2,[5],324,1000000,620000,0
3,3,[8],364,1000000,640000,0
4,4,[0],404,1000000,650000,0
5,5,[4],244,1000000,600000,0
6,6,[1],284,1000000,620000,0
7,7,[2],324,1000000,620000,0
8,8,[3],364,1000000,640000,0
9,9,[6],404,1000000,650000,0
10,0,[6],264,1000000,600000,0
11,1,[9],304,1000000,630000,0
12,2,[8],344,1000000,630000,0
13,3,[5],384,1000000,640000,0
14,4,[7],424,1000000,650000,0
15,5,[2],264,1000000,600000,0
16,6,[0],304,1000000,620000,0
17,7,[4],344,1000000,630000,0
18,8,[1],384,1000000,640000,0
19,9,[3],424,1000000,650000,0
