link,q_num,rate,t_proc,t_prop
"(0, 20)",8,1,0,0
"(20, 0)",8,1,0,0
"(1, 22)",8,1,0,0
"(22, 1)",8,1,0,0
"(2, 24)",8,1,0,0
"(24, 2)",8,1,0,0
"(3, 26)",8,1,0,0
"(26, 3)",8,1,0,0
"(4, 28)",8,1,0,0
"(28, 4)",8,1,0,0
"(5, 30)",8,1,0,0
"(30, 5)",8,1,0,0
"(6, 32)",8,1,0,0
"(32, 6)",8,1,0,0
"(7, 34)",8,1,0,0
"(34, 7)",8,1,0,0
"(8, 36)",8,1,0,0
"(36, 8)",8,1,0,0
"(9, 38)",8,1,0,0
"(38, 9)",8,1,0,0
"(10, 40)",8,1,0,0
"(40, 10)",8,1,0,0
"(11, 42)",8,1,0,0
"(42, 11)",8,1,0,0
"(12, 44)",8,1,0,0
"(44, 12)",8,1,0,0
"(13, 46)",8,1,0,0
"(46, 13)",8,1,0,0
"(14, 48)",8,1,0,0
"(48, 14)",8,1,0,0
"(15, 50)",8,1,0,0
"(50, 15)",8,1,0,0
"(16, 52)",8,1,0,0
"(52, 16)",8,1,0,0
"(17, 54)",8,1,0,0
"(54, 17)",8,1,0,0
"(18, 56)",8,1,0,0
"(56, 18)",8,1,0,0
"(19, 58)",8,1,0,0
"(58, 19)",8,1,0,0
"(20, 21)",8,1,0,0
"(21, 20)",8,1,0,0
"(21, 22)",8,1,0,0
"(22, 21)",8,1,0,0
"(21, 29)",8,1,0,0
"(29, 21)",8,1,0,0
"(22, 23)",8,1,0,0
"(23, 22)",8,1,0,0
"(22, 30)",8,1,0,0
"(30, 22)",8,1,0,0
"(23, 24)",8,1,0,0
"(24, 23)",8,1,0,0
"(23, 31)",8,1,0,0
"(31, 23)",8,1,0,0
"(24, 25)",8,1,0,0
"(25, 24)",8,1,0,0
"(24, 32)",8,1,0,0
"(32, 24)",8,1,0,0
"(25, 26)",8,1,0,0
"(26, 25)",8,1,0,0
"(25, 33)",8,1,0,0
"(33, 25)",8,1,0,0
"(26, 27)",8,1,0,0
"(27, 26)",8,1,0,0
"(26, 34)",8,1,0,0
"(34, 26)",8,1,0,0
"(27, 35)",8,1,0,0
"(35, 27)",8,1,0,0
"(28, 29)",8,1,0,0
"(29, 28)",8,1,0,0
"(28, 36)",8,1,0,0
"(36, 28)",8,1,0,0
"(29, 30)",8,1,0,0
"(30, 29)",8,1,0,0
"(29, 37)",8,1,0,0
"(37, 29)",8,1,0,0
"(30, 31)",8,1,0,0
"(31, 30)",8,1,0,0
"(30, 38)",8,1,0,0
"(38, 30)",8,1,0,0
"(31, 32)",8,1,0,0
"(32, 31)",8,1,0,0
"(31, 39)",8,1,0,0
"(39, 31)",8,1,0,0
"(32, 33)",8,1,0,0
"(33, 32)",8,1,0,0
"(32, 40)",8,1,0,0
"(40, 32)",8,1,0,0
"(33, 34)",8,1,0,0
"(34, 33)",8,1,0,0
"(33, 41)",8,1,0,0
"(41, 33)",8,1,0,0
"(34, 35)",8,1,0,0
"(35, 34)",8,1,0,0
"(34, 42)",8,1,0,0
"(42, 34)",8,1,0,0
"(35, 43)",8,1,0,0
"(43, 35)",8,1,0,0
"(36, 37)",8,1,0,0
"(37, 36)",8,1,0,0
"(36, 44)",8,1,0,0
"(44, 36)",8,1,0,0
"(37, 38)",8,1,0,0
"(38, 37)",8,1,0,0
"(37, 45)",8,1,0,0
"(45, 37)",8,1,0,0
"(38, 39)",8,1,0,0
"(39, 38)",8,1,0,0
"(38, 46)",8,1,0,0
"(46, 38)",8,1,0,0
"(39, 40)",8,1,0,0
"(40, 39)",8,1,0,0
"(39, 47)",8,1,0,0
"(47, 39)",8,1,0,0
"(40, 41)",8,1,0,0
"(41, 40)",8,1,0,0
"(40, 48)",8,1,0,0
"(48, 40)",8,1,0,0
"(41, 42)",8,1,0,0
"(42, 41)",8,1,0,0
"(41, 49)",8,1,0,0
"(49, 41)",8,1,0,0
"(42, 43)",8,1,0,0
"(43, 42)",8,1,0,0
"(42, 50)",8,1,0,0
"(50, 42)",8,1,0,0
"(43, 51)",8,1,0,0
"(51, 43)",8,1,0,0
"(44, 45)",8,1,0,0
"(45, 44)",8,1,0,0
"(44, 52)",8,1,0,0
"(52, 44)",8,1,0,0
"(45, 46)",8,1,0,0
"(46, 45)",8,1,0,0
"(45, 53)",8,1,0,0
"(53, 45)",8,1,0,0
"(46, 47)",8,1,0,0
"(47, 46)",8,1,0,0
"(46, 54)",8,1,0,0
"(54, 46)",8,1,0,0
"(47, 48)",8,1,0,0
"(48, 47)",8,1,0,0
"(47, 55)",8,1,0,0
"(55, 47)",8,1,0,0
"(48, 49)",8,1,0,0
"(49, 48)",8,1,0,0
"(48, 56)",8,1,0,0
"(56, 48)",8,1,0,0
"(49, 50)",8,1,0,0
"(50, 49)",8,1,0,0
"(49, 57)",8,1,0,0
"(57, 49)",8,1,0,0
"(50, 51)",8,1,0,0
"(51, 50)",8,1,0,0
"(50, 58)",8,1,0,0
"(58, 50)",8,1,0,0
"(51, 59)",8,1,0,0
"(59, 51)",8,1,0,0
"(52, 53)",8,1,0,0
"(53, 52)",8,1,0,0
"(53, 54)",8,1,0,0
"(54, 53)",8,1,0,0
"(54, 55)",8,1,0,0
"(55, 54)",8,1,0,0
"(55, 56)",8,1,0,0
"(56, 55)",8,1,0,0
"(56, 57)",8,1,0,0
"(57, 56)",8,1,0,0
"(57, 58)",8,1,0,0
"(58, 57)",8,1,0,0
"(58, 59)",8,1,0,0
"(59, 58)",8,1,0,0
