case_id,legacy_destination_mac_status,legacy_stream_aware_status,jrs_stream_aware_status,legacy_bfs_wall_ms,legacy_z3_wall_ms,jrs_wall_ms,legacy_profile_valid,jrs_profile_valid
Q00,LEGACY_FORWARDING_CONFLICT,LEGACY_FORWARDING_CONFLICT,OPTIMAL,,,0.985469,False,True
Q01,SAT,SAT,OPTIMAL,,,0.314145,True,True
Q02,SAT,SAT,OPTIMAL,,,5.392711,True,True
Q03,SAT,SAT,GUROBI_LICENSE_CAPACITY_LIMIT,,,,True,False
Q04,SAT,SAT,GUROBI_LICENSE_CAPACITY_LIMIT,,,,True,False
Q05,SAT,SAT,GUROBI_LICENSE_CAPACITY_LIMIT,,,,True,False
Q06,FORWARDING_CONFLICT,SAT_INFERRED_FROM_COMPLETED_Z3_BEFORE_LEGACY_FORWARDING_REJECTION,GUROBI_LICENSE_CAPACITY_LIMIT,,,,False,False
Q07,FORWARDING_CONFLICT,SAT_INFERRED_FROM_COMPLETED_Z3_BEFORE_LEGACY_FORWARDING_REJECTION,GUROBI_LICENSE_CAPACITY_LIMIT,,,,False,False
Q08,FORWARDING_CONFLICT,SAT_INFERRED_FROM_COMPLETED_Z3_BEFORE_LEGACY_FORWARDING_REJECTION,GUROBI_LICENSE_CAPACITY_LIMIT,,,,False,False
Q09,SHARED_SAT,SHARED_SAT,GUROBI_LICENSE_CAPACITY_LIMIT,,,,True,False
