case_id,exact_match,flow_id,frame_overhead_bytes,link_bitrate_bps,on_wire_bytes,payload_bytes,project_serialization_ns,release_offset_ns,schedule_deadline_ns,tsnkit_equivalent_size_bytes,tsnkit_serialization_ns
Q00,True,TT1,64,1000000000,264,200,2112,100000,700000,264,2112
Q00,True,TT2,64,1000000000,264,200,2112,300000,700000,264,2112
Q01,True,TT,64,100000000,264,200,21120,0,680000,2640,21120
Q02,True,TT1,64,1000000000,264,200,2112,0,550000,264,2112
Q02,True,TT10,64,1000000000,364,300,2912,180000,600000,364,2912
Q02,True,TT2,64,1000000000,364,300,2912,20000,550000,364,2912
Q02,True,TT3,64,1000000000,464,400,3712,40000,550000,464,3712
Q02,True,TT4,64,1000000000,564,500,4512,60000,600000,564,4512
Q02,True,TT5,64,1000000000,264,200,2112,80000,550000,264,2112
Q02,True,TT6,64,1000000000,364,300,2912,100000,550000,364,2912
Q02,True,TT7,64,1000000000,464,400,3712,120000,600000,464,3712
Q02,True,TT8,64,1000000000,564,500,4512,140000,600000,564,4512
Q02,True,TT9,64,1000000000,264,200,2112,160000,550000,264,2112
Q03,True,TT01,64,1000000000,244,180,1952,0,600000,244,1952
Q03,True,TT02,64,1000000000,284,220,2272,20000,600000,284,2272
Q03,True,TT03,64,1000000000,324,260,2592,40000,620000,324,2592
Q03,True,TT04,64,1000000000,364,300,2912,60000,640000,364,2912
Q03,True,TT05,64,1000000000,404,340,3232,80000,650000,404,3232
Q03,True,TT06,64,1000000000,244,180,1952,100000,600000,244,1952
Q03,True,TT07,64,1000000000,284,220,2272,120000,620000,284,2272
Q03,True,TT08,64,1000000000,324,260,2592,140000,620000,324,2592
Q03,True,TT09,64,1000000000,364,300,2912,160000,640000,364,2912
Q03,True,TT10,64,1000000000,404,340,3232,180000,650000,404,3232
Q03,True,TT11,64,1000000000,264,200,2112,200000,600000,264,2112
Q03,True,TT12,64,1000000000,304,240,2432,220000,630000,304,2432
Q03,True,TT13,64,1000000000,344,280,2752,240000,630000,344,2752
Q03,True,TT14,64,1000000000,384,320,3072,260000,640000,384,3072
Q03,True,TT15,64,1000000000,424,360,3392,280000,650000,424,3392
Q03,True,TT16,64,1000000000,264,200,2112,300000,600000,264,2112
Q03,True,TT17,64,1000000000,304,240,2432,320000,620000,304,2432
Q03,True,TT18,64,1000000000,344,280,2752,340000,630000,344,2752
Q03,True,TT19,64,1000000000,384,320,3072,360000,640000,384,3072
Q03,True,TT20,64,1000000000,424,360,3392,380000,650000,424,3392
Q04,True,TT01,64,1000000000,244,180,1952,0,600000,244,1952
Q04,True,TT02,64,1000000000,284,220,2272,10000,620000,284,2272
Q04,True,TT03,64,1000000000,324,260,2592,19000,640000,324,2592
Q04,True,TT04,64,1000000000,364,300,2912,29000,650000,364,2912
Q04,True,TT05,64,1000000000,404,340,3232,39000,630000,404,3232
Q04,True,TT06,64,1000000000,244,180,1952,49000,600000,244,1952
Q04,True,TT07,64,1000000000,284,220,2272,58000,620000,284,2272
Q04,True,TT08,64,1000000000,324,260,2592,68000,640000,324,2592
Q04,True,TT09,64,1000000000,364,300,2912,78000,650000,364,2912
Q04,True,TT10,64,1000000000,404,340,3232,88000,630000,404,3232
Q04,True,TT11,64,1000000000,244,180,1952,97000,600000,244,1952
Q04,True,TT12,64,1000000000,284,220,2272,107000,620000,284,2272
Q04,True,TT13,64,1000000000,324,260,2592,117000,640000,324,2592
Q04,True,TT14,64,1000000000,364,300,2912,127000,650000,364,2912
Q04,True,TT15,64,1000000000,404,340,3232,136000,630000,404,3232
Q04,True,TT16,64,1000000000,244,180,1952,146000,600000,244,1952
Q04,True,TT17,64,1000000000,284,220,2272,156000,620000,284,2272
Q04,True,TT18,64,1000000000,324,260,2592,166000,640000,324,2592
Q04,True,TT19,64,1000000000,364,300,2912,175000,650000,364,2912
Q04,True,TT20,64,1000000000,404,340,3232,185000,630000,404,3232
Q04,True,TT21,64,1000000000,244,180,1952,195000,600000,244,1952
Q04,True,TT22,64,1000000000,284,220,2272,205000,620000,284,2272
Q04,True,TT23,64,1000000000,324,260,2592,214000,640000,324,2592
Q04,True,TT24,64,1000000000,364,300,2912,224000,650000,364,2912
Q04,True,TT25,64,1000000000,404,340,3232,234000,630000,404,3232
Q04,True,TT26,64,1000000000,244,180,1952,244000,600000,244,1952
Q04,True,TT27,64,1000000000,284,220,2272,253000,620000,284,2272
Q04,True,TT28,64,1000000000,324,260,2592,263000,640000,324,2592
Q04,True,TT29,64,1000000000,364,300,2912,273000,650000,364,2912
Q04,True,TT30,64,1000000000,404,340,3232,283000,630000,404,3232
Q04,True,TT31,64,1000000000,244,180,1952,292000,600000,244,1952
Q04,True,TT32,64,1000000000,284,220,2272,302000,620000,284,2272
Q04,True,TT33,64,1000000000,324,260,2592,312000,640000,324,2592
Q04,True,TT34,64,1000000000,364,300,2912,322000,650000,364,2912
Q04,True,TT35,64,1000000000,404,340,3232,331000,630000,404,3232
Q04,True,TT36,64,1000000000,244,180,1952,341000,600000,244,1952
Q04,True,TT37,64,1000000000,284,220,2272,351000,620000,284,2272
Q04,True,TT38,64,1000000000,324,260,2592,361000,640000,324,2592
Q04,True,TT39,64,1000000000,364,300,2912,370000,650000,364,2912
Q04,True,TT40,64,1000000000,404,340,3232,380000,630000,404,3232
Q05,True,TT01,64,1000000000,244,180,1952,0,600000,244,1952
Q05,True,TT02,64,1000000000,284,220,2272,10000,620000,284,2272
Q05,True,TT03,64,1000000000,324,260,2592,19000,640000,324,2592
Q05,True,TT04,64,1000000000,364,300,2912,29000,650000,364,2912
