link,q_num,rate,t_proc,t_prop
"(0, 6)",8,1,0,0
"(6, 0)",8,1,0,0
"(1, 8)",8,1,0,0
"(8, 1)",8,1,0,0
"(2, 10)",8,1,0,0
"(10, 2)",8,1,0,0
"(3, 13)",8,1,0,0
"(13, 3)",8,1,0,0
"(4, 15)",8,1,0,0
"(15, 4)",8,1,0,0
"(5, 7)",8,1,0,0
"(7, 5)",8,1,0,0
"(6, 8)",8,1,0,0
"(8, 6)",8,1,0,0
"(6, 9)",8,1,0,0
"(9, 6)",8,1,0,0
"(8, 9)",8,1,0,0
"(9, 8)",8,1,0,0
"(9, 10)",8,1,0,0
"(10, 9)",8,1,0,0
"(9, 12)",8,1,0,0
"(12, 9)",8,1,0,0
"(10, 12)",8,1,0,0
"(12, 10)",8,1,0,0
"(10, 13)",8,1,0,0
"(13, 10)",8,1,0,0
"(11, 12)",8,1,0,0
"(12, 11)",8,1,0,0
"(11, 14)",8,1,0,0
"(14, 11)",8,1,0,0
"(12, 13)",8,1,0,0
"(13, 12)",8,1,0,0
"(12, 14)",8,1,0,0
"(14, 12)",8,1,0,0
"(13, 15)",8,1,0,0
"(15, 13)",8,1,0,0
"(14, 7)",8,1,0,0
"(7, 14)",8,1,0,0
"(14, 15)",8,1,0,0
"(15, 14)",8,1,0,0
"(15, 7)",8,1,0,0
"(7, 15)",8,1,0,0
