link,q_num,rate,t_proc,t_prop
"(0, 10)",8,1,0,0
"(10, 0)",8,1,0,0
"(1, 12)",8,1,0,0
"(12, 1)",8,1,0,0
"(2, 14)",8,1,0,0
"(14, 2)",8,1,0,0
"(3, 15)",8,1,0,0
"(15, 3)",8,1,0,0
"(4, 19)",8,1,0,0
"(19, 4)",8,1,0,0
"(5, 20)",8,1,0,0
"(20, 5)",8,1,0,0
"(6, 24)",8,1,0,0
"(24, 6)",8,1,0,0
"(7, 25)",8,1,0,0
"(25, 7)",8,1,0,0
"(8, 27)",8,1,0,0
"(27, 8)",8,1,0,0
"(9, 29)",8,1,0,0
"(29, 9)",8,1,0,0
"(10, 15)",8,1,0,0
"(15, 10)",8,1,0,0
"(11, 12)",8,1,0,0
"(12, 11)",8,1,0,0
"(11, 16)",8,1,0,0
"(16, 11)",8,1,0,0
"(11, 17)",8,1,0,0
"(17, 11)",8,1,0,0
"(12, 13)",8,1,0,0
"(13, 12)",8,1,0,0
"(12, 17)",8,1,0,0
"(17, 12)",8,1,0,0
"(13, 14)",8,1,0,0
"(14, 13)",8,1,0,0
"(13, 18)",8,1,0,0
"(18, 13)",8,1,0,0
"(13, 19)",8,1,0,0
"(19, 13)",8,1,0,0
"(14, 19)",8,1,0,0
"(19, 14)",8,1,0,0
"(15, 16)",8,1,0,0
"(16, 15)",8,1,0,0
"(15, 20)",8,1,0,0
"(20, 15)",8,1,0,0
"(16, 17)",8,1,0,0
"(17, 16)",8,1,0,0
"(16, 21)",8,1,0,0
"(21, 16)",8,1,0,0
"(17, 18)",8,1,0,0
"(18, 17)",8,1,0,0
"(17, 22)",8,1,0,0
"(22, 17)",8,1,0,0
"(18, 19)",8,1,0,0
"(19, 18)",8,1,0,0
"(18, 23)",8,1,0,0
"(23, 18)",8,1,0,0
"(19, 24)",8,1,0,0
"(24, 19)",8,1,0,0
"(20, 21)",8,1,0,0
"(21, 20)",8,1,0,0
"(20, 25)",8,1,0,0
"(25, 20)",8,1,0,0
"(20, 26)",8,1,0,0
"(26, 20)",8,1,0,0
"(21, 22)",8,1,0,0
"(22, 21)",8,1,0,0
"(21, 26)",8,1,0,0
"(26, 21)",8,1,0,0
"(22, 23)",8,1,0,0
"(23, 22)",8,1,0,0
"(22, 27)",8,1,0,0
"(27, 22)",8,1,0,0
"(22, 28)",8,1,0,0
"(28, 22)",8,1,0,0
"(23, 24)",8,1,0,0
"(24, 23)",8,1,0,0
"(23, 28)",8,1,0,0
"(28, 23)",8,1,0,0
"(24, 29)",8,1,0,0
"(29, 24)",8,1,0,0
"(25, 26)",8,1,0,0
"(26, 25)",8,1,0,0
"(26, 27)",8,1,0,0
"(27, 26)",8,1,0,0
"(27, 28)",8,1,0,0
"(28, 27)",8,1,0,0
"(28, 29)",8,1,0,0
"(29, 28)",8,1,0,0
