case_id,input_conversion,model_build,profile_serialize,route_space_build,solution_extract,solver_wall,total_backend
Q00,0.533412,2.783711,0.075278,0.401689,0.224691,1.608378,5.583418
Q01,0.335285,1.758692,0.07221,0.143578,0.168571,0.390237,2.822082
Q02,0.538543,45.402631,0.270864,0.311591,0.713108,35.183246,82.250081
Q03,0.727468,252.079864,0.524246,0.595286,1.514216,200.309485,455.73487
Q04,0.981735,1938.407795,0.76049,1.389157,3.933248,885.867519,2833.54718
Q05,1.002509,1815.669079,0.833409,1.524821,4.33433,710.408305,2536.661261
Q06,1.01755,2226.368108,0.755816,1.845481,4.406743,845.791127,3085.0177
Q07,1.022272,2125.820996,0.735429,1.706567,5.452354,777.891628,2916.799656
Q08,1.102631,2746.929114,0.770321,1.882286,6.817861,1392.063071,4155.911461
Q09,1.020046,2012.177319,,1.721205,,30000.232039,32020.142901
